順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,285A,キオクシアホールディングス,65850.0,42526500,2723071
2,6981,村田製作所,9625.0,75663400,730446
3,9984,ソフトバンクグループ,7491.0,81180100,609428
4,5801,古河電気工業,52060.0,8510100,437375
5,6976,太陽誘電,14815.0,27968600,403849
6,5803,フジクラ,4771.0,71394000,341482
7,5706,三井金属,51630.0,5244100,268988
8,4004,レゾナック・ホールディングス,18720.0,14244600,265399
9,6857,アドバンテスト,26170.0,9408700,245960
10,4062,イビデン,23000.0,10164100,218903
11,8306,三菱ＵＦＪフィナンシャル・グループ,2999.0,69856600,209763
12,8035,東京エレクトロン,52420.0,3555800,186985
13,6098,リクルートホールディングス,10570.0,17460900,184875
14,6758,ソニーグループ,3444.0,47099000,162405
15,6501,日立製作所,5166.0,27362800,142325
16,6146,ディスコ,65090.0,2123100,137810
17,9983,ファーストリテイリング,82330.0,1610600,131184
18,7011,三菱重工業,3806.0,34158900,129727
19,5802,住友電気工業,12585.0,9941900,123004
20,4063,信越化学工業,7758.0,15831800,122267
21,7203,トヨタ自動車,3042.0,39820000,121401
22,8058,三菱商事,5065.0,23956500,121156
23,8411,みずほフィナンシャルグループ,7195.0,16581900,119338
24,6861,キーエンス,80110.0,1485600,119305
25,6762,ＴＤＫ,4108.0,28286900,115916
26,6723,ルネサスエレクトロニクス,4500.0,23491100,106260
27,5016,ＪＸ金属,3929.0,26772900,103612
28,8316,三井住友フィナンシャルグループ,5819.0,17617000,103115
29,6503,三菱電機,6558.0,14852400,97038
30,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4287.0,21947600,94115
31,6301,小松製作所,6577.0,13724100,90040
32,6920,レーザーテック,40130.0,2244300,89595
33,3436,ＳＵＭＣＯ,3994.0,21624300,84914
34,9005,東急,1597.0,52797600,84417
35,6702,富士通,3368.0,23959700,82180
36,6752,パナソニック　ホールディングス,3700.0,22141600,81727
37,8001,伊藤忠商事,1935.5,40993000,79339
38,8766,東京海上ホールディングス,7111.0,10833400,77193
39,7974,任天堂,7148.0,10766100,77004
40,8053,住友商事,7099.0,10796100,76839
41,7701,島津製作所,3775.0,20006300,75697
42,3626,ＴＩＳ,3381.0,21222000,71941
43,8031,三井物産,5290.0,13541700,71618
44,4204,積水化学工業,2291.0,31144700,71387
45,6201,-,20450.0,3446400,70480
46,8591,オリックス,6237.0,11231300,70039
47,6701,日本電気,4103.0,16563200,68545
48,6971,京セラ,3483.0,19705500,68484
49,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,8211.0,8263300,67677
50,8729,ソニーフィナンシャルグループ,140.0,479350700,67170
51,2914,日本たばこ産業,6167.0,10724600,66119
52,6954,ファナック,7892.0,8214300,65438
53,6869,シスメックス,1397.0,44070000,61704
54,8630,ＳＯＭＰＯホールディングス,5958.0,10049500,59673
55,3088,マツキヨココカラ＆カンパニー,2270.5,26098700,59336
56,8015,豊田通商,6930.0,8257400,57094
57,8002,丸紅,5196.0,10715100,55685
58,9433,ＫＤＤＩ,2738.5,19996500,54716
59,3110,日東紡績,22670.0,2443100,54519
60,4568,第一三共,2700.5,19725400,53514
61,3092,ＺＯＺＯ,990.2,52368000,51888
62,6273,ＳＭＣ,69110.0,731100,50498
63,7751,キヤノン,4228.0,11621800,49247
64,9432,ＮＴＴ,149.5,321682500,48269
65,7741,ＨＯＹＡ,27080.0,1751300,47505
66,7267,本田技研工業,1452.5,32589600,47433
67,2802,味の素,5152.0,9185600,47324
68,4503,アステラス製薬,2283.0,20918200,47275
69,8802,三菱地所,4056.0,11506900,46680
70,1605,ＩＮＰＥＸ,3604.0,12569800,45369
71,4307,野村総合研究所,5022.0,8861600,44663
72,2413,エムスリー,1424.0,31177800,44354
73,9201,日本航空,2739.5,16088800,44096
74,4519,中外製薬,7892.0,5543000,43634
75,7013,ＩＨＩ,2766.5,15591900,43385
76,6963,ローム,5458.0,7891900,42796
77,7220,武蔵精密工業,9460.0,4521200,40960
78,5108,ブリヂストン,3443.0,11873900,40870
79,7182,ゆうちょ銀行,3069.0,13344700,40814
80,6367,ダイキン工業,23285.0,1746100,40779
81,7832,バンダイナムコホールディングス,3641.0,11059300,40321
82,4502,武田薬品工業,5118.0,7712000,39470
83,3382,セブン＆アイ・ホールディングス,1859.5,21111700,39300
84,7735,ＳＣＲＥＥＮホールディングス,11120.0,3399100,37777
85,7269,スズキ,1973.5,19065400,37697
86,8604,野村ホールディングス,1285.0,29233700,37625
87,8801,三井不動産,1530.5,23942000,36591
88,5713,住友金属鉱山,9093.0,4027100,36576
89,3064,ＭｏｎｏｔａＲＯ,1889.0,19301600,36540
90,9697,カプコン,3016.0,11970400,36195
91,6506,安川電機,7208.0,5006500,36021
92,3391,ツルハホールディングス,1971.5,16913700,33367
93,7012,川崎重工業,3137.0,10676200,33156
94,8309,三井住友トラストグループ,5474.0,5401000,29705
95,7270,ＳＵＢＡＲＵ,2442.0,12101700,29634
96,9101,日本郵船,5313.0,5564400,29591
97,9434,ソフトバンク,215.3,136818000,29541
98,6902,デンソー,1908.0,15164500,28930
99,7936,アシックス,4843.0,5948600,28870
100,5401,日本製鉄,566.6,50632500,28831
