順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6834,精工技研,23700.0,772100,17474
2,3103,ユニチカ,1102.0,11905700,13462
3,6890,フェローテック,8940.0,1019900,9192
4,5985,サンコール,1994.0,4615600,9042
5,7906,ヨネックス,2820.0,2334900,6619
6,6855,日本電子材料,6690.0,958700,6393
7,2702,日本マクドナルドホールディングス,7890.0,800400,6318
8,6227,ＡＩメカテック,6470.0,974500,6318
9,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,19450.0,236600,4486
10,3350,メタプラネット,221.0,18867100,4137
11,7014,名村造船所,4385.0,814700,3567
12,3907,シリコンスタジオ,1618.0,2015200,3554
13,8918,ランド,10.0,288392900,2983
14,6072,地盤ネットホールディングス,1175.0,2546600,2978
15,4716,日本オラクル,9360.0,309300,2896
16,3323,レカム,102.0,27496100,2804
17,6327,北川精機,3550.0,744200,2578
18,6840,ＡＫＩＢＡホールディングス,709.0,2958300,2081
19,7564,ワークマン,6330.0,303200,1920
20,4966,上村工業,20970.0,84200,1760
21,8508,Ｊトラスト,809.0,1976900,1598
22,2489,アドウェイズ,350.0,4413400,1589
23,4816,東映アニメーション,2862.0,499300,1459
24,4970,東洋合成工業,12020.0,123700,1456
25,6627,テラプローブ,11770.0,123600,1443
26,2782,セリア,4220.0,324600,1369
27,7716,ナカニシ,3310.0,403000,1329
28,6366,千代田化工建設,707.0,1781600,1257
29,2354,ＹＥ　ＤＩＧＩＴＡＬ,1421.0,921800,1248
30,3374,内外テック,4420.0,250700,1099
31,6998,日本タングステン,3310.0,313800,1049
32,3449,テクノフレックス,4115.0,228600,912
33,1960,サンテック,1634.0,491800,842
34,287A,黒田グループ,1190.0,689700,813
35,3891,ニッポン高度紙工業,7110.0,110500,770
36,6524,湖北工業,4780.0,155600,751
37,6993,大黒屋ホールディングス,94.0,7220100,693
38,6145,ＮＩＴＴＯＫＵ,2371.0,294200,685
39,6016,ジャパンエンジンコーポレーション,9570.0,72100,682
40,4107,伊勢化学工業,3790.0,179500,679
41,6677,エスケーエレクトロニクス,3480.0,193100,677
42,5161,西川ゴム工業,3540.0,190500,671
43,2780,コメ兵ホールディングス,5500.0,123000,667
44,8995,誠建設工業,1371.0,459300,629
45,6946,日本アビオニクス,5840.0,108000,628
46,6023,ダイハツインフィニアース,2938.0,199700,587
47,6226,守谷輸送機工業,2035.0,286900,583
48,3549,クスリのアオキホールディングス,4010.0,143400,574
49,6960,フクダ電子,12100.0,45000,546
50,9436,沖縄セルラー電話,4070.0,133800,544
51,1407,ウエストホールディングス,2671.0,204700,542
52,5210,日本山村硝子,2991.0,178800,533
53,604A,ビーエイブル,1016.0,531100,527
54,6928,エノモト,3005.0,173300,527
55,3222,ユナイテッド・スーパーマーケット・ホールディングス,813.0,647200,527
56,7287,日本精機,2641.0,192500,502
57,6668,アドテック　プラズマ　テクノロジー,3660.0,133700,486
58,1965,テクノ菱和,6300.0,76000,479
59,6138,ダイジェット工業,1972.0,245300,472
60,2805,エスビー食品,6700.0,66300,449
61,9308,乾汽船,2060.0,215300,446
62,2418,ツカダ・グローバルホールディング,607.0,721800,436
63,8572,アコム,482.7,897600,433
64,4746,東計電算,6500.0,66300,430
65,5724,アサカ理研,2722.0,152800,411
66,1847,イチケン,3480.0,118400,411
67,6570,共和コーポレーション,2970.0,140500,399
68,7760,ＩＭＶ,1981.0,194000,378
69,3399,丸千代山岡家,3655.0,103400,375
70,3299,ムゲンエステート,1681.0,222800,373
71,6648,かわでん,1663.0,223700,364
72,3683,サイバーリンクス,1083.0,329900,361
73,1723,日本電技,2150.0,165100,355
74,146A,コロンビア・ワークス,3305.0,104900,346
75,4406,新日本理化,255.0,1303900,329
76,4972,綜研化学,3325.0,95700,314
77,5381,マイポックス,936.0,336600,313
78,255A,ジーエルテクノホールディングス,5490.0,57500,312
79,3825,リミックスポイント,223.0,1418600,310
80,4320,ＣＥホールディングス,1648.0,184800,305
81,6125,岡本工作機械製作所,5010.0,61500,303
82,6337,テセック,3355.0,89700,302
83,7480,スズデン,3285.0,90100,297
84,6425,ユニバーサルエンターテインメント,764.0,376800,289
85,3277,サンセイランディック,750.0,370100,279
86,8783,ａｂｃ,81.0,3657300,278
87,6495,宮入バルブ製作所,133.0,2062900,277
88,6969,松尾電機,959.0,231800,275
89,4595,ミズホメディー,1693.0,161400,275
90,8117,中央自動車工業,2192.0,123900,273
91,3422,Ｊ－ＭＡＸ,662.0,396100,272
92,6736,サン電子,10030.0,26500,272
93,6203,豊和工業,1498.0,173200,262
94,7505,扶桑電通,2036.0,124100,257
95,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,5810.0,44300,256
96,7412,アトム,370.0,679200,252
97,7819,粧美堂,947.0,245900,249
98,5698,エンビプロ・ホールディングス,882.0,281100,248
99,8789,フィンテック　グローバル,138.0,1789900,246
100,4935,リベルタ,215.0,1103600,243
