順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,604A,ビーエイブル,1580.0,12173900,19211
2,6203,豊和工業,2135.0,5930400,13458
3,3103,ユニチカ,1462.0,7878200,11351
4,7014,名村造船所,4665.0,1386900,6475
5,6227,ＡＩメカテック,5700.0,1040200,5759
6,6890,フェローテック,9100.0,516000,4600
7,3350,メタプラネット,235.0,17809800,4182
8,6356,日本ギア工業,1458.0,2754800,3938
9,9130,共栄タンカー,2007.0,1799100,3569
10,2702,日本マクドナルドホールディングス,7970.0,446400,3566
11,619A,オリバー,301.0,11626600,3558
12,7564,ワークマン,5480.0,542000,2970
13,8117,中央自動車工業,2157.0,1267300,2735
14,8918,ランド,10.0,260298200,2637
15,6855,日本電子材料,6610.0,328100,2145
16,2612,かどや製油,2850.0,744800,2098
17,6834,精工技研,5010.0,406200,2002
18,4667,アイサンテクノロジー,3310.0,555600,1826
19,4174,アピリッツ,1040.0,1572900,1824
20,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,19560.0,92100,1778
21,2782,セリア,4795.0,348200,1671
22,3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,52.0,32673400,1645
23,4440,ヴィッツ,2114.0,765200,1592
24,4716,日本オラクル,9150.0,169800,1556
25,3441,山王,1890.0,844000,1534
26,4840,トライアイズ,800.0,1761100,1416
27,4966,上村工業,19690.0,54700,1067
28,6627,テラプローブ,10610.0,99900,1036
29,6208,石川製作所,1761.0,556600,1032
30,7906,ヨネックス,2309.0,432000,998
31,3444,菊池製作所,1101.0,841100,965
32,6016,ジャパンエンジンコーポレーション,11390.0,84000,958
33,6946,日本アビオニクス,6510.0,141100,919
34,6862,ミナトホールディングス,4355.0,208100,897
35,3549,クスリのアオキホールディングス,3993.0,223000,896
36,1407,ウエストホールディングス,2215.0,401600,879
37,4816,東映アニメーション,3100.0,281000,872
38,2805,エスビー食品,7750.0,108400,832
39,6366,千代田化工建設,698.0,1165100,810
40,5985,サンコール,2133.0,385200,807
41,7743,シード,792.0,1009000,800
42,9308,乾汽船,2232.0,325000,712
43,9414,日本ＢＳ放送,983.0,676700,667
44,6072,地盤ネットホールディングス,1049.0,621900,660
45,6524,湖北工業,4820.0,126600,606
46,6317,北川鉄工所,2440.0,250200,601
47,7711,助川電気工業,5150.0,113800,592
48,9436,沖縄セルラー電話,4415.0,132700,582
49,1965,テクノ菱和,6820.0,83900,575
50,8572,アコム,488.2,1141500,559
51,4274,細谷火工,1162.0,438600,533
52,7287,日本精機,2732.0,187400,509
53,6492,岡野バルブ製造,14450.0,32900,489
54,6960,フクダ電子,11980.0,40900,486
55,6736,サン電子,9730.0,49000,478
56,4107,伊勢化学工業,3900.0,122400,476
57,3787,テクノマセマティカル,679.0,692400,468
58,7716,ナカニシ,3060.0,150900,460
59,3399,丸千代山岡家,3600.0,126900,458
60,7256,河西工業,464.0,955700,451
61,2780,コメ兵ホールディングス,4485.0,93300,420
62,3449,テクノフレックス,4130.0,102900,415
63,6838,多摩川ホールディングス,1335.0,296600,402
64,3907,シリコンスタジオ,2013.0,196800,388
65,6327,北川精機,2865.0,134500,380
66,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,62.0,6049200,380
67,9115,明海グループ,1116.0,334900,378
68,3891,ニッポン高度紙工業,6340.0,59500,374
69,287A,黒田グループ,1130.0,330000,373
70,1723,日本電技,2533.0,147100,372
71,8143,ラピーヌ,212.0,1841200,361
72,6998,日本タングステン,3675.0,98500,361
73,5161,西川ゴム工業,3450.0,104300,361
74,4320,ＣＥホールディングス,1632.0,219800,359
75,8508,Ｊトラスト,758.0,459200,350
76,7018,内海造船,12950.0,24900,322
77,5446,北越メタル,1075.0,292300,318
78,6336,石井表記,1348.0,233800,315
79,4875,メディシノバ・インク,352.0,864300,312
80,6668,アドテック　プラズマ　テクノロジー,3845.0,79800,302
81,1783,ｆａｎｔａｓｉｓｔａ,68.0,4477100,296
82,4970,東洋合成工業,9870.0,30200,295
83,4620,藤倉化成,1002.0,294100,293
84,4420,イーソル,822.0,354300,291
85,2354,ＹＥ　ＤＩＧＩＴＡＬ,1282.0,223200,287
86,7746,岡本硝子,786.0,360600,285
87,2962,テクニスコ,1707.0,168300,285
88,3222,ユナイテッド・スーパーマーケット・ホールディングス,850.0,321700,275
89,9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,3345.0,78800,265
90,9425,ＲｅＹｕｕ　Ｊａｐａｎ,236.0,1076200,250
91,6677,エスケーエレクトロニクス,3255.0,74300,240
92,6659,メディアリンクス,48.0,5086700,236
93,8995,誠建設工業,1720.0,129500,234
94,4746,東計電算,7240.0,30900,226
95,6023,ダイハツインフィニアース,3195.0,70000,225
96,4222,児玉化学工業,656.0,338400,223
97,6989,北陸電気工業,2312.0,95900,221
98,7177,ＧＭＯフィナンシャルホールディングス,1161.0,188100,218
99,4499,Ｓｐｅｅｅ,2195.0,97400,214
100,8789,フィンテック　グローバル,160.0,1261700,199
