順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,4716,日本オラクル,8617.0,4192900,36197
2,6327,北川精機,5910.0,2346700,12797
3,6203,豊和工業,1783.0,6707600,12390
4,6890,フェローテック,8690.0,1403300,12316
5,6834,精工技研,26960.0,376200,10105
6,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,24980.0,344300,8586
7,3103,ユニチカ,1411.0,5487000,7521
8,2702,日本マクドナルドホールディングス,7790.0,871200,6782
9,7014,名村造船所,3735.0,1763900,6522
10,6993,大黒屋ホールディングス,109.0,54144700,5842
11,3350,メタプラネット,291.0,19427000,5683
12,6855,日本電子材料,7730.0,630800,4877
13,7564,ワークマン,7980.0,590300,4693
14,6227,ＡＩメカテック,5670.0,771600,4295
15,6072,地盤ネットホールディングス,1438.0,2858400,4272
16,6366,千代田化工建設,753.0,5356800,4021
17,1407,ウエストホールディングス,2695.0,1122600,3101
18,4800,オリコン,1332.0,2147900,2858
19,6994,指月電機製作所,1315.0,2036700,2585
20,1948,弘電社,11460.0,220900,2532
21,8918,ランド,10.0,242806800,2429
22,6946,日本アビオニクス,5820.0,368600,2199
23,4100,戸田工業,2020.0,830100,1704
24,6659,メディアリンクス,78.0,19743800,1659
25,7906,ヨネックス,2362.0,654400,1566
26,2782,セリア,3795.0,409900,1560
27,3891,ニッポン高度紙工業,7230.0,206700,1522
28,7177,ＧＭＯフィナンシャルホールディングス,1151.0,1314800,1516
29,7716,ナカニシ,3050.0,460200,1412
30,1909,日本ドライケミカル,3740.0,349600,1308
31,4816,東映アニメーション,2366.0,537300,1284
32,4966,上村工業,23320.0,54600,1275
33,6670,ＭＣＪ,2180.0,541000,1180
34,6524,湖北工業,5930.0,193800,1170
35,6960,フクダ電子,11670.0,91200,1062
36,4107,伊勢化学工業,4195.0,250500,1062
37,7435,ナ・デックス,1160.0,835800,1061
38,6627,テラプローブ,11360.0,87600,1004
39,5449,大阪製鐵,2593.0,385300,1000
40,3449,テクノフレックス,6830.0,143200,976
41,4970,東洋合成工業,16690.0,56500,944
42,5985,サンコール,1705.0,530000,927
43,255A,ジーエルテクノホールディングス,6750.0,131700,907
44,7287,日本精機,2660.0,326000,869
45,6016,ジャパンエンジンコーポレーション,8610.0,100200,865
46,6862,ミナトホールディングス,2204.0,385200,863
47,6977,日本抵抗器製作所,1390.0,572700,859
48,1723,日本電技,2450.0,349700,843
49,6864,エヌエフホールディングス,2043.0,418300,832
50,3907,シリコンスタジオ,1397.0,538800,827
51,4499,Ｓｐｅｅｅ,3570.0,230400,823
52,2693,ＹＫＴ,418.0,1760000,791
53,3810,サイバーステップホールディングス,202.0,3703900,781
54,2780,コメ兵ホールディングス,5710.0,126300,732
55,6840,ＡＫＩＢＡホールディングス,1138.0,654600,725
56,7746,岡本硝子,845.0,837200,714
57,287A,黒田グループ,1067.0,664800,708
58,6838,多摩川ホールディングス,2087.0,331600,706
59,5367,ニッカトー,1449.0,484900,702
60,4293,セプテーニ・ホールディングス,567.0,1228700,700
61,8572,アコム,467.5,1402000,658
62,6245,ヒラノテクシード,2006.0,329800,658
63,2805,エスビー食品,5630.0,99200,567
64,9436,沖縄セルラー電話,3550.0,153600,549
65,6635,大日光・エンジニアリング,816.0,624400,546
66,6226,守谷輸送機工業,2091.0,245800,519
67,8117,中央自動車工業,2092.0,244200,512
68,2938,オカムラ食品工業,1613.0,301000,491
69,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,6320.0,75300,473
70,8226,理経,445.0,1059200,469
71,1965,テクノ菱和,6330.0,73500,466
72,7279,ハイレックスコーポレーション,2479.0,185100,461
73,4098,チタン工業,1325.0,341400,460
74,7885,タカノ,1229.0,325800,416
75,6023,ダイハツインフィニアース,2953.0,139200,413
76,8508,Ｊトラスト,761.0,537600,413
77,6736,サン電子,9230.0,44000,406
78,9708,帝国ホテル,1154.0,347400,398
79,6629,テクノホライゾン,1075.0,363000,396
80,6125,岡本工作機械製作所,5450.0,72200,393
81,4238,ミライアル,1613.0,251300,392
82,6356,日本ギア工業,1660.0,232100,389
83,3444,菊池製作所,1087.0,334100,380
84,6926,岡谷電機産業,238.0,1582300,364
85,2338,クオンタムソリューションズ,138.0,2549000,362
86,4366,ダイトーケミックス,540.0,656200,359
87,5381,マイポックス,1048.0,328400,348
88,1807,佐藤渡辺,1772.0,194500,344
89,7412,アトム,671.0,491200,333
90,4746,東計電算,4310.0,76800,331
91,6145,ＮＩＴＴＯＫＵ,2961.0,102900,306
92,6969,松尾電機,2135.0,142500,305
93,6656,インスペック,845.0,372100,303
94,5161,西川ゴム工業,3100.0,97800,303
95,6666,リバーエレテック,1222.0,241500,300
96,7713,シグマ光機,2390.0,116900,282
97,2332,クエスト,1952.0,138300,277
98,7273,イクヨ,627.0,431500,272
99,3399,丸千代山岡家,3175.0,85300,268
100,7512,イオン北海道,834.0,318700,267
