順位,コード,銘柄名,現在値,売買代金(百万円),回転率
1,6834,精工技研,32400.0,5534,1.8299635827062204
2,6890,フェローテック,11230.0,4344,0.7338343772635689
3,6327,北川精機,6220.0,4189,7.970468055414331
4,6227,ＡＩメカテック,7590.0,3794,2.6519616302951596
5,6855,日本電子材料,8770.0,3380,2.6283256127188634
6,3103,ユニチカ,1146.0,2961,4.473878459801801
7,2702,日本マクドナルドホールディングス,7070.0,2406,0.25595004059457005
8,6994,指月電機製作所,1458.0,1674,3.4728170471662585
9,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,29330.0,1567,0.4466689998542069
10,6659,メディアリンクス,72.0,1545,27.267617422302642
11,8918,ランド,11.0,1538,9.048900540933625
12,1407,ウエストホールディングス,2420.0,1475,1.3242176766879066
13,3891,ニッポン高度紙工業,10260.0,1437,1.3091434797213637
14,5985,サンコール,1958.0,1400,2.0994096491347833
15,3350,メタプラネット,237.0,1285,0.42316477216367215
16,3444,菊池製作所,1337.0,1247,7.559635231292618
17,3449,テクノフレックス,10300.0,1166,0.5299807279735282
18,2962,テクニスコ,1555.0,1110,7.764574426750022
19,6627,テラプローブ,13880.0,1029,0.7986581921452083
20,6217,津田駒工業,1223.0,976,11.722822840630073
21,4716,日本オラクル,8297.0,910,0.08547735898663626
22,7014,名村造船所,3825.0,876,0.32964057793962265
23,6072,地盤ネットホールディングス,1174.0,852,3.135147833259591
24,6433,ヒーハイスト,1300.0,830,10.107517191912525
25,8291,日産東京販売ホールディングス,581.0,795,2.296668950331367
26,6862,ミナトホールディングス,2319.0,783,4.26012769157883
27,6524,湖北工業,6320.0,688,0.4186952288218111
28,6366,千代田化工建設,722.0,633,0.3367839770254835
29,5367,ニッカトー,1704.0,612,2.9594920569235206
30,6629,テクノホライゾン,1113.0,581,2.4783109275512802
31,4691,ワシントンホテル,2870.0,577,1.651974496033257
32,7412,アトム,339.0,531,0.8092464199309057
33,5817,ＪＭＡＣＳ,1179.0,491,7.190722052393404
34,7564,ワークマン,6570.0,472,0.08777580879678576
35,4107,伊勢化学工業,3810.0,449,0.22949302993761878
36,6016,ジャパンエンジンコーポレーション,8880.0,407,0.5456349206349206
37,3907,シリコンスタジオ,1000.0,405,13.61848078281045
38,4970,東洋合成工業,17360.0,387,0.2737511862763615
39,6946,日本アビオニクス,5250.0,381,0.43287951710415196
40,1909,日本ドライケミカル,3725.0,378,0.35324132011222964
41,5216,倉元製作所,159.0,370,4.548181372954533
42,3825,リミックスポイント,191.0,352,1.2364952934773805
43,6864,エヌエフホールディングス,2140.0,317,2.0952028447170488
44,6634,ＪＮグループ,79.0,299,7.6324595135329965
45,7906,ヨネックス,2250.0,277,0.13256169981427007
46,6336,石井表記,2031.0,263,1.583729234388871
47,3441,山王,3645.0,251,1.3772290809327845
48,2693,ＹＫＴ,396.0,244,5.174836868781882
49,6840,ＡＫＩＢＡホールディングス,886.0,237,2.9099005789371213
51,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,170.0,228,1.976659781625424
