順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6203,豊和工業,2409.0,9216500,22141
2,7014,名村造船所,5060.0,2422200,11991
3,3103,ユニチカ,1479.0,6643200,9845
4,604A,ビーエイブル,1493.0,4150400,6260
5,6227,ＡＩメカテック,5710.0,915700,5154
6,2702,日本マクドナルドホールディングス,7920.0,585300,4648
7,6890,フェローテック,9030.0,498400,4501
8,7564,ワークマン,5360.0,613800,3325
9,6834,精工技研,5140.0,635600,3299
10,6946,日本アビオニクス,7150.0,458700,3223
11,6016,ジャパンエンジンコーポレーション,12360.0,252900,3050
12,3350,メタプラネット,238.0,12595800,3045
13,4716,日本オラクル,9346.0,323600,3024
14,8918,ランド,10.0,282200800,2984
15,6855,日本電子材料,6670.0,450500,2981
16,8995,誠建設工業,1995.0,1441200,2871
17,6433,ヒーハイスト,1325.0,1794700,2427
18,2782,セリア,4785.0,471400,2243
19,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,19720.0,90700,1788
20,4440,ヴィッツ,2110.0,752700,1601
21,6356,日本ギア工業,1389.0,1073100,1512
22,3549,クスリのアオキホールディングス,4100.0,347300,1415
23,8117,中央自動車工業,2190.0,588100,1284
24,2612,かどや製油,2868.0,434600,1242
25,3444,菊池製作所,1115.0,991400,1138
26,3907,シリコンスタジオ,2161.0,496900,1084
27,6627,テラプローブ,10520.0,96000,1019
28,7018,内海造船,14000.0,69100,951
29,9308,乾汽船,2350.0,397600,908
30,4446,Ｌｉｎｋ－Ｕグループ,719.0,1174900,897
31,6023,ダイハツインフィニアース,3345.0,260500,870
32,1407,ウエストホールディングス,2240.0,390200,867
33,619A,オリバー,306.0,2866200,866
34,9130,共栄タンカー,1908.0,450500,865
35,5985,サンコール,2165.0,393700,858
36,4966,上村工業,19210.0,44100,850
37,6524,湖北工業,4800.0,160900,779
38,6862,ミナトホールディングス,4480.0,167600,753
39,6366,千代田化工建設,698.0,1072300,750
40,2805,エスビー食品,7770.0,94000,730
41,8572,アコム,494.7,1439500,708
42,7906,ヨネックス,2381.0,298500,706
43,1723,日本電技,2600.0,271800,705
44,4816,東映アニメーション,3105.0,225600,701
45,9436,沖縄セルラー電話,4450.0,151500,677
46,4667,アイサンテクノロジー,3195.0,208200,671
47,5542,新報国マテリアル,1149.0,589000,669
48,3823,ＴＨＥ　ＷＨＹ　ＨＯＷ　ＤＯ　ＣＯＭＰＡＮＹ,44.0,13706200,647
49,4174,アピリッツ,999.0,633700,628
50,2354,ＹＥ　ＤＩＧＩＴＡＬ,1329.0,469800,625
51,3321,ミタチ産業,1810.0,333900,600
52,6317,北川鉄工所,2509.0,222200,554
53,3449,テクノフレックス,4175.0,130500,543
54,6676,バッファロー,3450.0,158500,533
55,2962,テクニスコ,1831.0,295600,532
56,6736,サン電子,10000.0,51700,524
57,8508,Ｊトラスト,780.0,662000,514
58,7716,ナカニシ,3075.0,167200,513
59,6838,多摩川ホールディングス,1395.0,364500,510
60,1965,テクノ菱和,7150.0,72000,509
61,6998,日本タングステン,3815.0,133500,506
62,3891,ニッポン高度紙工業,6350.0,78800,504
63,6208,石川製作所,1815.0,274000,501
64,4107,伊勢化学工業,3915.0,123000,482
65,3441,山王,1797.0,264400,482
66,3399,丸千代山岡家,3775.0,122100,455
67,6960,フクダ電子,12160.0,37300,452
68,4814,ネクストウェア,171.0,2287500,408
69,4274,細谷火工,1190.0,335100,405
70,7412,アトム,351.0,1114200,396
71,4935,リベルタ,135.0,2868000,394
72,4970,東洋合成工業,9480.0,40100,386
73,6072,地盤ネットホールディングス,1058.0,349200,370
74,6327,北川精機,2821.0,130000,369
75,7711,助川電気工業,5140.0,69900,364
76,9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,3400.0,105200,355
77,5161,西川ゴム工業,3555.0,99400,351
78,7287,日本精機,2764.0,124500,343
79,287A,黒田グループ,1144.0,286000,326
80,6469,放電精密加工研究所,2775.0,110700,310
81,4196,ネオマーケティング,1572.0,187200,305
82,4875,メディシノバ・インク,385.0,778000,300
83,1822,大豊建設,845.0,335500,282
84,4222,児玉化学工業,674.0,413700,278
85,4499,Ｓｐｅｅｅ,2220.0,119000,266
86,4320,ＣＥホールディングス,1627.0,161400,263
87,3222,ユナイテッド・スーパーマーケット・ホールディングス,848.0,307300,261
88,7602,レダックス,182.0,1345900,259
89,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,66.0,4023300,256
90,2780,コメ兵ホールディングス,4520.0,56500,256
91,4746,東計電算,7230.0,34400,250
92,7743,シード,792.0,302100,239
93,6357,三精テクノロジーズ,2794.0,81900,228
94,6668,アドテック　プラズマ　テクノロジー,3915.0,58400,226
95,6677,エスケーエレクトロニクス,3240.0,69300,225
96,7709,クボテック,70.0,3418600,223
97,6637,寺崎電気産業,4365.0,49600,214
98,6659,メディアリンクス,48.0,4407500,213
99,6145,ＮＩＴＴＯＫＵ,2618.0,80200,209
100,6226,守谷輸送機工業,2250.0,90500,202
