順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,285A,キオクシアホールディングス,54550.0,55872700,2942974
2,9984,ソフトバンクグループ,5331.0,50264400,269726
3,6857,アドバンテスト,28380.0,7722800,219051
4,6976,太陽誘電,11545.0,15997700,182833
5,5803,フジクラ,4325.0,41066100,177609
6,8306,三菱ＵＦＪフィナンシャル・グループ,3799.0,46560000,176487
7,8035,東京エレクトロン,62800.0,2720800,170483
8,6981,村田製作所,8102.0,20700300,167945
9,4062,イビデン,16700.0,7023300,117276
10,6146,ディスコ,62650.0,1849700,114272
11,6920,レーザーテック,43560.0,2325700,101129
12,3436,ＳＵＭＣＯ,3762.0,24920300,94222
13,4063,信越化学工業,6146.0,14869000,92879
14,7974,任天堂,7431.0,11520800,84374
15,8316,三井住友フィナンシャルグループ,7214.0,11641800,83804
16,9983,ファーストリテイリング,77370.0,1077300,83293
17,8411,みずほフィナンシャルグループ,8631.0,9501000,81747
18,7203,トヨタ自動車,2965.5,26894200,79438
19,6758,ソニーグループ,3574.0,16590300,58837
20,6501,日立製作所,5023.0,11712100,58513
21,5016,ＪＸ金属,3788.0,15210100,56697
22,7011,三菱重工業,3891.0,13481200,52603
23,6861,キーエンス,74170.0,675900,49587
24,6098,リクルートホールディングス,12510.0,3937600,49245
25,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,8561.0,5156300,43715
26,4519,中外製薬,6848.0,6311000,43624
27,5802,住友電気工業,2355.0,17104800,40347
28,7735,ＳＣＲＥＥＮホールディングス,15895.0,2458300,39060
29,8766,東京海上ホールディングス,8243.0,4704600,38715
30,6954,ファナック,6785.0,5712300,38568
31,6506,安川電機,5257.0,7074600,37110
32,7751,キヤノン,4750.0,7499000,35294
33,5801,古河電気工業,3277.0,10701100,34814
34,9432,ＮＴＴ,154.3,226043900,34717
35,6723,ルネサスエレクトロニクス,3866.0,8638500,33235
36,8058,三菱商事,4847.0,6760100,32916
37,5401,日本製鉄,636.9,50639100,31929
38,6702,富士通,3482.0,9088900,31170
39,6503,三菱電機,5669.0,5310700,29934
40,8136,サンリオ,1245.5,23998500,29528
41,5706,三井金属,31230.0,944100,29200
42,4004,レゾナック・ホールディングス,13970.0,2078700,28983
43,2914,日本たばこ産業,6531.0,4299800,28104
44,8031,三井物産,4975.0,5529400,27428
45,8750,第一ライフグループ,1959.0,13893300,26987
46,4502,武田薬品工業,5769.0,4647600,26673
47,6762,ＴＤＫ,3012.0,8845200,26514
48,8001,伊藤忠商事,1984.5,13331100,26373
49,6701,日本電気,4445.0,5765000,25395
50,7013,ＩＨＩ,2836.0,8878200,25170
51,9433,ＫＤＤＩ,2953.0,8389300,24761
52,6752,パナソニック　ホールディングス,3886.0,6117600,23799
53,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,5029.0,4742600,23667
54,4901,富士フイルムホールディングス,3831.0,6218000,23551
55,9101,日本郵船,6076.0,3857100,23353
56,1605,ＩＮＰＥＸ,3652.0,6330600,23314
57,8002,丸紅,5450.0,4210700,22879
58,7267,本田技研工業,1583.0,14458100,22835
59,5713,住友金属鉱山,7785.0,2906500,22391
60,8308,りそなホールディングス,2393.5,9342600,22272
61,6367,ダイキン工業,24135.0,917800,22035
62,4661,オリエンタルランド,2831.5,7732300,21642
63,6301,小松製作所,6901.0,3141000,21509
64,6971,京セラ,3796.0,5574900,21026
65,7012,川崎重工業,2734.5,7596100,20795
66,3382,セブン＆アイ・ホールディングス,2134.5,9608000,20489
67,8309,三井住友トラストグループ,6881.0,2860600,19610
68,8591,オリックス,6673.0,2955900,19608
69,7182,ゆうちょ銀行,3416.0,5735700,19513
70,6902,デンソー,2056.0,9471600,19347
71,9501,東京電力ホールディングス,537.0,35878500,19062
72,9107,川崎汽船,2850.0,6655200,18941
73,9434,ソフトバンク,228.3,81127600,18467
74,9104,商船三井,5912.0,3032100,17957
75,6532,ベイカレント,7106.0,2480200,17414
76,7741,ＨＯＹＡ,24725.0,685100,16945
77,5108,ブリヂストン,3858.0,4394100,16796
78,7003,三井Ｅ＆Ｓ,5122.0,3326400,16751
79,2802,味の素,5069.0,3261500,16551
80,6963,ローム,4628.0,3475800,15985
81,8015,豊田通商,6558.0,2433700,15915
82,9020,東日本旅客鉄道,3756.0,4003600,14966
83,1925,大和ハウス工業,4740.0,3182700,14955
84,6988,日東電工,3451.0,4326900,14865
85,4578,大塚ホールディングス,11325.0,1320900,14854
86,7269,スズキ,2055.0,7291900,14843
87,4568,第一三共,2822.5,5250200,14789
88,8604,野村ホールディングス,1605.5,9076500,14583
89,4911,資生堂,3277.0,4457700,14479
90,6526,ソシオネクスト,2397.5,6039300,14475
91,6178,日本郵政,2521.5,5707000,14378
92,8630,ＳＯＭＰＯホールディングス,7261.0,1986400,14327
93,6871,日本マイクロニクス,14810.0,961000,14157
94,543A,ＡＲＣＨＩＯＮ,293.0,48031100,13818
95,6273,ＳＭＣ,71800.0,189300,13588
96,9502,中部電力,3005.0,4447900,13303
97,4755,楽天グループ,815.0,16073500,13061
98,7453,良品計画,4313.0,3012600,12961
99,6361,荏原製作所,5641.0,2275300,12815
100,1928,積水ハウス,3639.0,3535300,12794
