順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6227,ＡＩメカテック,7440.0,2426200,17273
2,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,238.0,49066800,12156
3,6890,フェローテック,9100.0,1039600,9223
4,3350,メタプラネット,235.0,26930600,6652
5,2702,日本マクドナルドホールディングス,7360.0,690000,5113
6,7014,名村造船所,3695.0,1314900,4860
7,6855,日本電子材料,7720.0,643500,4850
8,6834,精工技研,28560.0,169300,4791
9,3103,ユニチカ,1227.0,3851200,4761
10,4716,日本オラクル,9396.0,494200,4650
11,6072,地盤ネットホールディングス,1551.0,3166600,4624
12,3891,ニッポン高度紙工業,9170.0,372500,3294
13,6524,湖北工業,6400.0,408300,2565
14,6327,北川精機,3980.0,646800,2503
15,8918,ランド,10.0,229394500,2356
16,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,25170.0,90900,2292
17,6366,千代田化工建設,732.0,3119800,2273
18,6946,日本アビオニクス,6010.0,367200,2205
19,6203,豊和工業,1817.0,1126800,2014
20,1407,ウエストホールディングス,2478.0,735100,1779
21,7564,ワークマン,8100.0,207700,1685
22,5985,サンコール,1701.0,970900,1626
23,7711,助川電気工業,5490.0,244500,1350
24,3444,菊池製作所,1178.0,1083000,1262
25,6656,インスペック,1365.0,918800,1178
26,6864,エヌエフホールディングス,2380.0,417100,1016
27,1948,弘電社,11470.0,87800,1007
28,8254,さいか屋,341.0,2767800,978
29,6775,ＴＢグループ,158.0,6229500,947
30,6659,メディアリンクス,79.0,11639600,939
31,5367,ニッカトー,1229.0,725900,889
32,7906,ヨネックス,2345.0,374600,881
33,1909,日本ドライケミカル,3730.0,231900,865
34,7716,ナカニシ,3050.0,272000,823
35,3449,テクノフレックス,7540.0,107300,811
36,7279,ハイレックスコーポレーション,2284.0,337800,783
37,4107,伊勢化学工業,4105.0,189500,777
38,2962,テクニスコ,1343.0,565700,772
39,6492,岡野バルブ製造,14720.0,51200,758
40,6627,テラプローブ,10750.0,70900,745
41,4970,東洋合成工業,16360.0,46000,740
42,6016,ジャパンエンジンコーポレーション,8180.0,86600,713
43,6838,多摩川ホールディングス,2389.0,292700,704
44,4816,東映アニメーション,2342.0,289400,681
45,6145,ＮＩＴＴＯＫＵ,3320.0,204800,671
46,6356,日本ギア工業,1604.0,421800,671
47,8572,アコム,446.6,1495600,669
48,4966,上村工業,22740.0,27700,630
49,6862,ミナトホールディングス,2269.0,273500,604
50,255A,ジーエルテクノホールディングス,5970.0,101500,600
51,6994,指月電機製作所,1287.0,453300,575
52,6993,大黒屋ホールディングス,99.0,5755200,569
53,8699,ＨＳホールディングス,1151.0,492200,562
54,2782,セリア,3725.0,147200,550
55,6955,ＦＤＫ,574.0,979300,541
56,6666,リバーエレテック,1228.0,416900,505
57,5161,西川ゴム工業,3055.0,167000,503
58,4992,北興化学工業,1952.0,243000,474
59,6840,ＡＫＩＢＡホールディングス,1009.0,454800,454
60,6378,木村化工機,1221.0,376100,452
61,9436,沖縄セルラー電話,3665.0,121700,447
62,6023,ダイハツインフィニアース,2758.0,158800,439
63,6245,ヒラノテクシード,2177.0,188400,417
64,5381,マイポックス,1140.0,367000,416
65,8508,Ｊトラスト,724.0,561100,407
66,287A,黒田グループ,1057.0,381300,402
67,3825,リミックスポイント,160.0,2381000,394
68,7713,シグマ光機,2557.0,154600,382
69,6226,守谷輸送機工業,2082.0,177000,368
70,4293,セプテーニ・ホールディングス,512.0,719000,368
71,146A,コロンビア・ワークス,2690.0,126800,342
72,3299,ムゲンエステート,1683.0,195500,330
73,3810,サイバーステップホールディングス,176.0,1786400,319
74,1514,住石ホールディングス,579.0,522600,302
75,7746,岡本硝子,778.0,388700,301
76,6960,フクダ電子,11700.0,25400,297
77,2780,コメ兵ホールディングス,5210.0,57400,296
78,4406,新日本理化,237.0,1213100,282
79,7177,ＧＭＯフィナンシャルホールディングス,1041.0,266700,279
80,8117,中央自動車工業,2076.0,134100,278
81,5218,オハラ,1682.0,163600,270
82,2805,エスビー食品,4920.0,52500,260
83,1965,テクノ菱和,5900.0,42800,251
84,3850,エヌ・ティ・ティ・データ・イントラマート,2758.0,91400,249
85,3168,ＭＥＲＦ,1637.0,141800,230
86,7287,日本精機,2689.0,86100,229
87,7760,ＩＭＶ,2459.0,92800,226
88,1723,日本電技,2229.0,100400,225
89,3399,丸千代山岡家,3150.0,70700,222
90,4026,神島化学工業,1946.0,112200,217
91,4100,戸田工業,1851.0,119600,214
92,6425,ユニバーサルエンターテインメント,687.0,300400,210
93,6677,エスケーエレクトロニクス,3350.0,62300,207
94,3441,山王,2849.0,73600,207
95,8746,ｕｎｂａｎｋｅｄ,248.0,890600,207
96,6208,石川製作所,1923.0,109200,206
97,4499,Ｓｐｅｅｅ,2728.0,74100,206
98,8871,ゴールドクレスト,3265.0,60500,197
99,7018,内海造船,9570.0,20100,193
100,6882,三社電機製作所,1426.0,134500,190
