順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,186A,アストロスケールホールディングス,2868.0,37132000,106032
2,3905,データセクション,5140.0,5679600,27841
3,6613,ＱＤレーザ,2732.0,10123800,26787
4,464A,ＱＰＳホールディングス,4365.0,3051500,13149
5,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,10010.0,1051000,10331
6,9348,ｉｓｐａｃｅ,699.0,13839800,9394
7,485A,パワーエックス,4340.0,2114400,9390
8,4588,オンコリスバイオファーマ,3100.0,2342900,7764
9,402A,アクセルスペースホールディングス,931.0,8292800,7744
10,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,2005.0,3845800,7628
11,7794,イーディーピー,1284.0,5140300,6911
12,141A,トライアルホールディングス,2900.0,2342800,6802
13,6232,ＡＣＳＬ,2487.0,2307500,5592
14,6521,オキサイド,5850.0,739900,4364
15,6597,ＨＰＣシステムズ,4940.0,869500,4247
16,2160,ジーエヌアイグループ,2615.0,1641100,4226
17,4564,オンコセラピー・サイエンス,21.0,182898200,3840
18,4259,エクサウィザーズ,1219.0,2552100,3051
19,247A,Ａｉロボティクス,671.0,4080300,2781
20,9166,ＧＥＮＤＡ,546.0,4682000,2504
21,5253,カバー,1587.0,1500000,2319
22,9227,マイクロ波化学,1120.0,1982000,2304
23,6085,アーキテクツ・スタジオ・ジャパン,343.0,6103400,2284
24,3558,ジェイドグループ,1686.0,1198900,2055
25,2334,イオレ,515.0,4020200,2052
26,4597,ソレイジア・ファーマ,24.0,81598800,2033
27,7806,ＭＴＧ,7440.0,210800,1550
28,7777,スリー・ディー・マトリックス,418.0,3564400,1491
29,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,4015.0,376600,1490
30,2586,フルッタフルッタ,106.0,13081000,1386
31,4419,Ｆｉｎａｔｅｘｔホールディングス,1260.0,974300,1244
32,4592,サンバイオ,1441.0,806700,1172
33,350A,デジタルグリッド,905.0,1228000,1113
34,4478,フリー,2061.0,535600,1107
35,215A,タイミー,1141.0,955500,1090
36,280A,ＴＭＨ,2501.0,374400,919
37,3692,ＦＦＲＩセキュリティ,5930.0,150700,881
38,5031,モイ,630.0,1371300,875
39,336A,ダイナミックマッププラットフォーム,938.0,900900,867
40,7082,ジモティー,1416.0,570300,807
41,7047,ポート,2196.0,357300,777
42,3777,環境フレンドリーホールディングス,60.0,11889300,708
43,4894,クオリプス,5000.0,135800,686
44,2986,ＬＡホールディングス,9020.0,74000,665
45,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4215.0,154500,641
46,7409,ＡｅｒｏＥｄｇｅ,3415.0,188500,634
47,4593,ヘリオス,331.0,1916400,616
48,7318,セレンディップ・ホールディングス,2347.0,250700,589
49,4258,網屋,3400.0,163000,573
50,7803,ブシロード,246.0,2309100,568
51,4425,Ｋｕｄａｎ,1798.0,314100,564
52,7375,リファインバースグループ,1588.0,318700,515
53,421A,ムービン・ストラテジック・キャリア,2830.0,181700,504
54,319A,技術承継機構,16030.0,29900,483
55,5574,ＡＢＥＪＡ,2250.0,202200,451
56,166A,タスキホールディングス,920.0,492000,448
57,523A,セイワホールディングス,2305.0,193000,435
58,3070,ジェリービーンズグループ,92.0,4659200,417
59,281A,インフォメティス,829.0,477700,406
60,6522,アスタリスク,788.0,493700,395
61,456A,ＨＵＭＡＮ　ＭＡＤＥ,1279.0,301600,384
62,5243,ｎｏｔｅ,2063.0,184800,383
63,7779,ＣＹＢＥＲＤＹＮＥ,282.0,1294400,359
64,219A,Ｈｅａｒｔｓｅｅｄ,1603.0,222500,354
65,3936,グローバルウェイ,170.0,2058000,348
66,9204,スカイマーク,421.0,813200,344
67,4055,ティアンドエスグループ,2192.0,152100,329
68,446A,ノースサンド,1216.0,264900,324
69,4883,モダリス,43.0,7146300,323
70,1436,グリーンエナジー＆カンパニー,1820.0,167900,308
71,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1531.0,201500,307
72,414A,オーバーラップホールディングス,902.0,342900,306
73,4475,ＨＥＮＮＧＥ,1087.0,279200,302
74,218A,Ｌｉｂｅｒａｗａｒｅ,1298.0,222700,289
75,4889,レナサイエンス,1438.0,201300,288
76,147A,ソラコム,1103.0,246800,267
77,4579,ラクオリア創薬,506.0,507200,259
78,5590,ネットスターズ,751.0,342600,257
79,558A,ＳＱＵＥＥＺＥ,4790.0,52700,252
80,556A,犬猫生活,3520.0,68100,246
81,299A,クラシル,1045.0,230600,242
82,3989,シェアリングテクノロジー,987.0,240400,239
83,4417,グローバルセキュリティエキスパート,3250.0,74100,239
84,9211,エフ・コード,1572.0,153200,238
85,153A,カウリス,2057.0,111300,229
86,4493,サイバーセキュリティクラウド,1709.0,130600,221
87,9165,クオルテック,1865.0,118900,221
88,4393,バンク・オブ・イノベーション,4895.0,43800,214
89,332A,ミーク,1083.0,198000,213
90,3664,ＷＩＺＥ,26.0,7998400,204
91,9235,売れるネット広告社グループ,566.0,349200,200
92,5582,グリッド,1914.0,103700,199
93,4978,リプロセル,128.0,1529100,199
94,338A,ＺｅｎｍｕＴｅｃｈ,2578.0,75700,197
95,4570,免疫生物研究所,1078.0,178800,193
96,325A,ＴＥＮＴＩＡＬ,3535.0,54600,192
97,3652,ディジタルメディアプロフェッショナル,3590.0,52800,190
98,6081,アライドアーキテクツ,197.0,941800,184
99,5597,ブルーイノベーション,1911.0,96600,184
100,5834,ＳＢＩリーシングサービス,2254.0,81200,181
