順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,3905,データセクション,1693.0,23326200,41784
2,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,13310.0,1059500,14106
3,6613,ＱＤレーザ,2091.0,6259200,13440
4,186A,アストロスケールホールディングス,1310.0,5817800,7760
5,485A,パワーエックス,1745.0,3934200,7113
6,247A,Ａｉロボティクス,952.0,4691300,4701
7,2160,ジーエヌアイグループ,2854.0,1627100,4566
8,4588,オンコリスバイオファーマ,3560.0,1199800,4295
9,584A,ＬｉＮＫＸ,2921.0,1247300,3948
10,4564,オンコセラピー・サイエンス,21.0,175735800,3658
11,464A,ＱＰＳホールディングス,1825.0,1914400,3574
12,581A,ＧＯ,3520.0,1000100,3491
13,141A,トライアルホールディングス,3795.0,840700,3188
14,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1450.0,2017700,2979
15,5253,カバー,1540.0,1809700,2786
16,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3190.0,805300,2586
17,6522,アスタリスク,2025.0,1214100,2442
18,4597,ソレイジア・ファーマ,33.0,66766400,2259
19,4478,フリー,3420.0,650300,2204
20,215A,タイミー,1561.0,1228700,1957
21,4259,エクサウィザーズ,781.0,2367300,1822
22,593A,ティアフォー,906.0,1719000,1579
23,9166,ＧＥＮＤＡ,734.0,1985000,1476
24,219A,Ｈｅａｒｔｓｅｅｄ,2062.0,697200,1437
25,150A,ＪＳＨ,764.0,1806900,1280
26,4419,Ｆｉｎａｔｅｘｔホールディングス,1314.0,918400,1210
27,7806,ＭＴＧ,7880.0,148800,1194
28,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,771.0,1449500,1082
29,319A,技術承継機構,18100.0,50700,935
30,446A,ノースサンド,1865.0,482700,921
31,4424,Ａｍａｚｉａ,369.0,2177200,852
32,3936,グローバルウェイ,164.0,4410700,780
33,4889,レナサイエンス,1300.0,590300,757
34,402A,アクセルスペースホールディングス,535.0,1379500,752
35,6232,ＡＣＳＬ,1719.0,428900,748
36,5243,ｎｏｔｅ,2570.0,287600,742
37,2334,イオレ,547.0,1316400,729
38,3664,ＷＩＺＥ,23.0,29853200,666
39,7777,スリー・ディー・マトリックス,378.0,1733700,658
40,325A,ＴＥＮＴＩＡＬ,1745.0,378700,647
41,3692,ＦＦＲＩセキュリティ,4745.0,127300,616
42,6085,アーキテクツ・スタジオ・ジャパン,94.0,6700500,613
43,4592,サンバイオ,1004.0,602800,610
44,6521,オキサイド,3360.0,179400,607
45,7047,ポート,2240.0,270700,604
46,4894,クオリプス,5140.0,115200,603
47,4169,ＥＮＥＣＨＡＮＧＥ,321.0,1851100,597
48,5246,ＥＬＥＭＥＮＴＳ,868.0,682900,595
49,7409,ＡｅｒｏＥｄｇｅ,1414.0,407500,586
50,9348,ｉｓｐａｃｅ,439.0,1264800,555
51,3300,アンビション　ＤＸ　ホールディングス,1950.0,282800,554
52,5537,ＡｌｂａＬｉｎｋ,3095.0,180200,551
53,4475,ＨＥＮＮＧＥ,1466.0,369200,539
54,4165,プレイド,723.0,733700,524
55,7803,ブシロード,410.0,1223000,503
56,6597,ＨＰＣシステムズ,3420.0,141000,500
57,4418,ＪＤＳＣ,970.0,472900,463
58,2986,ＬＡホールディングス,2802.0,162300,456
59,603A,アイ・グリッド・ソリューションズ,786.0,559800,455
60,5892,ｙｕｔｏｒｉ,2510.0,176100,451
61,4593,ヘリオス,270.0,1660400,448
62,4258,網屋,4360.0,91100,416
63,421A,ムービン・ストラテジック・キャリア,3805.0,100800,387
64,6574,コンヴァノ,111.0,3378900,384
65,4575,キャンバス,810.0,447900,371
66,523A,セイワホールディングス,1785.0,194600,360
67,4377,ワンキャリア,2440.0,145300,357
68,7318,セレンディップ・ホールディングス,1551.0,215600,338
69,9227,マイクロ波化学,960.0,338100,331
70,456A,ＨＵＭＡＮ　ＭＡＤＥ,1358.0,235800,323
71,9211,エフ・コード,1470.0,214400,318
72,7794,イーディーピー,965.0,326700,314
73,4011,ヘッドウォータース,2342.0,127900,304
74,4572,カルナバイオサイエンス,403.0,789800,302
75,9467,アルファポリス,1180.0,250800,297
76,5592,くすりの窓口,2730.0,107000,286
77,9344,アクシスコンサルティング,1369.0,210100,282
78,5842,インテグラル,2979.0,90300,273
79,438A,インフキュリオン,987.0,256400,255
80,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4170.0,60600,254
81,4393,バンク・オブ・イノベーション,5250.0,47700,254
82,6045,レントラックス,2035.0,122300,253
83,598A,チャットプラス,1415.0,174500,252
84,4493,サイバーセキュリティクラウド,1921.0,129800,250
85,3624,アクセルマーク,86.0,2913800,247
86,3989,シェアリングテクノロジー,1497.0,163800,244
87,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1500.0,158900,238
88,4052,フィーチャ,545.0,416000,231
89,5574,ＡＢＥＪＡ,2903.0,78300,229
90,4425,Ｋｕｄａｎ,1626.0,135900,226
91,7779,ＣＹＢＥＲＤＹＮＥ,241.0,894800,218
92,4431,スマレジ,3270.0,62800,206
93,5137,スマートドライブ,280.0,724700,205
94,4599,ステムリム,348.0,546600,193
95,218A,Ｌｉｂｅｒａｗａｒｅ,1101.0,167500,186
96,4582,シンバイオ製薬,68.0,2699000,182
97,4477,ＢＡＳＥ,302.0,604500,182
98,472A,ミラティブ,519.0,339500,178
99,5834,ＳＢＩリーシングサービス,2742.0,64100,177
100,4255,ＴＨＥＣＯＯ,3760.0,49100,175
