順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,10540.0,1202700,12522
2,581A,ＧＯ,2815.0,2881900,8257
3,3905,データセクション,2134.0,3770000,8030
4,485A,パワーエックス,1577.0,4800200,7527
5,6613,ＱＤレーザ,1537.0,4526000,6930
6,186A,アストロスケールホールディングス,1012.0,4113800,4099
7,593A,ティアフォー,1011.0,3181300,3245
8,4564,オンコセラピー・サイエンス,19.0,166978900,3173
9,5253,カバー,1460.0,1829100,2724
10,464A,ＱＰＳホールディングス,1537.0,1754700,2639
11,2160,ジーエヌアイグループ,2475.0,996200,2450
12,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1148.0,2004700,2261
13,215A,タイミー,1466.0,1351900,1964
14,4588,オンコリスバイオファーマ,2665.0,686100,1788
15,4597,ソレイジア・ファーマ,28.0,62466000,1749
16,6522,アスタリスク,1591.0,1061100,1676
17,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,2972.0,449700,1342
18,141A,トライアルホールディングス,3130.0,399700,1240
19,603A,アイ・グリッド・ソリューションズ,700.0,1582200,1178
20,9166,ＧＥＮＤＡ,602.0,1927600,1171
21,4259,エクサウィザーズ,777.0,1512200,1167
22,4478,フリー,2599.0,435200,1112
23,4424,Ａｍａｚｉａ,379.0,2434000,1041
24,7806,ＭＴＧ,7610.0,133800,1011
25,4419,Ｆｉｎａｔｅｘｔホールディングス,1530.0,552300,835
26,247A,Ａｉロボティクス,862.0,969200,824
27,3692,ＦＦＲＩセキュリティ,5190.0,159500,810
28,299A,クラシル,1164.0,680700,810
29,402A,アクセルスペースホールディングス,467.0,1714100,790
30,5243,ｎｏｔｅ,2129.0,359800,773
31,319A,技術承継機構,16560.0,43200,717
32,5574,ＡＢＥＪＡ,2732.0,251700,680
33,6521,オキサイド,2903.0,226900,660
34,4592,サンバイオ,919.0,701400,649
35,6232,ＡＣＳＬ,1554.0,414700,637
36,446A,ノースサンド,1573.0,381400,599
37,7777,スリー・ディー・マトリックス,329.0,1843900,593
38,325A,ＴＥＮＴＩＡＬ,1522.0,373500,563
39,9256,サクシード,1275.0,415600,552
40,7794,イーディーピー,860.0,640200,544
41,4894,クオリプス,4485.0,123000,538
42,2986,ＬＡホールディングス,2740.0,184800,504
43,9158,シーユーシー,790.0,676300,485
44,9227,マイクロ波化学,857.0,556200,476
45,4593,ヘリオス,236.0,2005900,467
46,6085,アーキテクツ・スタジオ・ジャパン,88.0,5069500,465
47,4417,グローバルセキュリティエキスパート,4580.0,100100,458
48,6255,エヌ・ピー・シー,656.0,707900,457
49,4052,フィーチャ,342.0,1379200,452
50,584A,ＬｉＮＫＸ,2175.0,190600,418
51,4475,ＨＥＮＮＧＥ,1302.0,313900,408
52,4889,レナサイエンス,1485.0,267300,390
53,3664,ＷＩＺＥ,22.0,18002700,390
54,9348,ｉｓｐａｃｅ,405.0,874400,356
55,4431,スマレジ,3190.0,110400,354
56,218A,Ｌｉｂｅｒａｗａｒｅ,1082.0,334500,352
57,7803,ブシロード,377.0,924900,350
58,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1450.0,238800,345
59,2334,イオレ,453.0,755800,345
60,5246,ＥＬＥＭＥＮＴＳ,743.0,450900,339
61,219A,Ｈｅａｒｔｓｅｅｄ,1683.0,184700,308
62,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,3685.0,78600,289
63,3989,シェアリングテクノロジー,1340.0,204000,275
64,456A,ＨＵＭＡＮ　ＭＡＤＥ,1321.0,202100,267
65,7779,ＣＹＢＥＲＤＹＮＥ,219.0,1185500,259
66,6597,ＨＰＣシステムズ,3160.0,81100,258
67,7409,ＡｅｒｏＥｄｇｅ,1564.0,169000,258
68,4258,網屋,4335.0,59500,253
69,5834,ＳＢＩリーシングサービス,2830.0,90000,252
70,9556,ＩＮＴＬＯＯＰ,2064.0,116400,235
71,150A,ＪＳＨ,425.0,508900,232
72,3479,ＴＫＰ,1917.0,116900,224
73,598A,チャットプラス,1561.0,143200,223
74,4418,ＪＤＳＣ,805.0,280500,222
75,7047,ポート,2440.0,88000,213
76,4425,Ｋｕｄａｎ,1610.0,128500,206
77,7373,アイドマ・ホールディングス,946.0,207000,196
78,4575,キャンバス,737.0,263600,191
79,4498,サイバートラスト,1243.0,150000,187
80,350A,デジタルグリッド,742.0,251000,185
81,4165,プレイド,578.0,313300,182
82,4169,ＥＮＥＣＨＡＮＧＥ,239.0,776100,182
83,4477,ＢＡＳＥ,305.0,596800,181
84,421A,ムービン・ストラテジック・キャリア,3430.0,49900,176
85,3070,ジェリービーンズグループ,67.0,2381800,168
86,4493,サイバーセキュリティクラウド,1821.0,91500,166
87,7318,セレンディップ・ホールディングス,1902.0,86400,164
88,4393,バンク・オブ・イノベーション,4935.0,32400,159
89,1436,グリーンエナジー＆カンパニー,1353.0,105200,141
90,336A,ダイナミックマッププラットフォーム,812.0,170400,137
91,9270,バリュエンスホールディングス,1840.0,72100,134
92,7094,ＮｅｘＴｏｎｅ,1521.0,87100,133
93,7063,Ｂｉｒｄｍａｎ,86.0,1504000,132
94,6166,中村超硬,611.0,212400,129
95,4375,セーフィー,663.0,194900,129
96,5537,ＡｌｂａＬｉｎｋ,2581.0,48900,126
97,4055,ティアンドエスグループ,1526.0,81200,124
98,5532,リアルゲイト,3300.0,38400,124
99,5842,インテグラル,2931.0,41800,123
100,3652,ディジタルメディアプロフェッショナル,2355.0,52100,122
