順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,285A,キオクシアホールディングス,49880.0,25108400,1262015
2,9984,ソフトバンクグループ,6247.0,62284400,389502
3,6976,太陽誘電,9000.0,26019400,237443
4,6857,アドバンテスト,30240.0,7233400,220187
5,4062,イビデン,18475.0,8663100,160488
6,5803,フジクラ,4867.0,30234600,148238
7,8035,東京エレクトロン,50970.0,2795000,142378
8,6981,村田製作所,7431.0,18812300,142198
9,8306,三菱ＵＦＪフィナンシャル・グループ,3652.0,38746600,141902
10,6920,レーザーテック,35960.0,3766300,134484
11,5801,古河電気工業,3763.0,23256200,89419
12,7011,三菱重工業,3887.0,20985600,81290
13,5016,ＪＸ金属,3500.0,20593000,73550
14,6146,ディスコ,50590.0,1400300,70704
15,8316,三井住友フィナンシャルグループ,6878.0,10236000,70551
16,6098,リクルートホールディングス,17445.0,3829300,66618
17,8411,みずほフィナンシャルグループ,8549.0,7487300,64690
18,7974,任天堂,8475.0,7644500,64296
19,7203,トヨタ自動車,3034.0,20929600,63430
20,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,8284.0,7065000,58697
21,8001,伊藤忠商事,2370.0,21522800,51058
22,9983,ファーストリテイリング,67700.0,751800,50921
23,6501,日立製作所,5475.0,8733900,47731
24,8766,東京海上ホールディングス,8298.0,5533300,45789
25,5706,三井金属,21235.0,1859400,40397
26,8848,レオパレス２１,1060.0,37355200,38340
27,5802,住友電気工業,2052.5,18463300,38127
28,6758,ソニーグループ,3754.0,10116800,37888
29,7013,ＩＨＩ,2842.5,13112400,37382
30,6752,パナソニック　ホールディングス,4262.0,8007500,34552
31,4063,信越化学工業,5762.0,5873900,33938
32,7741,ＨＯＹＡ,22655.0,1429800,32461
33,6861,キーエンス,76100.0,414500,31660
34,9432,ＮＴＴ,180.0,171846200,30802
35,8058,三菱商事,4979.0,6045700,30045
36,6723,ルネサスエレクトロニクス,3168.0,9206600,29443
37,5713,住友金属鉱山,9328.0,2997500,28152
38,8002,丸紅,5020.0,5588700,28072
39,3436,ＳＵＭＣＯ,2867.5,9644300,28055
40,4502,武田薬品工業,5946.0,4687800,27746
41,9104,商船三井,7438.0,3743600,27682
42,7012,川崎重工業,2421.0,11028700,26836
43,4004,レゾナック・ホールディングス,13560.0,1907000,26082
44,5401,日本製鉄,702.6,36930300,25789
45,2914,日本たばこ産業,6916.0,3711900,25529
46,8031,三井物産,5224.0,4671400,24325
47,9101,日本郵船,7566.0,3189700,23977
48,6702,富士通,4008.0,5928400,23652
49,8604,野村ホールディングス,1590.5,14378300,23018
50,7735,ＳＣＲＥＥＮホールディングス,12320.0,1849800,22827
51,6503,三菱電機,5164.0,4392800,22774
52,6701,日本電気,4896.0,4638300,22649
53,8136,サンリオ,1238.5,18281600,22561
54,6330,東洋エンジニアリング,2803.0,7922400,22179
55,6762,ＴＤＫ,2806.0,7798900,22139
56,3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,4766.0,4639100,22049
57,7267,本田技研工業,1708.5,12233600,20850
58,4568,第一三共,2933.0,7031400,20517
59,6301,小松製作所,7059.0,2847100,20158
60,7936,アシックス,4097.0,4821500,19752
61,8308,りそなホールディングス,2479.0,7765800,19248
62,9501,東京電力ホールディングス,556.2,34374800,19126
63,1605,ＩＮＰＥＸ,3929.0,4688900,18506
64,9433,ＫＤＤＩ,3109.0,5902800,18296
65,6954,ファナック,5794.0,3052900,17814
66,8053,住友商事,1844.5,9541700,17489
67,4519,中外製薬,6684.0,2511600,16725
68,6871,日本マイクロニクス,12620.0,1320100,16691
69,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,5260.0,3127800,16415
70,8630,ＳＯＭＰＯホールディングス,6994.0,2339000,16289
71,6787,メイコー,21960.0,722100,15907
72,8591,オリックス,6215.0,2443000,15183
73,9107,川崎汽船,3552.0,4242700,15006
74,9434,ソフトバンク,251.6,58330900,14647
75,6971,京セラ,3559.0,3985100,14273
76,6526,ソシオネクスト,1965.0,7217600,14255
77,8750,第一ライフグループ,1931.0,7321800,14133
78,5020,ＥＮＥＯＳホールディングス,1459.5,9630500,14015
79,4578,大塚ホールディングス,11235.0,1221900,13694
80,2802,味の素,4953.0,2715000,13465
81,6273,ＳＭＣ,66530.0,200500,13435
82,7532,パン・パシフィック・インターナショナルホールディングス,726.7,18596200,13431
83,6506,安川電機,4299.0,3094000,13423
84,4661,オリエンタルランド,3068.0,4310300,13154
85,8473,ＳＢＩホールディングス,3256.0,3993800,13034
86,7182,ゆうちょ銀行,3286.0,3911000,12871
87,8802,三菱地所,3678.0,3328400,12230
88,7003,三井Ｅ＆Ｓ,4401.0,2776000,12111
89,6594,ニデック,2724.0,4476000,12070
90,8015,豊田通商,7535.0,1586100,11918
91,5108,ブリヂストン,3789.0,3152800,11909
92,7751,キヤノン,4534.0,2605400,11780
93,6963,ローム,4472.0,2591400,11667
94,6367,ダイキン工業,20700.0,556600,11511
95,3110,日東紡績,2876.0,3977500,11470
96,9697,カプコン,4432.0,2573600,11437
97,6326,クボタ,2783.5,4069700,11302
98,8267,イオン,1348.0,8377900,11248
99,6988,日東電工,3405.0,3306600,11225
100,8309,三井住友トラストグループ,1789.5,6214100,11107
