順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,186A,アストロスケールホールディングス,2065.0,16856200,35317
2,6613,ＱＤレーザ,2600.0,5276300,14186
3,464A,ＱＰＳホールディングス,2998.0,2733500,8180
4,485A,パワーエックス,3210.0,2356600,7740
5,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1502.0,4431800,6685
6,6597,ＨＰＣシステムズ,6130.0,983800,6102
7,141A,トライアルホールディングス,2734.0,2080500,5438
8,4564,オンコセラピー・サイエンス,20.0,206190900,4248
9,3905,データセクション,5060.0,810000,4097
10,9166,ＧＥＮＤＡ,673.0,5895600,3897
11,5572,Ｒｉｄｇｅ－ｉ,3390.0,1091500,3714
12,2334,イオレ,538.0,6716000,3587
13,4588,オンコリスバイオファーマ,2519.0,1436800,3548
14,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,8590.0,391800,3340
15,2160,ジーエヌアイグループ,2625.0,1109900,2859
16,402A,アクセルスペースホールディングス,708.0,3936500,2838
17,4259,エクサウィザーズ,1150.0,2430000,2814
18,6521,オキサイド,5200.0,453300,2369
19,3692,ＦＦＲＩセキュリティ,5040.0,420000,2182
20,4597,ソレイジア・ファーマ,24.0,91963800,2177
21,4592,サンバイオ,1260.0,1634900,2005
22,6232,ＡＣＳＬ,2018.0,958900,1950
23,4478,フリー,2276.0,775600,1796
24,456A,ＨＵＭＡＮ　ＭＡＤＥ,1577.0,1071500,1768
25,215A,タイミー,1060.0,1637900,1745
26,5253,カバー,1637.0,1012000,1654
27,4889,レナサイエンス,1529.0,1075700,1589
28,6085,アーキテクツ・スタジオ・ジャパン,248.0,6303200,1545
29,9348,ｉｓｐａｃｅ,587.0,2527200,1479
30,7777,スリー・ディー・マトリックス,377.0,3092100,1167
31,7806,ＭＴＧ,7200.0,148300,1058
32,3624,アクセルマーク,81.0,12073400,1056
33,2986,ＬＡホールディングス,8400.0,125000,1044
34,219A,Ｈｅａｒｔｓｅｅｄ,1620.0,675100,1041
35,4419,Ｆｉｎａｔｅｘｔホールディングス,1222.0,814900,1027
36,7779,ＣＹＢＥＲＤＹＮＥ,304.0,3034700,886
37,7047,ポート,2045.0,426900,884
38,4475,ＨＥＮＮＧＥ,1200.0,709600,856
39,4165,プレイド,644.0,1237200,809
40,7318,セレンディップ・ホールディングス,2367.0,331000,808
41,4894,クオリプス,4365.0,185600,787
42,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3855.0,202100,786
43,247A,Ａｉロボティクス,675.0,1195500,776
44,5031,モイ,547.0,1304900,691
45,5590,ネットスターズ,717.0,987900,659
46,7794,イーディーピー,1070.0,559200,611
47,319A,技術承継機構,16640.0,34300,580
48,4593,ヘリオス,311.0,1840400,567
49,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4010.0,137200,553
50,5243,ｎｏｔｅ,1935.0,267200,518
51,336A,ダイナミックマッププラットフォーム,879.0,580300,516
52,299A,クラシル,972.0,509300,503
53,4425,Ｋｕｄａｎ,1736.0,287100,496
54,3479,ＴＫＰ,1490.0,330000,494
55,446A,ノースサンド,1347.0,358700,486
56,218A,Ｌｉｂｅｒａｗａｒｅ,1210.0,397000,464
57,166A,タスキホールディングス,956.0,481700,459
58,558A,ＳＱＵＥＥＺＥ,4985.0,87700,420
59,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1473.0,280800,414
60,4055,ティアンドエスグループ,2050.0,195900,400
61,4417,グローバルセキュリティエキスパート,3175.0,116400,370
62,325A,ＴＥＮＴＩＡＬ,3800.0,95200,358
63,350A,デジタルグリッド,816.0,407000,335
64,7082,ジモティー,1416.0,227400,322
65,6522,アスタリスク,812.0,392400,316
66,4596,窪田製薬ホールディングス,61.0,5124200,310
67,4591,リボミック,67.0,4299300,305
68,280A,ＴＭＨ,2384.0,126000,298
69,462A,ＦＵＮＤＩＮＮＯ,405.0,716700,293
70,9227,マイクロ波化学,904.0,307300,281
71,3652,ディジタルメディアプロフェッショナル,3035.0,87700,274
72,2586,フルッタフルッタ,102.0,2636900,266
73,4493,サイバーセキュリティクラウド,1778.0,148000,265
74,338A,ＺｅｎｍｕＴｅｃｈ,2170.0,121000,263
75,7409,ＡｅｒｏＥｄｇｅ,3060.0,84400,260
76,5834,ＳＢＩリーシングサービス,2222.0,111500,248
77,5574,ＡＢＥＪＡ,2301.0,108200,244
78,5246,ＥＬＥＭＥＮＴＳ,593.0,411900,243
79,4377,ワンキャリア,1923.0,125800,241
80,4579,ラクオリア創薬,501.0,472100,239
81,5592,くすりの窓口,2467.0,94700,236
82,3070,ジェリービーンズグループ,96.0,2484800,234
