順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,285A,キオクシアホールディングス,57000.0,30759700,1758856
2,9984,ソフトバンクグループ,6810.0,104883900,711763
3,6857,アドバンテスト,32840.0,10285000,342644
4,5803,フジクラ,5493.0,50372600,277083
5,6976,太陽誘電,8972.0,30177300,274219
6,4062,イビデン,21420.0,11597200,250800
7,6920,レーザーテック,35280.0,6177900,226743
8,8035,東京エレクトロン,53700.0,3545400,190389
9,5801,古河電気工業,4129.0,37135100,152147
10,6981,村田製作所,7128.0,19674600,140008
11,8306,三菱ＵＦＪフィナンシャル・グループ,3601.0,33199200,120185
12,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,8675.0,11131700,100004
13,9983,ファーストリテイリング,66860.0,1432200,96077
14,6098,リクルートホールディングス,15305.0,5789500,88964
15,5016,ＪＸ金属,3909.0,21408400,83469
16,7974,任天堂,8401.0,9694900,82141
17,6146,ディスコ,53590.0,1491800,81392
18,7203,トヨタ自動車,2971.0,24802100,73830
19,8316,三井住友フィナンシャルグループ,6801.0,9967300,68381
20,8411,みずほフィナンシャルグループ,8476.0,7666300,65645
21,6758,ソニーグループ,3625.0,16409500,59519
22,7011,三菱重工業,3813.0,14782100,56110
23,7936,アシックス,4100.0,12253100,50080
24,5802,住友電気工業,2189.5,22688500,49774
25,7013,ＩＨＩ,2800.5,17585800,48798
26,8001,伊藤忠商事,2299.0,20464900,47107
27,5706,三井金属,26200.0,1773400,46557
28,4063,信越化学工業,5719.0,7915400,45260
29,6501,日立製作所,5173.0,8454600,43847
30,8766,東京海上ホールディングス,7701.0,5567200,43091
31,6861,キーエンス,76280.0,513400,39396
32,8058,三菱商事,5038.0,7197300,36097
33,7741,ＨＯＹＡ,23210.0,1537700,35825
34,6330,東洋エンジニアリング,2891.0,12506700,35762
35,9432,ＮＴＴ,172.2,205235500,35280
36,6503,三菱電機,5168.0,6506800,33527
37,6762,ＴＤＫ,2812.5,11867400,33376
38,5713,住友金属鉱山,10370.0,3253400,33329
39,4502,武田薬品工業,5615.0,5530300,31216
40,3436,ＳＵＭＣＯ,3122.0,9905900,31089
41,6701,日本電気,4503.0,6846000,30793
42,6723,ルネサスエレクトロニクス,3315.0,9182900,30402
43,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4947.0,5748000,28488
44,8031,三井物産,5156.0,5476600,28187
45,8136,サンリオ,1192.5,23424700,28113
46,6702,富士通,3745.0,7022800,26358
47,7012,川崎重工業,2418.0,10801500,26165
48,7735,ＳＣＲＥＥＮホールディングス,13020.0,1983000,26114
49,9706,日本空港ビルデング,5590.0,4594900,25845
50,4004,レゾナック・ホールディングス,16070.0,1598200,25831
51,6954,ファナック,5848.0,4384700,25683
52,7267,本田技研工業,1620.0,15061500,24350
53,6367,ダイキン工業,20835.0,1157300,24014
54,1605,ＩＮＰＥＸ,3912.0,6057700,23761
55,8015,豊田通商,7517.0,3079500,23072
56,9433,ＫＤＤＩ,2976.5,7741600,23024
57,7832,バンダイナムコホールディングス,5382.0,4227200,22791
58,9501,東京電力ホールディングス,575.1,39961400,22638
59,5401,日本製鉄,675.9,33513000,22614
60,8308,りそなホールディングス,2412.0,9231700,22523
61,6273,ＳＭＣ,67890.0,321100,21786
62,6752,パナソニック　ホールディングス,4179.0,5187400,21746
63,8591,オリックス,6021.0,3462100,20907
64,6301,小松製作所,7418.0,2783900,20660
65,4661,オリエンタルランド,3143.0,6513000,20465
66,5020,ＥＮＥＯＳホールディングス,1459.0,13939400,20291
67,2914,日本たばこ産業,6610.0,3027500,20058
68,6971,京セラ,3406.0,5860600,19943
69,8002,丸紅,5145.0,3813300,19618
70,9101,日本郵船,7201.0,2646100,19051
71,4519,中外製薬,6476.0,2871600,18677
72,5108,ブリヂストン,3759.0,4924100,18555
73,9434,ソフトバンク,239.2,76649200,18403
74,7751,キヤノン,4317.0,4239600,18349
75,8053,住友商事,1840.0,9895000,18239
76,8309,三井住友トラストグループ,1730.0,10233600,17788
77,8630,ＳＯＭＰＯホールディングス,6578.0,2526900,16642
78,4568,第一三共,2710.5,6093600,16574
79,7182,ゆうちょ銀行,3210.0,5080400,16434
80,2802,味の素,5084.0,3209700,16392
81,8473,ＳＢＩホールディングス,3217.0,5034700,16372
82,8750,第一ライフグループ,1804.0,8970400,16196
83,3382,セブン＆アイ・ホールディングス,2028.5,7895400,16041
84,1812,鹿島建設,5187.0,3059900,15839
85,5334,日本特殊陶業,7446.0,2063800,15341
86,6902,デンソー,1888.5,8119500,15321
87,4307,野村総合研究所,4818.0,3143100,15147
88,7532,パン・パシフィック・インターナショナルホールディングス,755.6,19852600,15067
89,8830,住友不動産,3307.0,4529100,14887
90,8604,野村ホールディングス,1616.0,9093700,14780
91,9843,ニトリホールディングス,3287.0,4439000,14645
92,9503,関西電力,2999.0,4820800,14417
93,4578,大塚ホールディングス,11675.0,1231700,14397
94,6871,日本マイクロニクス,12760.0,1120400,14317
95,9104,商船三井,7039.0,2024600,14255
96,6988,日東電工,3175.0,4436100,14057
97,4503,アステラス製薬,2237.0,6209400,13922
98,5019,出光興産,1660.0,8406000,13818
99,8267,イオン,1383.5,9914200,13801
100,4901,富士フイルムホールディングス,3199.0,4263100,13651
