順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6522,アスタリスク,1950.0,9809500,20104
2,485A,パワーエックス,2011.0,4724700,9126
3,6613,ＱＤレーザ,2595.0,3256100,8240
4,3905,データセクション,3160.0,1832100,5664
5,186A,アストロスケールホールディングス,1218.0,4762300,5632
6,215A,タイミー,1682.0,2795900,4694
7,584A,ＬｉＮＫＸ,2522.0,1784300,4533
8,581A,ＧＯ,2376.0,1959100,4521
9,4564,オンコセラピー・サイエンス,20.0,194553200,3701
10,464A,ＱＰＳホールディングス,2098.0,1696900,3487
11,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,8410.0,420400,3443
12,589A,ネイス,1348.0,2191200,3067
13,5253,カバー,1548.0,2033800,3061
14,2160,ジーエヌアイグループ,2858.0,900200,2588
15,4597,ソレイジア・ファーマ,26.0,91098500,2284
16,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1290.0,1785800,2251
17,4588,オンコリスバイオファーマ,2680.0,772500,2096
18,4259,エクサウィザーズ,886.0,2391700,2089
19,141A,トライアルホールディングス,3075.0,624800,1933
20,7806,ＭＴＧ,8100.0,218100,1788
21,6166,中村超硬,930.0,1920200,1781
22,4419,Ｆｉｎａｔｅｘｔホールディングス,1516.0,973200,1453
23,456A,ＨＵＭＡＮ　ＭＡＤＥ,1587.0,893700,1386
24,247A,Ａｉロボティクス,851.0,1508500,1267
25,402A,アクセルスペースホールディングス,552.0,2370300,1258
26,3692,ＦＦＲＩセキュリティ,5380.0,228600,1233
27,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3565.0,320900,1151
28,4478,フリー,2124.0,541300,1144
29,2334,イオレ,610.0,1782400,1082
30,6232,ＡＣＳＬ,1850.0,535500,952
31,3133,海帆,102.0,10225800,952
32,4592,サンバイオ,1073.0,888300,938
33,6521,オキサイド,4585.0,209100,919
34,4575,キャンバス,690.0,1350200,897
35,5243,ｎｏｔｅ,2075.0,389300,791
36,9166,ＧＥＮＤＡ,566.0,1382300,791
37,6085,アーキテクツ・スタジオ・ジャパン,215.0,3675900,790
38,4258,網屋,4395.0,176100,737
39,4894,クオリプス,4655.0,155900,714
40,2986,ＬＡホールディングス,2872.0,244700,691
41,7777,スリー・ディー・マトリックス,357.0,1823800,655
42,4424,Ａｍａｚｉａ,272.0,2113700,621
43,4417,グローバルセキュリティエキスパート,4210.0,141800,611
44,7318,セレンディップ・ホールディングス,2359.0,267200,596
45,7063,Ｂｉｒｄｍａｎ,86.0,6076100,541
46,5242,アイズ,907.0,525800,500
47,4165,プレイド,549.0,919000,500
48,9348,ｉｓｐａｃｅ,450.0,1117200,499
49,5537,ＡｌｂａＬｉｎｋ,3130.0,156700,484
50,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4570.0,108200,482
51,9256,サクシード,4940.0,92300,455
52,4425,Ｋｕｄａｎ,1995.0,212000,413
53,4475,ＨＥＮＮＧＥ,1248.0,324300,399
54,3989,シェアリングテクノロジー,1423.0,280300,398
55,7803,ブシロード,308.0,1205100,366
56,446A,ノースサンド,1325.0,270700,359
57,7779,ＣＹＢＥＲＤＹＮＥ,240.0,1422400,338
58,7794,イーディーピー,1229.0,279000,337
59,319A,技術承継機構,17480.0,18600,316
60,325A,ＴＥＮＴＩＡＬ,1350.0,230500,311
61,4393,バンク・オブ・イノベーション,5270.0,59200,307
62,4431,スマレジ,2935.0,103700,303
63,219A,Ｈｅａｒｔｓｅｅｄ,1641.0,182800,297
64,4179,ジーネクスト,500.0,592900,292
65,7047,ポート,2400.0,115000,276
66,4593,ヘリオス,250.0,1096500,275
67,421A,ムービン・ストラテジック・キャリア,3725.0,72000,269
68,5574,ＡＢＥＪＡ,2276.0,119500,267
69,9553,マイクロアド,609.0,439900,261
70,5572,Ｒｉｄｇｅ－ｉ,2800.0,96200,260
71,4377,ワンキャリア,2135.0,122200,258
72,6597,ＨＰＣシステムズ,4285.0,60000,258
73,336A,ダイナミックマッププラットフォーム,877.0,270300,237
74,350A,デジタルグリッド,776.0,303300,236
75,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,382.0,629000,236
76,338A,ＺｅｎｍｕＴｅｃｈ,2309.0,105400,236
77,276A,ククレブ・アドバイザーズ,3425.0,69100,235
78,5592,くすりの窓口,2350.0,101000,233
79,3664,ＷＩＺＥ,24.0,9499800,228
80,147A,ソラコム,1171.0,193700,225
81,5246,ＥＬＥＭＥＮＴＳ,658.0,334900,218
82,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,526.0,417400,216
83,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1429.0,149500,214
84,2438,アスカネット,356.0,593300,212
85,7409,ＡｅｒｏＥｄｇｅ,1888.0,110200,201
86,4493,サイバーセキュリティクラウド,1803.0,108800,197
87,4418,ＪＤＳＣ,762.0,260700,194
88,4055,ティアンドエスグループ,1714.0,113200,191
89,556A,犬猫生活,2325.0,82400,190
90,4169,ＥＮＥＣＨＡＮＧＥ,210.0,913700,189
91,4889,レナサイエンス,1529.0,121400,183
92,5532,リアルゲイト,3625.0,50200,181
93,4477,ＢＡＳＥ,284.0,632000,179
94,218A,Ｌｉｂｅｒａｗａｒｅ,1030.0,172200,174
95,3691,デジタルプラス,1645.0,103500,172
96,4882,ペルセウスプロテオミクス,154.0,1139600,172
97,3652,ディジタルメディアプロフェッショナル,2407.0,73200,168
98,3070,ジェリービーンズグループ,78.0,2136100,162
99,5590,ネットスターズ,743.0,211600,154
100,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,42.0,3481300,148
