順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,9500.0,1308400,11975
2,485A,パワーエックス,2000.0,5535800,10991
3,6522,アスタリスク,1900.0,4077200,8205
4,3905,データセクション,2925.0,1879700,5353
5,584A,ＬｉＮＫＸ,4090.0,1299800,5040
6,581A,ＧＯ,2505.0,1891300,4825
7,186A,アストロスケールホールディングス,1096.0,4074100,4471
8,218A,Ｌｉｂｅｒａｗａｒｅ,1293.0,3104400,3912
9,4564,オンコセラピー・サイエンス,19.0,198931700,3798
10,6613,ＱＤレーザ,2540.0,1263400,3287
11,589A,ネイス,1410.0,2234200,3226
12,215A,タイミー,1519.0,2038100,3147
13,5243,ｎｏｔｅ,2010.0,1512800,3131
14,5253,カバー,1632.0,1762900,2822
15,464A,ＱＰＳホールディングス,1825.0,1378700,2491
16,2160,ジーエヌアイグループ,2588.0,750100,1953
17,4597,ソレイジア・ファーマ,25.0,68899300,1754
18,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1207.0,1451400,1737
19,4424,Ａｍａｚｉａ,316.0,4659500,1522
20,7806,ＭＴＧ,7470.0,183900,1398
21,4596,窪田製薬ホールディングス,69.0,18467000,1373
22,402A,アクセルスペースホールディングス,506.0,2646300,1339
23,141A,トライアルホールディングス,3100.0,423500,1293
24,6232,ＡＣＳＬ,1732.0,604800,1035
25,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,48.0,16918700,949
26,6521,オキサイド,4200.0,222400,942
27,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3565.0,260400,937
28,2334,イオレ,555.0,1638700,893
29,4591,リボミック,77.0,10214900,836
30,4588,オンコリスバイオファーマ,2526.0,327700,829
31,4259,エクサウィザーズ,886.0,910700,799
32,4593,ヘリオス,256.0,2560200,647
33,4419,Ｆｉｎａｔｅｘｔホールディングス,1493.0,431000,639
34,4478,フリー,2243.0,270200,609
35,456A,ＨＵＭＡＮ　ＭＡＤＥ,1635.0,358100,591
36,4592,サンバイオ,997.0,595000,585
37,3133,海帆,106.0,5089500,573
38,6085,アーキテクツ・スタジオ・ジャパン,216.0,2547600,573
39,4894,クオリプス,4620.0,109100,493
40,7777,スリー・ディー・マトリックス,350.0,1341900,475
41,1447,ＳＡＡＦホールディングス,387.0,1145500,452
42,4258,網屋,4240.0,105700,451
43,247A,Ａｉロボティクス,812.0,557000,446
44,7409,ＡｅｒｏＥｄｇｅ,1585.0,276200,439
45,5246,ＥＬＥＭＥＮＴＳ,647.0,645900,423
46,9166,ＧＥＮＤＡ,572.0,734700,419
47,9256,サクシード,4195.0,96700,411
48,7318,セレンディップ・ホールディングス,2011.0,183500,373
49,3989,シェアリングテクノロジー,1402.0,254100,356
50,7779,ＣＹＢＥＲＤＹＮＥ,226.0,1572600,351
51,446A,ノースサンド,1304.0,268100,348
52,3692,ＦＦＲＩセキュリティ,5260.0,65300,339
53,281A,インフォメティス,489.0,683200,332
54,7063,Ｂｉｒｄｍａｎ,85.0,3462300,322
55,6166,中村超硬,771.0,412300,315
56,9348,ｉｓｐａｃｅ,508.0,614000,312
57,319A,技術承継機構,17140.0,17700,304
58,4889,レナサイエンス,1453.0,193600,282
