順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,285A,キオクシアホールディングス,92180.0,43906600,4170932
2,9984,ソフトバンクグループ,6226.0,71837400,449001
3,5803,フジクラ,6131.0,61307100,385954
4,6857,アドバンテスト,32440.0,11040100,363802
5,8035,東京エレクトロン,72920.0,4533200,329972
6,6976,太陽誘電,16780.0,19830400,329640
7,4062,イビデン,24000.0,10358400,259857
8,6981,村田製作所,10770.0,21939600,241327
9,5016,ＪＸ金属,4553.0,35105500,162651
10,6723,ルネサスエレクトロニクス,4800.0,31839500,160240
11,6920,レーザーテック,50000.0,2794300,141016
12,5801,古河電気工業,45280.0,2992000,139444
13,6146,ディスコ,78510.0,1648500,132411
14,8306,三菱ＵＦＪフィナンシャル・グループ,3245.0,27483000,89269
15,7203,トヨタ自動車,2768.0,32537200,89244
16,7974,任天堂,6589.0,13176000,87158
17,8136,サンリオ,1092.0,77654900,82980
18,5802,住友電気工業,11935.0,6276700,76454
19,9983,ファーストリテイリング,84070.0,912600,76415
20,8316,三井住友フィナンシャルグループ,6391.0,11097300,70683
21,6762,ＴＤＫ,3575.0,18063900,65544
22,6752,パナソニック　ホールディングス,4540.0,14190200,64904
23,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,9980.0,6479300,64558
24,6758,ソニーグループ,3199.0,19829700,62908
25,6501,日立製作所,4478.0,13899700,62495
26,4063,信越化学工業,6835.0,8927500,61704
27,8411,みずほフィナンシャルグループ,7794.0,7865800,61088
28,7011,三菱重工業,3567.0,16993000,60860
29,7735,ＳＣＲＥＥＮホールディングス,16535.0,3561100,60315
30,5706,三井金属,42390.0,1324100,57409
31,4004,レゾナック・ホールディングス,17330.0,3130000,54213
32,3436,ＳＵＭＣＯ,3818.0,13973600,53247
33,2914,日本たばこ産業,6072.0,8185500,49437
34,6954,ファナック,7026.0,6268300,44655
35,6098,リクルートホールディングス,11040.0,4029100,44488
36,6861,キーエンス,77100.0,575500,44303
37,8766,東京海上ホールディングス,6903.0,6194700,42495
38,8058,三菱商事,4403.0,9415700,41486
39,6506,安川電機,6810.0,4960200,34492
40,7741,ＨＯＹＡ,25575.0,1331600,34336
41,7012,川崎重工業,2836.0,11927400,33878
42,8031,三井物産,4508.0,7158600,32247
43,6301,小松製作所,6329.0,4736300,29938
44,6963,ローム,5342.0,5474600,29670
45,9432,ＮＴＴ,144.3,206488100,29647
46,6367,ダイキン工業,24050.0,1200900,28847
47,6503,三菱電機,5858.0,4893500,28688
48,3110,日東紡績,19630.0,1468500,28580
49,7013,ＩＨＩ,2672.5,10656000,28494
50,2802,味の素,5721.0,4592800,26343
51,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4241.0,6194800,26235
52,6361,荏原製作所,6248.0,4188600,26230
53,8002,丸紅,4692.0,5292500,24863
54,7269,スズキ,1963.5,12537800,24466
55,8801,三井不動産,1480.0,16359000,23996
56,6701,日本電気,3795.0,6287300,23674
57,7267,本田技研工業,1449.5,16150100,23213
58,4452,花王,6544.0,3496400,22809
59,9433,ＫＤＤＩ,2681.0,8524400,22767
60,6526,ソシオネクスト,2519.5,8872200,22600
61,5713,住友金属鉱山,7635.0,2936400,22452
62,6971,京セラ,3411.0,6513800,22449
63,7936,アシックス,4456.0,5017900,22339
64,5333,ＮＧＫ,7509.0,2936700,22283
65,8001,伊藤忠商事,1833.5,12198400,22276
66,6787,メイコー,30250.0,711400,21621
67,3197,すかいらーくホールディングス,2769.0,7624700,21281
68,9501,東京電力ホールディングス,456.6,46173600,21212
69,6871,日本マイクロニクス,17150.0,1242000,21155
70,4502,武田薬品工業,5087.0,4148100,21123
71,7182,ゆうちょ銀行,3069.0,6799100,20867
72,4980,デクセリアルズ,4407.0,4572400,20690
73,6479,ミネベアミツミ,4805.0,4154600,20575
74,7751,キヤノン,4258.0,4659600,19788
75,9412,スカパーＪＳＡＴ,2485.0,7888900,19521
76,8802,三菱地所,4101.0,4828000,19517
77,1605,ＩＮＰＥＸ,3351.0,5818800,19363
78,6702,富士通,3199.0,5909200,18801
79,6273,ＳＭＣ,71630.0,258700,18546
80,7717,ブイ・テクノロジー,9380.0,1832800,17693
81,4901,富士フイルムホールディングス,3436.0,5047100,17333
82,8053,住友商事,6201.0,2751600,17004
83,8591,オリックス,6140.0,2677700,16467
84,9101,日本郵船,5265.0,3015800,15778
85,9434,ソフトバンク,204.7,76751500,15677
86,8604,野村ホールディングス,1423.5,10827500,15529
87,4519,中外製薬,7434.0,2058200,15373
88,8750,第一ライフグループ,1726.5,8833800,15200
89,8015,豊田通商,5958.0,2531000,15141
90,8308,りそなホールディングス,2102.0,6949600,14618
91,6594,ニデック,2543.0,5527900,14245
92,3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,9969.0,1395600,13935
93,6383,ダイフク,7163.0,1916700,13809
94,5108,ブリヂストン,3462.0,4000600,13803
95,9104,商船三井,5219.0,2617600,13673
96,9502,中部電力,2999.5,4536100,13635
97,6504,富士電機,13680.0,980400,13523
98,4503,アステラス製薬,2145.0,6216800,13323
99,5401,日本製鉄,543.3,24184200,13135
100,8473,ＳＢＩホールディングス,2696.5,4859400,13122
