順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,485A,パワーエックス,2267.0,17655500,38837
2,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,20310.0,1498200,30638
3,4588,オンコリスバイオファーマ,6160.0,2308900,13686
4,593A,ティアフォー,2138.0,6187800,13033
5,338A,ＺｅｎｍｕＴｅｃｈ,3115.0,2119800,6864
6,215A,タイミー,1380.0,4860100,6442
7,186A,アストロスケールホールディングス,1020.0,5162300,5151
8,4052,フィーチャ,938.0,4446100,4705
9,3692,ＦＦＲＩセキュリティ,6950.0,641400,4447
10,581A,ＧＯ,3245.0,1288400,4151
11,4564,オンコセラピー・サイエンス,22.0,168259100,3747
12,336A,ダイナミックマッププラットフォーム,1363.0,2715300,3744
13,7777,スリー・ディー・マトリックス,408.0,7758600,3090
14,3905,データセクション,1483.0,1924800,2836
15,446A,ノースサンド,2012.0,1362700,2695
16,4478,フリー,3955.0,645900,2539
17,2160,ジーエヌアイグループ,2928.0,872100,2520
18,456A,ＨＵＭＡＮ　ＭＡＤＥ,1394.0,1733000,2447
19,6613,ＱＤレーザ,1971.0,1182400,2280
20,464A,ＱＰＳホールディングス,1649.0,1094000,1792
21,9166,ＧＥＮＤＡ,716.0,2455200,1765
22,4597,ソレイジア・ファーマ,29.0,60081200,1715
23,618A,ＫＯＭＰＥＩＴＯ,1620.0,1053200,1710
24,5031,モイ,398.0,3754800,1705
25,141A,トライアルホールディングス,3920.0,410200,1611
26,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,2880.0,527900,1511
27,219A,Ｈｅａｒｔｓｅｅｄ,2442.0,549300,1303
28,5253,カバー,1662.0,791700,1301
29,4475,ＨＥＮＮＧＥ,1749.0,752400,1291
30,3989,シェアリングテクノロジー,1544.0,816400,1261
31,6522,アスタリスク,1514.0,825700,1186
32,603A,アイ・グリッド・ソリューションズ,870.0,1295400,1100
33,4894,クオリプス,5820.0,183600,1042
34,6232,ＡＣＳＬ,1262.0,775100,981
35,5572,Ｒｉｄｇｅ－ｉ,3030.0,328600,973
36,3653,モルフォ,1079.0,866500,964
37,319A,技術承継機構,19940.0,47600,927
38,247A,Ａｉロボティクス,1019.0,902400,911
39,3664,ＷＩＺＥ,25.0,33260400,828
40,7803,ブシロード,468.0,1640400,753
41,350A,デジタルグリッド,696.0,1074500,741
42,4417,グローバルセキュリティエキスパート,4925.0,153300,738
43,7806,ＭＴＧ,7820.0,94900,737
44,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1435.0,513700,729
45,6085,アーキテクツ・スタジオ・ジャパン,141.0,4764400,714
46,4259,エクサウィザーズ,842.0,769800,637
47,4592,サンバイオ,948.0,667800,624
48,520A,ジェイファーマ,472.0,1077900,544
49,6521,オキサイド,2992.0,177100,527
50,4258,網屋,5210.0,98800,505
51,4419,Ｆｉｎａｔｅｘｔホールディングス,1407.0,358000,492
52,3187,ミラタップ,410.0,1079900,462
53,402A,アクセルスペースホールディングス,511.0,889000,448
54,9556,ＩＮＴＬＯＯＰ,2197.0,200000,435
55,3624,アクセルマーク,93.0,4625800,433
56,4593,ヘリオス,287.0,1514100,426
57,4493,サイバーセキュリティクラウド,1828.0,234400,423
58,4431,スマレジ,3345.0,122100,404
59,325A,ＴＥＮＴＩＡＬ,1817.0,200100,360
60,4599,ステムリム,182.0,1952700,349
61,5243,ｎｏｔｅ,2888.0,122000,346
62,5246,ＥＬＥＭＥＮＴＳ,815.0,425300,338
63,6081,アライドアーキテクツ,145.0,2274700,336
64,4892,サイフューズ,667.0,481100,327
65,4889,レナサイエンス,1156.0,279400,318
66,296A,令和アカウンティング・ホールディングス,1183.0,253700,300
