順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,485A,パワーエックス,1862.0,4390200,7964
2,6522,アスタリスク,1960.0,3872600,6930
3,215A,タイミー,1626.0,4215300,6846
4,3905,データセクション,3105.0,2069500,6596
5,6613,ＱＤレーザ,2610.0,2303000,6047
6,464A,ＱＰＳホールディングス,1983.0,2522900,5161
7,186A,アストロスケールホールディングス,1124.0,4048000,4602
8,584A,ＬｉＮＫＸ,2795.0,1211900,3506
9,4564,オンコセラピー・サイエンス,19.0,181453800,3463
10,581A,ＧＯ,2201.0,1421200,3181
11,2160,ジーエヌアイグループ,2856.0,971900,2790
12,4588,オンコリスバイオファーマ,2721.0,949600,2620
13,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,8110.0,299900,2399
14,4597,ソレイジア・ファーマ,26.0,92898000,2326
15,4478,フリー,2116.0,1129500,2319
16,141A,トライアルホールディングス,2998.0,771900,2315
17,5253,カバー,1458.0,1463500,2112
18,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1197.0,1364200,1658
19,4259,エクサウィザーズ,834.0,1944800,1638
20,2438,アスカネット,369.0,4377300,1608
21,402A,アクセルスペースホールディングス,514.0,2714200,1413
22,2334,イオレ,597.0,2134700,1262
23,3692,ＦＦＲＩセキュリティ,5210.0,237800,1228
24,589A,ネイス,1676.0,594000,1198
25,9166,ＧＥＮＤＡ,581.0,1906900,1137
26,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3425.0,317100,1083
27,7806,ＭＴＧ,7860.0,135400,1062
28,5243,ｎｏｔｅ,2024.0,514100,1049
29,6232,ＡＣＳＬ,1734.0,539400,954
30,9256,サクシード,5000.0,169900,881
31,6521,オキサイド,4415.0,181500,810
32,4475,ＨＥＮＮＧＥ,1227.0,617400,741
33,4419,Ｆｉｎａｔｅｘｔホールディングス,1368.0,519700,730
34,4417,グローバルセキュリティエキスパート,4030.0,178400,722
35,247A,Ａｉロボティクス,804.0,868000,690
36,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,521.0,1300400,677
37,281A,インフォメティス,627.0,1009300,660
38,4592,サンバイオ,1010.0,642500,659
39,4431,スマレジ,2906.0,224300,647
40,3989,シェアリングテクノロジー,1443.0,429800,622
41,5246,ＥＬＥＭＥＮＴＳ,639.0,931200,595
42,2986,ＬＡホールディングス,2767.0,204900,568
43,4894,クオリプス,4385.0,127200,562
44,7063,Ｂｉｒｄｍａｎ,106.0,5476800,546
45,7318,セレンディップ・ホールディングス,2220.0,247800,543
46,7777,スリー・ディー・マトリックス,354.0,1426100,518
