順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,14060.0,1350400,18579
2,593A,ティアフォー,1033.0,9613200,9533
3,3905,データセクション,1725.0,5227100,8819
4,6613,ＱＤレーザ,2165.0,3318900,7031
5,4588,オンコリスバイオファーマ,3720.0,1505200,5553
6,2160,ジーエヌアイグループ,2949.0,1613200,4746
7,581A,ＧＯ,3575.0,1328500,4707
8,9166,ＧＥＮＤＡ,802.0,5789700,4639
9,186A,アストロスケールホールディングス,1243.0,3769200,4636
10,4564,オンコセラピー・サイエンス,21.0,201642500,4084
11,485A,パワーエックス,1717.0,2288900,3828
12,141A,トライアルホールディングス,4005.0,922100,3633
13,4478,フリー,3855.0,878200,3284
14,215A,タイミー,1648.0,1570300,2556
15,4597,ソレイジア・ファーマ,36.0,72935900,2527
16,7806,ＭＴＧ,8640.0,284100,2386
17,464A,ＱＰＳホールディングス,1840.0,1156300,2094
18,219A,Ｈｅａｒｔｓｅｅｄ,2274.0,871300,1919
19,319A,技術承継機構,20200.0,86900,1695
20,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3340.0,409100,1357
21,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1384.0,974900,1343
22,247A,Ａｉロボティクス,973.0,1364700,1316
23,6522,アスタリスク,2018.0,642500,1291
24,5253,カバー,1540.0,827400,1266
25,150A,ＪＳＨ,801.0,1584200,1237
26,4593,ヘリオス,288.0,3647800,1023
27,446A,ノースサンド,2034.0,494700,988
28,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,244.0,3862000,911
29,4592,サンバイオ,1042.0,874400,900
30,4419,Ｆｉｎａｔｅｘｔホールディングス,1369.0,636100,857
31,5243,ｎｏｔｅ,2596.0,320700,834
32,264A,Ｓｃｈｏｏ,349.0,2335700,832
33,4475,ＨＥＮＮＧＥ,1504.0,539300,792
34,4259,エクサウィザーズ,800.0,988800,783
35,3664,ＷＩＺＥ,22.0,33541400,764
36,6521,オキサイド,3350.0,227900,749
37,4889,レナサイエンス,1368.0,528900,714
38,7138,ＴＯＲＩＣＯ,143.0,4718500,688
39,6232,ＡＣＳＬ,1700.0,404200,678
40,4894,クオリプス,5260.0,128000,657
41,402A,アクセルスペースホールディングス,513.0,1279700,650
42,7047,ポート,2350.0,278800,641
43,4418,ＪＤＳＣ,1082.0,578100,623
44,456A,ＨＵＭＡＮ　ＭＡＤＥ,1362.0,448500,613
45,325A,ＴＥＮＴＩＡＬ,1815.0,330600,591
46,421A,ムービン・ストラテジック・キャリア,4190.0,139900,576
47,7777,スリー・ディー・マトリックス,371.0,1537200,566
48,6085,アーキテクツ・スタジオ・ジャパン,100.0,5926200,560
49,584A,ＬｉＮＫＸ,2780.0,201300,554
50,7794,イーディーピー,948.0,555000,531
51,4165,プレイド,748.0,692100,515
52,7803,ブシロード,420.0,1183800,489
53,9211,エフ・コード,1533.0,317300,472
54,4570,免疫生物研究所,1098.0,423100,461
55,3989,シェアリングテクノロジー,1543.0,298900,456
56,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,786.0,564400,444
57,3692,ＦＦＲＩセキュリティ,4905.0,86400,418
58,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1583.0,266900,415
59,4169,ＥＮＥＣＨＡＮＧＥ,327.0,1150200,372
60,4393,バンク・オブ・イノベーション,5280.0,69200,368
61,4571,ＮＡＮＯホールディングス,109.0,3239300,356
62,299A,クラシル,1255.0,284200,345
63,5246,ＥＬＥＭＥＮＴＳ,862.0,404700,345
64,7409,ＡｅｒｏＥｄｇｅ,1432.0,237700,334
65,4431,スマレジ,3415.0,95100,319
66,603A,アイ・グリッド・ソリューションズ,785.0,413700,315
67,5842,インテグラル,3115.0,99300,305
68,4417,グローバルセキュリティエキスパート,4620.0,65300,301
69,2986,ＬＡホールディングス,2823.0,107400,301
70,4477,ＢＡＳＥ,312.0,963500,296
71,479A,ＰＲＯＮＩ,1915.0,154000,285
72,2334,イオレ,549.0,506900,277
73,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4370.0,57400,248
74,9467,アルファポリス,1273.0,194500,246
75,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,52.0,4631300,232
76,4575,キャンバス,811.0,287500,232
77,7094,ＮｅｘＴｏｎｅ,1794.0,132000,232
78,5537,ＡｌｂａＬｉｎｋ,3100.0,73800,228
79,4579,ラクオリア創薬,586.0,381700,226
80,3558,ジェイドグループ,1813.0,124100,222
81,4011,ヘッドウォータース,2447.0,88500,209
82,5574,ＡＢＥＪＡ,2910.0,69100,200
83,9348,ｉｓｐａｃｅ,432.0,454700,195
84,3976,シャノン,728.0,270700,195
85,6574,コンヴァノ,116.0,1720000,193
86,4424,Ａｍａｚｉａ,354.0,537900,193
87,4258,網屋,4675.0,41900,190
88,7318,セレンディップ・ホールディングス,1470.0,132900,190
89,7779,ＣＹＢＥＲＤＹＮＥ,242.0,772900,184
90,4052,フィーチャ,555.0,331300,183
91,4377,ワンキャリア,2498.0,73000,179
92,4425,Ｋｕｄａｎ,1596.0,113400,178
93,336A,ダイナミックマッププラットフォーム,848.0,212500,176
94,6597,ＨＰＣシステムズ,3455.0,51800,176
95,4375,セーフィー,670.0,268400,176
96,5892,ｙｕｔｏｒｉ,2485.0,69100,168
97,218A,Ｌｉｂｅｒａｗａｒｅ,1125.0,143800,159
98,335A,ミライロ,368.0,403500,152
99,3900,クラウドワークス,703.0,218400,151
100,9554,ＡＶｉＣ,1810.0,83800,147
