順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,485A,パワーエックス,2404.0,16192000,37716
2,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,19740.0,1767600,33667
3,4588,オンコリスバイオファーマ,6770.0,2730600,18006
4,581A,ＧＯ,3170.0,4110700,12972
5,593A,ティアフォー,1977.0,6102800,11712
6,2160,ジーエヌアイグループ,3250.0,2270400,7201
7,4052,フィーチャ,985.0,7540000,6880
8,186A,アストロスケールホールディングス,1153.0,4816300,5440
9,625A,Ｓｋｙｆａｌｌ,1555.0,2636400,4179
10,6613,ＱＤレーザ,2085.0,1965500,4044
11,3905,データセクション,1542.0,2558700,3880
12,621A,オーディオストック,1360.0,2538500,3684
13,338A,ＺｅｎｍｕＴｅｃｈ,3420.0,1052600,3499
14,5131,リンカーズ,185.0,15219900,3250
15,4564,オンコセラピー・サイエンス,21.0,143870100,3160
16,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1563.0,2017700,3077
17,4075,ブレインズテクノロジー,1591.0,1901300,2882
18,464A,ＱＰＳホールディングス,1775.0,1551500,2730
19,6232,ＡＣＳＬ,1398.0,1945800,2675
20,7777,スリー・ディー・マトリックス,448.0,5510100,2466
21,215A,タイミー,1322.0,1827600,2419
22,219A,Ｈｅａｒｔｓｅｅｄ,2662.0,814100,2114
23,446A,ノースサンド,2309.0,890800,2037
24,3692,ＦＦＲＩセキュリティ,7570.0,261200,2021
25,4259,エクサウィザーズ,955.0,1961500,1844
26,456A,ＨＵＭＡＮ　ＭＡＤＥ,1682.0,1073100,1785
27,4597,ソレイジア・ファーマ,31.0,53530800,1608
28,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3070.0,516900,1594
29,336A,ダイナミックマッププラットフォーム,1360.0,1180100,1580
30,5253,カバー,1603.0,955800,1544
31,4478,フリー,3865.0,392600,1526
32,141A,トライアルホールディングス,3650.0,398100,1468
33,4475,ＨＥＮＮＧＥ,1795.0,733700,1295
34,7806,ＭＴＧ,8030.0,152800,1218
35,3652,ディジタルメディアプロフェッショナル,3090.0,329300,1000
36,3664,ＷＩＺＥ,23.0,41835600,986
37,4592,サンバイオ,948.0,1008800,953
38,5243,ｎｏｔｅ,3135.0,298600,932
39,618A,ＫＯＭＰＥＩＴＯ,1614.0,532900,862
40,5574,ＡＢＥＪＡ,3260.0,265600,859
41,9166,ＧＥＮＤＡ,690.0,1226600,847
42,247A,Ａｉロボティクス,996.0,801400,797
43,4419,Ｆｉｎａｔｅｘｔホールディングス,1417.0,494500,712
44,4417,グローバルセキュリティエキスパート,5720.0,119300,688
45,603A,アイ・グリッド・ソリューションズ,841.0,791600,667
46,6521,オキサイド,3330.0,192700,625
47,5572,Ｒｉｄｇｅ－ｉ,3120.0,199700,621
48,4593,ヘリオス,304.0,2033800,616
49,319A,技術承継機構,19300.0,28900,559
50,4894,クオリプス,5820.0,91700,536
51,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1345.0,396000,535
52,2334,イオレ,588.0,897400,525
53,5031,モイ,384.0,1241500,488
54,4258,網屋,5750.0,85000,487
55,6085,アーキテクツ・スタジオ・ジャパン,124.0,3662600,459
56,402A,アクセルスペースホールディングス,535.0,852000,458
57,6597,ＨＰＣシステムズ,4040.0,103600,412
58,3653,モルフォ,1099.0,373300,408
59,7803,ブシロード,484.0,834300,405
60,6522,アスタリスク,1400.0,282400,396
61,325A,ＴＥＮＴＩＡＬ,1877.0,204000,383
62,4073,ジィ・シィ企画,549.0,606900,376
63,4477,ＢＡＳＥ,337.0,1044700,354
64,2986,ＬＡホールディングス,2955.0,118900,353
65,607A,エブリー,278.0,1241400,345
66,3989,シェアリングテクノロジー,1545.0,221800,343
67,479A,ＰＲＯＮＩ,2255.0,147400,325
68,5892,ｙｕｔｏｒｉ,2935.0,110900,323
