コード,発行済株式数
2930,141072000
2931,139521762
2932,17778900
2933,22829781
2934,5336369
2935,12858430
2936,54752100
2937,9305200
2938,50282180
2961,1135572
2962,9193374
2970,17352000
2975,34755900
2978,12058200
2980,16251235
2981,5699586
2982,50591464
2983,10798960
2984,8672012
2985,2484000
2986,7645475
2990,37742700
2991,23967200
2992,216500
2993,4473400
2994,700000
2995,3490500
2997,1854000
2998,36066200
2999,9395400
3001,35215000
3002,31587032
3003,767907735
3004,4168500
3010,233914680
3011,20236086
3020,2703200
3021,5396600
3023,11383838
3024,3969000
3028,38888000
3030,12830200
3031,21262043
3034,38902785
3035,5725000
3036,31125300
3038,273600000
3040,19738888
3041,5076000
3042,7690000
3045,2901000
3046,23980000
3048,188146304
3050,146500000
3053,61424000
3054,9889500
3058,7400000
3059,5155600
3063,12397400
3064,501362800
3065,3660400
3067,9030100
3068,6331920
3069,48277135
3070,83143500
3071,28525000
3075,14518000
3076,56590410
3077,6930000
3079,10780000
3080,12812000
3082,11324600
3083,8631100
3086,270565764
3087,45609761
3088,405658130
3089,2316000
3091,15079000
3092,892032372
3093,24347800
3096,10833000
3097,39202981
3099,367449054
3101,89048792
3103,57752343
3104,34062000
3105,169360439
3106,17000000
3107,88479028
3109,12810829
3110,37723012
3111,6602459
3113,93281713
3116,187665738
3121,32806190
3123,13600000
3131,2110200
3132,179072146
3133,62415783
3134,16328100
3135,5354900
3137,12940200
3138,3302401
3139,10050200
3140,14717350
3143,9450000
3148,66819342
3150,23837200
3151,51902976
3153,21782500
3154,22238217
3156,30072643
3157,13767052
3159,92554085
3160,14883300
3161,6085401
3166,13610970
3167,137845577
3168,14337200
3169,7112400
3172,4273600
3173,6868840
3174,3191600
3175,12883150
3176,29007708
3177,953600
3178,19340800
3179,21354291
3180,12752000
3181,3680950
3182,36940000
3183,30503310
3184,2100000
3185,18366100
3186,80905100
3187,19299300
3189,45874400
3190,7275500
3191,63784612
3192,6669700
3193,11622300
3195,8325240
3196,26324800
3197,227502200
3198,22813689
3199,19958940
3201,74278858
3202,30360000
3204,8940448
3205,30696897
3221,10361000
3222,210617224
3223,1560864
3224,5339600
3231,917935185
3232,107301583
3236,35147915
3237,46552784
3238,9681600
3241,11548000
3242,37574100
3245,51626800
3246,10368000
3248,3181000
3252,21569700
3261,4100874
3266,37686371
3267,5744900
3271,28306000
3276,17725600
3277,8584900
3280,6167000
3284,41766775
3286,5204500
3288,116735700
3289,719830974
3291,280379057
3293,8063400
3294,6379100
3297,2712400
3299,24361000
3300,7401400
3302,27584400
3306,4413320
3315,302349449
3317,2898336
3320,7718800
3321,7971853
3323,82670255
3326,4380900
3329,8186400
3333,26240800
3349,80001600
3350,1281283624
3352,2345874
3353,3770000
3355,22300200
3358,37280900
3359,11223513
3360,94350134
3361,20884440
3370,3432300
3371,27550278
3372,14000900
3374,3553098
3375,1454000
3377,15315600
3382,2604555849
3386,6048000
3387,425628568
3388,12765820
3391,454365490
3392,16372000
3393,10240400
3395,22941111
3396,9543500
3397,88745152
3399,20112800
3401,197953707
3402,1504481403
3405,302133603
3407,1365751932
3409,31790394
3415,43959482
3416,2296640
3417,14072100
3418,10962380
3420,7378050
3421,17022429
3422,11857200
3423,31256600
3426,4105000
3431,27677816
3433,61200000
3434,10200000
3435,8745408
3436,350175139
3437,1602000
3439,5304040
3440,6832500
3441,5000000
3443,52422630
3444,12337700
3445,26597600
3446,5905500
3447,14103000
3448,300000
3449,21360000
3450,376000
3452,20032400
3454,14445000
3457,19969200
3461,6765489
3465,31737500
3467,5754000
3469,4378250
3474,6839000
3475,30543200
3477,4000000
3479,42633785
3480,21966000
3482,21444000
3483,475000
3484,17674400
3486,16043516
3489,29880000
3490,1508000
3491,41053315
3494,8011000
3495,2782518
3496,12335600
3498,24587930
3501,15364324
3512,18342089
3513,4967151
3521,26466366
3524,2605000
3529,17319568
3536,30325252
3537,3579105
3538,10358400
3539,50959000
3542,10749600
3543,46271400
3544,14236564
3546,30193386
3547,11061399
3548,36676300
3549,95616980
3550,14037000
3551,8504747
3553,24500000
3556,14699200
3557,4954300
3558,11487360
3559,4992406
3560,2321800
3561,30318000
3562,7034700
3563,116069184
3565,43740000
3566,10123178
3569,64633646
3571,13533757
3577,3614252
3580,39240999
3583,3092623
3591,52500000
3593,0
3597,2882848
3598,14950074
3600,1468093
3607,9689200
3608,63438793
3611,10593600
3612,77139828
3622,6999000
3623,6564400
3624,20313200
3625,7515000
3626,228400000
3627,12719800
3628,12711780
3632,179749700
3633,5468700
3634,2477400
3635,336096924
3636,16044000
3639,6602675
3640,5837200
3641,10326880
3645,10773000
3646,6018800
3647,22219720
3648,17158732
3649,26608800
3652,3152400
3653,5508500
3656,83792600
3657,38156000
3659,793477908
3660,102661967
3661,72992776
3662,18811135
3663,34771180
3664,84638408
3665,42642000
3667,46323560
3668,130346707
3670,1205600
3671,24050800
3672,88305233
3673,97896800
3674,10813700
3675,19970464
3676,23890800
3678,15205174
3679,110000000
3680,15965800
3681,26343900
3682,6924200
3683,11477135
3686,43448440
3687,33635000
3690,6372415
3691,4459567
3692,8190000
3694,54598528
3695,4446357
3696,12187300
3697,267500670
3698,5578150
3708,39000000
3710,5255000
3712,20450000
3719,34834232
3723,10280000
3726,13145470
3727,43737832
3733,5488000
3741,10240000
3744,8874400
3747,7444800
3750,8929419
3753,14682500
3758,21249428
3760,6838500
3762,44518400
3763,31943000
3765,69161416
3766,3500000
3768,7636922
3769,76557545
3771,16720000
3772,19179800
3773,18392724
3774,183471380
3776,61905500
3777,323356980
3778,41890700
3779,11567990
3787,2593100
3788,11693000
3791,20221600
3793,29446212
3796,14561400
3798,63855000
3799,9110000
3800,8000000
3802,4693200
3803,3381500
3804,19494000
3807,45908222
3810,81913082
3815,11300000
3816,3949762
3817,15240000
3823,148509693
3825,149044800
3826,11078400
3834,32000000
3835,47164800
3836,36009551
3837,17289930
3839,8200000
3840,82680236
3841,3909800
3842,3092900
3843,23414000
3844,32241600
3845,22239641
3848,7414000
3850,4955000
3851,5151100
3853,17491265
3854,25042528
3856,19033193
3858,10459000
3861,914381817
3863,116254892
3864,44741433
3865,163053114
3877,13354688
3878,10389406
3880,169012926
3891,10698482
3892,5500000
3895,8175280
3896,10172676
3900,15833659
3901,13228800
3903,53897034
3904,16108800
3905,32017051
3907,2973900
3908,4977000
3909,10185600
3910,5428000
3911,46705300
3912,7925495
3913,2348521
3914,6751000
3915,12918380
3916,31003640
3917,7829354
3918,10122400
3920,5751600
3921,14087600
3922,13551703
3923,354391000
3925,13580000
3926,31260000
3927,5604200
3928,8710334
3929,11844800
3930,3075200
3931,1807000
3932,14519800
3933,7872000
3934,6038048
3935,6228000
3936,37566450
3937,12249920
3939,48132000
3940,46692000
3941,271056029
3943,9328000
3944,1776820
3945,1686154
3946,19341568
3947,10322591
3948,5815294
3950,59700000
3951,22890829
3953,3561676
3954,4450000
3955,10729370
3958,6185000
3962,73852362
3963,29123000
3964,96052800
3965,5759057
3967,6220880
3968,37164077
3969,7487400
3970,2762100
3974,5240000
3976,5926200
3979,27701600
3981,6301986
3983,15600453
3984,16161800
3985,11438920
3986,4610880
3987,5280400
3988,10630995
3989,24429800
3991,9507400
3992,40699200
3993,31948000
3994,55701814
3996,12809395
3997,41042000
3998,6694764
4004,184901292
4005,1657914399
4008,64683785
4011,6111553
4012,4394000
4013,20840000
4014,6697900
4015,16018148
4016,2130400
4017,6742100
4019,8781500
4020,2200400
4021,134800000
4022,39721015
4023,49942221
4025,9458768
4026,9240000
4027,22914414
4028,40383943
4031,10161686
4040,2330330
4041,55294534
4042,325080956
4043,72088327
4044,26000000
4045,108000000
4046,133660085
4047,57546050
4051,8339480
