順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,3103,ユニチカ,1575.0,15160400,25242
2,6834,精工技研,29870.0,295100,8887
3,6227,ＡＩメカテック,6220.0,1344400,8337
4,6890,フェローテック,9220.0,801300,7398
5,3350,メタプラネット,306.0,22823100,7024
6,6366,千代田化工建設,811.0,8265700,6874
7,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,28440.0,217500,6440
8,6855,日本電子材料,8040.0,686800,5519
9,7014,名村造船所,4080.0,1040400,4188
10,6659,メディアリンクス,96.0,41475300,3651
11,4716,日本オラクル,9013.0,403300,3620
12,5985,サンコール,1973.0,1857800,3601
13,2702,日本マクドナルドホールディングス,8080.0,397000,3215
14,7906,ヨネックス,2399.0,1246500,2993
15,6327,北川精機,3415.0,867700,2782
16,6840,ＡＫＩＢＡホールディングス,1405.0,1981800,2696
17,8918,ランド,10.0,246962700,2469
18,4107,伊勢化学工業,4670.0,510900,2445
19,6072,地盤ネットホールディングス,1307.0,1728100,2287
20,6627,テラプローブ,11830.0,187800,2180
21,6666,リバーエレテック,1434.0,1573000,2138
22,3891,ニッポン高度紙工業,7790.0,249700,1908
23,6524,湖北工業,6700.0,264300,1789
24,8508,Ｊトラスト,820.0,2162400,1781
25,1909,日本ドライケミカル,3740.0,471500,1765
26,1407,ウエストホールディングス,2991.0,511800,1503
27,6862,ミナトホールディングス,2541.0,534100,1393
28,3449,テクノフレックス,7130.0,198200,1386
29,7564,ワークマン,7590.0,182800,1378
30,3810,サイバーステップホールディングス,300.0,4469900,1370
31,2693,ＹＫＴ,447.0,2815300,1217
32,4966,上村工業,23890.0,47000,1133
33,6946,日本アビオニクス,5830.0,183800,1088
34,9708,帝国ホテル,1133.0,941800,1038
35,6016,ジャパンエンジンコーポレーション,9360.0,107700,1014
36,4816,東映アニメーション,2464.0,405800,1006
37,6838,多摩川ホールディングス,2194.0,468300,996
38,9941,太洋物産,1144.0,805200,989
39,4970,東洋合成工業,17790.0,55400,977
40,6994,指月電機製作所,1061.0,918500,972
41,6433,ヒーハイスト,1561.0,573900,930
42,255A,ジーエルテクノホールディングス,6750.0,136800,900
43,287A,黒田グループ,1036.0,833700,872
44,6960,フクダ電子,12420.0,70400,861
45,1948,弘電社,7650.0,111000,830
46,6226,守谷輸送機工業,2261.0,362600,802
47,8572,アコム,462.9,1586100,735
48,7746,岡本硝子,893.0,806100,732
49,2782,セリア,3660.0,194900,714
50,6993,大黒屋ホールディングス,100.0,6653000,678
51,4098,チタン工業,1161.0,517800,636
52,7162,アストマックス,369.0,1747800,621
53,6864,エヌエフホールディングス,1897.0,314700,612
54,6882,三社電機製作所,1508.0,401200,607
55,6629,テクノホライゾン,1240.0,492600,601
56,6492,岡野バルブ製造,16750.0,36300,600
57,4100,戸田工業,1751.0,340100,586
58,9369,キユーソー流通システム,3385.0,168500,582
59,6023,ダイハツインフィニアース,3185.0,177100,556
60,7711,助川電気工業,5420.0,102400,554
61,3753,フライトソリューションズ,230.0,2314700,525
62,7716,ナカニシ,3020.0,173700,524
63,5367,ニッカトー,909.0,589800,519
64,6668,アドテック　プラズマ　テクノロジー,3250.0,161000,509
65,3719,ＡＩストーム,219.0,2324000,499
66,6969,松尾電機,2269.0,227100,491
67,3444,菊池製作所,1215.0,377100,461
68,6217,津田駒工業,1808.0,244100,461
69,2780,コメ兵ホールディングス,5600.0,81800,456
70,6356,日本ギア工業,1560.0,291500,451
71,6145,ＮＩＴＴＯＫＵ,3050.0,146900,447
72,7177,ＧＭＯフィナンシャルホールディングス,1137.0,375800,431
73,7885,タカノ,1281.0,327900,418
74,1514,住石ホールディングス,596.0,704600,415
75,7859,アルメディオ,306.0,1392100,413
76,9436,沖縄セルラー電話,3615.0,114300,411
77,3997,トレードワークス,349.0,1126600,398
78,7287,日本精機,2599.0,152200,396
79,3299,ムゲンエステート,1746.0,226600,393
80,5161,西川ゴム工業,3025.0,129000,390
81,5644,メタルアート,7600.0,50200,382
82,1965,テクノ菱和,6470.0,59600,380
83,6769,ザインエレクトロニクス,1280.0,287300,365
84,1723,日本電技,2378.0,147500,348
85,6663,太洋テクノレックス,386.0,931300,347
86,4499,Ｓｐｅｅｅ,3405.0,101200,347
87,2354,ＹＥ　ＤＩＧＩＴＡＬ,974.0,347400,339
88,5381,マイポックス,1028.0,332300,337
89,4972,綜研化学,3495.0,95500,335
90,146A,コロンビア・ワークス,2965.0,108100,320
91,3441,山王,2640.0,118000,315
92,4293,セプテーニ・ホールディングス,509.0,629100,315
93,7760,ＩＭＶ,2544.0,118000,304
94,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,6330.0,47300,298
95,3825,リミックスポイント,208.0,1393600,295
96,7256,河西工業,398.0,648800,267
97,2962,テクニスコ,1124.0,229700,263
98,7018,内海造船,10210.0,26000,263
99,6125,岡本工作機械製作所,5170.0,49800,258
100,3222,ユナイテッド・スーパーマーケット・ホールディングス,814.0,314800,257
