順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,3103,ユニチカ,1665.0,56270200,96577
2,6890,フェローテック,9750.0,2400700,23035
3,6834,精工技研,27600.0,338800,8912
4,6855,日本電子材料,7590.0,1106200,8213
5,6627,テラプローブ,12350.0,415700,5022
6,2702,日本マクドナルドホールディングス,7720.0,614300,4771
7,7014,名村造船所,4510.0,976000,4404
8,6327,北川精機,3985.0,1120500,4381
9,5985,サンコール,2358.0,1716600,3914
10,8918,ランド,10.0,346654300,3588
11,3350,メタプラネット,217.0,16545100,3562
12,6862,ミナトホールディングス,3925.0,845800,3240
13,6227,ＡＩメカテック,6550.0,497000,3222
14,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,20520.0,127000,2522
15,4716,日本オラクル,9160.0,220300,2035
16,4966,上村工業,21750.0,90800,1962
17,8508,Ｊトラスト,915.0,2073900,1880
18,7906,ヨネックス,2744.0,604400,1663
19,7564,ワークマン,6200.0,262500,1623
20,2780,コメ兵ホールディングス,5320.0,267800,1419
21,6524,湖北工業,5110.0,276000,1394
22,8995,誠建設工業,1980.0,713900,1307
23,1407,ウエストホールディングス,2794.0,463500,1274
24,6366,千代田化工建設,720.0,1736200,1249
25,4970,東洋合成工業,12990.0,92700,1180
26,9268,オプティマスグループ,423.0,2642800,1106
27,3222,ユナイテッド・スーパーマーケット・ホールディングス,815.0,1307200,1078
28,3810,サイバーステップホールディングス,228.0,4786500,1056
29,4816,東映アニメーション,2813.0,366500,1034
30,3825,リミックスポイント,209.0,4433900,941
31,6736,サン電子,7980.0,114000,914
32,6023,ダイハツインフィニアース,3080.0,257900,795
33,6226,守谷輸送機工業,2220.0,363300,791
34,2354,ＹＥ　ＤＩＧＩＴＡＬ,1322.0,585600,790
35,4107,伊勢化学工業,3850.0,200100,752
36,3891,ニッポン高度紙工業,7490.0,100400,739
37,7716,ナカニシ,3215.0,214800,695
38,2782,セリア,4070.0,168600,689
39,8572,アコム,479.8,1432100,688
40,4499,Ｓｐｅｅｅ,2545.0,261900,659
41,6217,津田駒工業,928.0,703900,651
42,3549,クスリのアオキホールディングス,3987.0,160700,643
43,7746,岡本硝子,768.0,828100,637
44,6016,ジャパンエンジンコーポレーション,9950.0,63700,634
45,6840,ＡＫＩＢＡホールディングス,787.0,818700,627
46,3131,シンデン・ハイテックス,6930.0,88200,609
47,4222,児玉化学工業,713.0,818400,581
48,3895,ハビックス,503.0,1084100,571
49,6946,日本アビオニクス,5980.0,91300,542
50,287A,黒田グループ,1220.0,439400,537
51,4746,東計電算,6490.0,82200,534
52,6072,地盤ネットホールディングス,1134.0,470400,532
53,7256,河西工業,463.0,1136300,532
54,8789,フィンテック　グローバル,162.0,3254500,521
55,3449,テクノフレックス,4200.0,124000,517
56,3633,ＧＭＯペパボ,2389.0,208900,505
57,1965,テクノ菱和,6250.0,80900,503
58,6276,シリウスビジョン,382.0,1259500,495
59,3907,シリコンスタジオ,1475.0,314900,474
60,1723,日本電技,2192.0,208600,455
61,9308,乾汽船,2147.0,211500,449
62,6960,フクダ電子,11800.0,35600,420
63,146A,コロンビア・ワークス,3905.0,107600,416
64,5724,アサカ理研,2960.0,137300,408
65,604A,ビーエイブル,994.0,393700,392
66,6918,アバールデータ,3995.0,98200,392
67,6994,指月電機製作所,1273.0,312300,388
68,3053,ペッパーフードサービス,216.0,1765100,376
69,255A,ジーエルテクノホールディングス,5730.0,65600,373
70,3374,内外テック,4320.0,85500,371
71,9436,沖縄セルラー電話,4005.0,91800,368
72,6547,グリーンズ,1985.0,172600,346
73,6838,多摩川ホールディングス,1586.0,221000,345
74,6176,ブランジスタ,1007.0,339100,341
75,2652,まんだらけ,444.0,747800,337
76,5698,エンビプロ・ホールディングス,795.0,420600,332
77,4320,ＣＥホールディングス,1657.0,198200,329
78,6092,エンバイオ・ホールディングス,900.0,355300,313
79,7354,ダイレクトマーケティングミックス,340.0,897500,308
80,7287,日本精機,2646.0,116300,306
81,4651,サニックスホールディングス,270.0,1106200,299
82,5381,マイポックス,961.0,300700,290
83,4691,ワシントンホテル,2119.0,135100,288
84,5161,西川ゴム工業,3425.0,83000,283
85,3452,ビーロット,1494.0,189500,283
86,6469,放電精密加工研究所,3090.0,93000,283
87,1514,住石ホールディングス,645.0,437000,282
88,8537,大光銀行,3105.0,90200,276
89,6677,エスケーエレクトロニクス,3380.0,81900,276
90,6998,日本タングステン,3190.0,85400,274
91,3399,丸千代山岡家,3800.0,69300,263
92,7727,オーバル,865.0,301500,260
93,5367,ニッカトー,1330.0,196100,258
94,6637,寺崎電気産業,4375.0,58900,258
95,7711,助川電気工業,4965.0,52700,258
96,6570,共和コーポレーション,3035.0,80300,256
97,9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,3295.0,76900,254
98,7760,ＩＭＶ,2193.0,115500,249
99,7018,内海造船,12140.0,20500,249
100,2805,エスビー食品,6670.0,37500,249
