順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,285A,キオクシアホールディングス,64270.0,50463800,3331508
2,6976,太陽誘電,12535.0,30557400,397328
3,6857,アドバンテスト,29585.0,9245200,283394
4,8035,東京エレクトロン,65960.0,4060500,274467
5,6981,村田製作所,8317.0,31932300,271787
6,9984,ソフトバンクグループ,5703.0,41519000,243799
7,4062,イビデン,18250.0,10290600,192847
8,5803,フジクラ,4751.0,38205300,187388
9,6146,ディスコ,68590.0,2309800,161195
10,8306,三菱ＵＦＪフィナンシャル・グループ,3668.0,40200900,146784
11,6920,レーザーテック,42990.0,3179700,140012
12,8411,みずほフィナンシャルグループ,8529.0,11822600,100945
13,9983,ファーストリテイリング,78580.0,1220300,95810
14,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,8741.0,10453300,94132
15,8316,三井住友フィナンシャルグループ,7072.0,13171600,93228
16,5016,ＪＸ金属,3771.0,22645800,86927
17,3436,ＳＵＭＣＯ,3785.0,20359500,80925
18,7203,トヨタ自動車,2939.0,24733500,72524
19,5801,古河電気工業,3525.0,17372500,63117
20,6723,ルネサスエレクトロニクス,4175.0,14565400,62727
21,7735,ＳＣＲＥＥＮホールディングス,16500.0,3615300,61771
22,5802,住友電気工業,2451.0,24433600,61188
23,8058,三菱商事,4888.0,12371100,60348
24,6098,リクルートホールディングス,12305.0,4886100,60343
25,7974,任天堂,7003.0,8495800,59376
26,5706,三井金属,33600.0,1665600,57216
27,7011,三菱重工業,3892.0,13718100,53261
28,6861,キーエンス,72110.0,716400,52020
29,6954,ファナック,6873.0,7494800,51949
30,6758,ソニーグループ,3444.0,14994100,51542
31,6506,安川電機,5213.0,9465700,50036
32,6752,パナソニック　ホールディングス,4095.0,11203300,46593
33,4063,信越化学工業,7075.0,6291800,45253
34,6501,日立製作所,4807.0,9137700,44029
35,7012,川崎重工業,2736.5,15815100,43260
36,8766,東京海上ホールディングス,7971.0,5007000,39728
37,4004,レゾナック・ホールディングス,15250.0,2499600,39063
38,8031,三井物産,4911.0,7380500,36237
39,9432,ＮＴＴ,152.0,236368500,35657
40,6367,ダイキン工業,24240.0,1339300,32688
41,6762,ＴＤＫ,3107.0,9808700,30780
42,6971,京セラ,3780.0,8060400,30450
43,6503,三菱電機,5629.0,5262700,29951
44,2914,日本たばこ産業,6458.0,4251500,27228
45,5713,住友金属鉱山,7521.0,3587800,27176
46,7182,ゆうちょ銀行,3411.0,7786700,26627
47,8136,サンリオ,1131.5,23377400,26447
48,6702,富士通,3311.0,7980100,26111
49,6963,ローム,4785.0,5297800,25921
50,6526,ソシオネクスト,2486.5,10243800,25728
51,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4801.0,5351800,25653
52,9433,ＫＤＤＩ,2875.5,8958200,25608
53,7013,ＩＨＩ,2779.0,9040300,25273
54,8001,伊藤忠商事,1964.0,12405300,24318
55,4502,武田薬品工業,5552.0,4253200,23604
56,5401,日本製鉄,599.0,38651100,23126
57,6871,日本マイクロニクス,15630.0,1413100,22916
58,4661,オリエンタルランド,2673.5,8433900,22249
59,6361,荏原製作所,5593.0,3771800,21430
60,7741,ＨＯＹＡ,25045.0,832800,20959
61,2802,味の素,5253.0,3917200,20859
62,8630,ＳＯＭＰＯホールディングス,6906.0,3027900,20812
63,8750,第一ライフグループ,1897.0,10968100,20712
64,8591,オリックス,6582.0,3138200,20657
65,8002,丸紅,5260.0,3747800,19700
66,4911,資生堂,3040.0,6320000,19498
67,6701,日本電気,4352.0,4401600,19105
68,6323,ローツェ,4496.0,4023700,18884
69,7267,本田技研工業,1559.0,11814100,18406
70,8308,りそなホールディングス,2322.0,7836200,18258
71,7453,良品計画,4161.0,4360700,18175
72,6273,ＳＭＣ,71850.0,242100,17490
73,4503,アステラス製薬,2175.5,7982000,17420
74,7751,キヤノン,4536.0,3830400,17305
75,3382,セブン＆アイ・ホールディングス,2092.0,8270500,17115
76,8053,住友商事,1604.0,10381300,16659
77,5108,ブリヂストン,3769.0,4347800,16356
78,6301,小松製作所,6447.0,2524500,16314
79,4385,メルカリ,4417.0,3634000,15910
80,6315,ＴＯＷＡ,2860.0,5390100,15888
81,8267,イオン,1357.5,11759200,15816
82,3110,日東紡績,3180.0,4817800,15746
83,7269,スズキ,2056.0,7562600,15551
84,4519,中外製薬,7306.0,2064700,15135
85,9501,東京電力ホールディングス,505.3,29743300,14976
86,8604,野村ホールディングス,1603.0,9271000,14888
87,9434,ソフトバンク,221.4,66962000,14790
88,4568,第一三共,2761.5,5301200,14663
89,2502,アサヒグループホールディングス,1629.5,9022400,14618
90,8015,豊田通商,6454.0,2255000,14596
91,1605,ＩＮＰＥＸ,3615.0,4007500,14469
92,8309,三井住友トラストグループ,6844.0,2118800,14469
93,9101,日本郵船,5818.0,2407100,13956
94,9104,商船三井,5783.0,2304900,13272
95,4307,野村総合研究所,4981.0,2623100,12991
96,4901,富士フイルムホールディングス,3665.0,3382600,12392
97,6178,日本郵政,2453.5,4927400,12061
98,6324,ハーモニック・ドライブ・システムズ,6880.0,1683000,11730
99,6479,ミネベアミツミ,3950.0,2882200,11516
100,6902,デンソー,1989.5,5778100,11503
