順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,593A,ティアフォー,2250.0,12171400,27096
2,485A,パワーエックス,2075.0,10000800,20782
3,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,19240.0,998200,19071
4,336A,ダイナミックマッププラットフォーム,1599.0,9599800,14313
5,4588,オンコリスバイオファーマ,5790.0,2257800,13068
6,4052,フィーチャ,1340.0,9432200,12060
7,3653,モルフォ,1490.0,6683500,10069
8,581A,ＧＯ,3330.0,2325100,7703
9,3989,シェアリングテクノロジー,1545.0,3736300,5772
10,215A,タイミー,1559.0,2347100,3647
11,4564,オンコセラピー・サイエンス,22.0,160079800,3579
12,3905,データセクション,1605.0,2231600,3525
13,186A,アストロスケールホールディングス,1022.0,3301500,3369
14,2321,ソフトフロントホールディングス,197.0,13050700,2727
15,6613,ＱＤレーザ,1969.0,1343100,2597
16,5253,カバー,1641.0,1540700,2537
17,6232,ＡＣＳＬ,1304.0,1952800,2526
18,141A,トライアルホールディングス,3985.0,622000,2483
19,464A,ＱＰＳホールディングス,1650.0,1474200,2428
20,2160,ジーエヌアイグループ,2927.0,757200,2208
21,338A,ＺｅｎｍｕＴｅｃｈ,2754.0,791500,2196
22,603A,アイ・グリッド・ソリューションズ,941.0,2231100,2139
23,4478,フリー,3840.0,511700,1952
24,4597,ソレイジア・ファーマ,29.0,65678100,1905
25,446A,ノースサンド,1937.0,752900,1467
26,7806,ＭＴＧ,7950.0,173300,1394
27,4883,モダリス,43.0,31121900,1391
28,6522,アスタリスク,1501.0,839500,1274
29,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,2899.0,427700,1250
30,319A,技術承継機構,19970.0,57000,1146
31,520A,ジェイファーマ,515.0,2215400,1130
32,3692,ＦＦＲＩセキュリティ,6360.0,172300,1075
33,3664,ＷＩＺＥ,25.0,43719900,1059
34,4475,ＨＥＮＮＧＥ,1660.0,602400,996
35,7777,スリー・ディー・マトリックス,342.0,2810800,963
36,247A,Ａｉロボティクス,1040.0,895700,936
37,456A,ＨＵＭＡＮ　ＭＡＤＥ,1420.0,649400,931
38,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1443.0,638200,923
39,194A,ＷＯＬＶＥＳ　ＨＡＮＤ,1791.0,471800,845
40,350A,デジタルグリッド,814.0,883400,715
41,4259,エクサウィザーズ,833.0,845300,686
42,4258,網屋,5180.0,130300,659
43,6085,アーキテクツ・スタジオ・ジャパン,167.0,3990900,657
44,299A,クラシル,1232.0,523600,648
45,4596,窪田製薬ホールディングス,67.0,9141300,631
46,219A,Ｈｅａｒｔｓｅｅｄ,2312.0,246300,572
47,5243,ｎｏｔｅ,2861.0,192000,540
48,150A,ＪＳＨ,785.0,661400,511
49,4592,サンバイオ,940.0,495600,461
50,4425,Ｋｕｄａｎ,1496.0,307000,456
51,265A,Ｈｍｃｏｍｍ,808.0,511500,427
52,5892,ｙｕｔｏｒｉ,2766.0,153300,421
53,2334,イオレ,581.0,680900,391
54,402A,アクセルスペースホールディングス,530.0,722100,383
55,5132,ｐｌｕｓｚｅｒｏ,1836.0,201000,383
56,7047,ポート,2071.0,182400,382
57,4598,Ｄｅｌｔａ－Ｆｌｙ　Ｐｈａｒｍａ,116.0,3187200,380
58,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4450.0,82000,370
59,153A,カウリス,1600.0,227300,363
60,6255,エヌ・ピー・シー,659.0,556600,363
61,6521,オキサイド,3260.0,112800,362
62,4593,ヘリオス,288.0,1251000,348
63,9166,ＧＥＮＤＡ,731.0,470900,344
64,147A,ソラコム,972.0,335200,320
65,607A,エブリー,243.0,1249800,302
