順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,485A,パワーエックス,2497.0,8061400,19959
2,186A,アストロスケールホールディングス,1810.0,8562000,15032
3,6613,ＱＤレーザ,2409.0,5654700,13725
4,3905,データセクション,4340.0,2285700,10194
5,464A,ＱＰＳホールディングス,2607.0,2251600,5692
6,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,8570.0,630800,5347
7,9166,ＧＥＮＤＡ,532.0,8382600,4266
8,2160,ジーエヌアイグループ,2685.0,1518500,4009
9,4588,オンコリスバイオファーマ,2668.0,1532700,3909
10,141A,トライアルホールディングス,2850.0,1139800,3264
11,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1441.0,2053600,2876
12,5253,カバー,1522.0,1688700,2505
13,402A,アクセルスペースホールディングス,644.0,3767500,2394
14,215A,タイミー,1093.0,2200700,2389
15,4378,ＣＩＮＣ,801.0,2029400,1935
16,4564,オンコセラピー・サイエンス,19.0,101358000,1854
17,4889,レナサイエンス,1543.0,1085800,1704
18,4259,エクサウィザーズ,991.0,1730900,1695
19,166A,タスキホールディングス,1061.0,1595600,1685
20,2334,イオレ,564.0,3026300,1678
21,7777,スリー・ディー・マトリックス,439.0,3756600,1641
22,6521,オキサイド,4430.0,340500,1488
23,4597,ソレイジア・ファーマ,22.0,54297600,1219
24,6232,ＡＣＳＬ,1828.0,641600,1168
25,446A,ノースサンド,1380.0,842400,1168
26,6597,ＨＰＣシステムズ,4430.0,250900,1135
27,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3835.0,278000,1055
28,4894,クオリプス,3690.0,276200,1026
29,2986,ＬＡホールディングス,8020.0,116100,935
30,6085,アーキテクツ・スタジオ・ジャパン,396.0,2333800,929
31,4592,サンバイオ,1182.0,772800,910
32,9348,ｉｓｐａｃｅ,576.0,1601000,908
33,7806,ＭＴＧ,7140.0,123300,874
34,6031,ＺＥＴＡ,277.0,2795400,841
35,4593,ヘリオス,247.0,3233900,786
36,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1465.0,463700,665
37,350A,デジタルグリッド,697.0,942800,653
38,4179,ジーネクスト,420.0,1641500,649
39,7082,ジモティー,1416.0,395800,561
40,7047,ポート,2021.0,269800,535
41,456A,ＨＵＭＡＮ　ＭＡＤＥ,1574.0,329500,515
42,247A,Ａｉロボティクス,684.0,736900,502
43,4478,フリー,1981.0,247500,490
44,319A,技術承継機構,16640.0,29600,489
45,7779,ＣＹＢＥＲＤＹＮＥ,286.0,1719700,488
46,4422,ＶＡＬＵＥＮＥＸ,778.0,641000,486
47,5590,ネットスターズ,679.0,693200,466
48,3692,ＦＦＲＩセキュリティ,4670.0,99200,463
49,3624,アクセルマーク,61.0,6842600,428
50,4419,Ｆｉｎａｔｅｘｔホールディングス,1210.0,324700,389
51,5132,ｐｌｕｓｚｅｒｏ,1558.0,259400,376
52,3911,Ａｉｍｉｎｇ,180.0,2084300,372
53,299A,クラシル,940.0,377500,359
54,218A,Ｌｉｂｅｒａｗａｒｅ,1026.0,346500,358
55,4475,ＨＥＮＮＧＥ,1090.0,330600,357
56,7803,ブシロード,275.0,1265000,352
57,336A,ダイナミックマッププラットフォーム,799.0,429000,338
58,5031,モイ,405.0,842900,336
59,6166,中村超硬,616.0,543600,332
60,421A,ムービン・ストラテジック・キャリア,3410.0,95400,325
61,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,3570.0,92100,325
62,7409,ＡｅｒｏＥｄｇｅ,3235.0,96700,315
63,1436,グリーンエナジー＆カンパニー,1251.0,236800,302
64,7318,セレンディップ・ホールディングス,2287.0,134500,301
65,5572,Ｒｉｄｇｅ－ｉ,3115.0,92700,286
66,219A,Ｈｅａｒｔｓｅｅｄ,1585.0,184100,286
67,5243,ｎｏｔｅ,1683.0,161700,266
68,9331,キャスター,1308.0,207000,265
69,5574,ＡＢＥＪＡ,2129.0,123900,260
70,325A,ＴＥＮＴＩＡＬ,3710.0,69500,258
71,4425,Ｋｕｄａｎ,1658.0,156300,257
72,5834,ＳＢＩリーシングサービス,2271.0,113400,253
73,4431,スマレジ,2268.0,108000,246
74,4393,バンク・オブ・イノベーション,4960.0,47400,232
75,7794,イーディーピー,1064.0,216800,231
76,4176,ココナラ,249.0,905400,226
77,4165,プレイド,513.0,400700,205
78,280A,ＴＭＨ,1922.0,107100,204
79,9211,エフ・コード,1375.0,145600,200
80,2158,ＦＲＯＮＴＥＯ,543.0,353400,192
81,3133,海帆,126.0,1576600,189
82,3558,ジェイドグループ,1553.0,119400,185
83,3070,ジェリービーンズグループ,81.0,2076100,171
84,4377,ワンキャリア,1824.0,94400,170
85,332A,ミーク,1000.0,166400,167
86,7375,リファインバースグループ,1312.0,119700,162
87,7320,Ｓｏｌｖｖｙ,1430.0,110800,161
88,5842,インテグラル,3000.0,52600,161
89,523A,セイワホールディングス,1808.0,88700,159
90,4493,サイバーセキュリティクラウド,1769.0,90100,157
91,4055,ティアンドエスグループ,1728.0,90600,156
92,5137,スマートドライブ,179.0,853600,155
93,9227,マイクロ波化学,864.0,177100,151
94,6255,エヌ・ピー・シー,712.0,212200,150
95,2983,アールプランナー,1426.0,103100,147
96,6574,コンヴァノ,84.0,1725500,144
97,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,46.0,3180100,142
98,9256,サクシード,3340.0,42300,140
99,4417,グローバルセキュリティエキスパート,3030.0,46300,140
100,4477,ＢＡＳＥ,262.0,529500,139
