順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6227,ＡＩメカテック,7790.0,4280900,32141
2,6890,フェローテック,8430.0,938400,8186
3,6327,北川精機,5290.0,1174000,6609
4,3350,メタプラネット,234.0,23905900,5720
5,4935,リベルタ,410.0,13080300,5319
6,6855,日本電子材料,7200.0,642200,4702
7,6834,精工技研,22050.0,152700,3402
8,8918,ランド,10.0,334881900,3349
9,7564,ワークマン,5810.0,545900,3207
10,7014,名村造船所,3795.0,827200,3170
11,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,20820.0,140100,2924
12,3103,ユニチカ,879.0,2897400,2605
13,2702,日本マクドナルドホールディングス,7730.0,314100,2426
14,6366,千代田化工建設,654.0,2908900,1937
15,6668,アドテック　プラズマ　テクノロジー,3555.0,509400,1889
16,4716,日本オラクル,8653.0,210700,1821
17,3891,ニッポン高度紙工業,7620.0,192000,1476
18,4966,上村工業,23490.0,53900,1284
19,5013,ユシロ,2879.0,404000,1213
20,7906,ヨネックス,2504.0,486200,1213
21,1407,ウエストホールディングス,2179.0,547000,1206
22,3449,テクノフレックス,6130.0,168200,1062
23,6993,大黒屋ホールディングス,85.0,12385400,1052
24,3168,ＭＥＲＦ,1450.0,729600,1034
25,6524,湖北工業,4685.0,211200,1000
26,6946,日本アビオニクス,4845.0,204500,994
27,6627,テラプローブ,11370.0,81600,948
28,3549,クスリのアオキホールディングス,3810.0,244000,924
29,4107,伊勢化学工業,3685.0,248300,918
30,5985,サンコール,1489.0,598500,911
31,8508,Ｊトラスト,830.0,982000,825
32,6016,ジャパンエンジンコーポレーション,8110.0,89600,734
33,5018,ＭＯＲＥＳＣＯ,2128.0,323400,734
34,4970,東洋合成工業,14630.0,49100,733
35,4992,北興化学工業,1990.0,337200,686
36,2782,セリア,3635.0,185000,671
37,4816,東映アニメーション,2694.0,246900,668
38,6492,岡野バルブ製造,16580.0,39900,663
39,6072,地盤ネットホールディングス,1002.0,621200,637
40,5644,メタルアート,7720.0,81900,629
41,6203,豊和工業,1601.0,378100,602
42,6217,津田駒工業,740.0,787300,599
43,3399,丸千代山岡家,3570.0,162400,571
44,287A,黒田グループ,1098.0,493200,543
45,8139,ナガホリ,2130.0,276400,519
46,1909,日本ドライケミカル,3690.0,137800,509
47,255A,ジーエルテクノホールディングス,5930.0,79100,470
48,6336,石井表記,1971.0,234700,466
49,6469,放電精密加工研究所,2829.0,159700,454
50,5992,中央発條,3695.0,120400,445
51,8572,アコム,481.8,890800,430
52,2780,コメ兵ホールディングス,5400.0,79600,429
53,6838,多摩川ホールディングス,1456.0,287300,426
54,3647,アスリナ,136.0,3028100,423
55,6637,寺崎電気産業,3900.0,102500,398
56,9436,沖縄セルラー電話,3745.0,104300,392
57,6226,守谷輸送機工業,2346.0,164000,387
58,1723,日本電技,2150.0,177700,386
59,4972,綜研化学,3530.0,109700,383
60,6994,指月電機製作所,1116.0,324100,362
61,146A,コロンビア・ワークス,3380.0,104900,358
62,6356,日本ギア工業,1500.0,235600,352
63,9425,ＲｅＹｕｕ　Ｊａｐａｎ,223.0,1513700,349
64,4293,セプテーニ・ホールディングス,517.0,667900,345
65,7716,ナカニシ,3010.0,111500,336
66,8927,明豊エンタープライズ,469.0,718400,334
67,7523,アールビバン,1905.0,175000,332
68,3446,ジェイテックコーポレーション,1527.0,203100,326
69,8244,近鉄百貨店,1898.0,166400,312
70,5885,ジーデップ・アドバンス,3055.0,99500,309
71,3299,ムゲンエステート,1941.0,157900,308
72,6145,ＮＩＴＴＯＫＵ,2778.0,108800,303
73,4691,ワシントンホテル,2383.0,124500,303
74,9399,ビート・ホールディングス・リミテッド,16.0,15371482,293
75,3825,リミックスポイント,201.0,1451500,291
76,5381,マイポックス,917.0,307500,290
77,5161,西川ゴム工業,3110.0,90200,281
78,6960,フクダ電子,11330.0,24800,281
79,6659,メディアリンクス,55.0,4906300,275
80,6023,ダイハツインフィニアース,2668.0,103900,275
81,5367,ニッカトー,1220.0,218600,271
82,6245,ヒラノテクシード,1676.0,155500,263
83,4499,Ｓｐｅｅｅ,2260.0,113600,262
84,7279,ハイレックスコーポレーション,2195.0,118100,261
85,3222,ユナイテッド・スーパーマーケット・ホールディングス,829.0,314500,260
86,6125,岡本工作機械製作所,5520.0,45300,251
87,7177,ＧＭＯフィナンシャルホールディングス,1044.0,237300,250
88,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,6040.0,40600,247
89,2354,ＹＥ　ＤＩＧＩＴＡＬ,795.0,285200,228
90,4446,Ｌｉｎｋ－Ｕグループ,815.0,266300,226
91,6629,テクノホライゾン,994.0,222500,223
92,1965,テクノ菱和,6140.0,35900,221
93,7287,日本精機,2390.0,89000,214
94,3733,ソフトウェア・サービス,11160.0,18800,209
95,2962,テクニスコ,1244.0,161300,209
96,3444,菊池製作所,967.0,209700,206
97,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,61.0,3240900,198
98,6736,サン電子,9510.0,20500,196
99,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,137.0,1399600,194
100,7711,助川電気工業,4780.0,40600,194
