順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6203,豊和工業,2344.0,18337800,48540
2,3444,菊池製作所,1148.0,6493400,7827
3,6227,ＡＩメカテック,5450.0,1437500,7671
4,7014,名村造船所,4750.0,1391100,6492
5,6890,フェローテック,8600.0,770600,6482
6,3103,ユニチカ,1380.0,4112700,5784
7,604A,ビーエイブル,1265.0,3749100,4987
8,3350,メタプラネット,247.0,17035500,4180
9,6834,精工技研,4870.0,816800,3903
10,2702,日本マクドナルドホールディングス,8100.0,473400,3811
11,6855,日本電子材料,6310.0,523300,3268
12,4440,ヴィッツ,2135.0,1453700,3250
13,4716,日本オラクル,9363.0,322800,3002
14,8918,ランド,10.0,288180100,2882
15,8117,中央自動車工業,2109.0,1291100,2679
16,4667,アイサンテクノロジー,3365.0,695200,2443
17,8995,誠建設工業,2048.0,866200,2108
18,5985,サンコール,2014.0,973700,1909
19,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,18460.0,100000,1840
20,6356,日本ギア工業,1513.0,1232100,1827
21,6492,岡野バルブ製造,16020.0,110500,1776
22,7564,ワークマン,5630.0,282100,1598
23,6627,テラプローブ,10370.0,156100,1591
24,2782,セリア,4795.0,310800,1487
25,3399,丸千代山岡家,3690.0,388900,1448
26,4966,上村工業,18950.0,74900,1412
27,9130,共栄タンカー,1728.0,808600,1411
28,6946,日本アビオニクス,6460.0,196800,1274
29,7719,東京衡機,554.0,2252500,1231
30,4816,東映アニメーション,3105.0,376800,1172
31,6862,ミナトホールディングス,4120.0,270900,1093
32,6378,木村化工機,1183.0,918900,1093
33,6208,石川製作所,1730.0,569200,1048
34,6366,千代田化工建設,691.0,1420600,982
35,3549,クスリのアオキホールディングス,4083.0,237400,968
36,6016,ジャパンエンジンコーポレーション,11300.0,87600,968
37,1783,ｆａｎｔａｓｉｓｔａ,77.0,12836300,945
38,6524,湖北工業,4735.0,191700,908
39,6072,地盤ネットホールディングス,1118.0,802400,893
40,1407,ウエストホールディングス,2274.0,386100,862
41,6466,ＴＶＥ,4285.0,183900,783
42,7906,ヨネックス,2413.0,315100,761
43,6327,北川精機,2795.0,271200,758
44,4274,細谷火工,1117.0,633100,741
45,6433,ヒーハイスト,1204.0,538300,660
46,7287,日本精機,2672.0,234400,623
47,7716,ナカニシ,2997.0,206600,619
48,4382,ＨＥＲＯＺ,842.0,729700,610
49,2354,ＹＥ　ＤＩＧＩＴＡＬ,1294.0,472000,607
50,6838,多摩川ホールディングス,1503.0,397200,606
51,2805,エスビー食品,7560.0,80100,605
52,3891,ニッポン高度紙工業,6090.0,97800,592
53,3907,シリコンスタジオ,1955.0,304500,576
54,6336,石井表記,1412.0,399600,574
55,9436,沖縄セルラー電話,4350.0,126100,546
56,8572,アコム,489.4,1096700,535
57,3449,テクノフレックス,3865.0,138100,534
58,9425,ＲｅＹｕｕ　Ｊａｐａｎ,255.0,2008000,524
59,6960,フクダ電子,11800.0,43000,507
60,7743,シード,792.0,617500,489
61,2962,テクニスコ,1818.0,282600,486
62,3131,シンデン・ハイテックス,6250.0,77600,471
63,4107,伊勢化学工業,3865.0,122400,468
64,7018,内海造船,13300.0,34800,454
65,2780,コメ兵ホールディングス,4395.0,102500,447
66,8508,Ｊトラスト,757.0,576200,435
67,6668,アドテック　プラズマ　テクノロジー,3665.0,118500,434
68,6736,サン電子,10370.0,40900,417
69,4970,東洋合成工業,9480.0,44300,417
70,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,63.0,6341900,412
71,287A,黒田グループ,1116.0,365600,408
72,4346,ＮＥＸＹＺ．Ｇｒｏｕｐ,1043.0,374300,389
73,3222,ユナイテッド・スーパーマーケット・ホールディングス,865.0,445200,383
74,1965,テクノ菱和,6980.0,54300,380
75,3441,山王,2695.0,140900,380
76,1723,日本電技,2503.0,152800,380
77,4222,児玉化学工業,672.0,565600,366
78,7711,助川電気工業,5680.0,64300,365
79,5218,オハラ,1544.0,213100,336
80,6023,ダイハツインフィニアース,3230.0,102800,329
81,4972,綜研化学,3715.0,86600,321
82,5161,西川ゴム工業,3495.0,91800,320
83,8789,フィンテック　グローバル,160.0,1856000,292
84,255A,ジーエルテクノホールディングス,5020.0,57300,284
85,6570,共和コーポレーション,3480.0,80500,276
86,5381,マイポックス,916.0,288500,258
87,7810,クロスフォー,161.0,1516500,253
88,6145,ＮＩＴＴＯＫＵ,2435.0,101600,246
89,6659,メディアリンクス,46.0,5003900,241
90,6176,ブランジスタ,1085.0,221700,238
91,9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,3450.0,68200,233
92,3083,スターシーズ,1223.0,189300,233
93,4174,アピリッツ,1045.0,225200,233
94,7746,岡本硝子,794.0,294300,233
95,7177,ＧＭＯフィナンシャルホールディングス,1163.0,201500,233
96,6676,バッファロー,3155.0,72900,229
97,9308,乾汽船,2142.0,101500,217
98,197A,タウンズ,513.0,422300,215
99,6677,エスケーエレクトロニクス,3185.0,65900,209
100,4293,セプテーニ・ホールディングス,512.0,400800,204
