順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6613,ＱＤレーザ,3255.0,7253000,22448
2,485A,パワーエックス,1922.0,6823400,13575
3,3905,データセクション,4860.0,2064200,10007
4,581A,ＧＯ,2249.0,3580400,8246
5,186A,アストロスケールホールディングス,1162.0,6824700,7797
6,141A,トライアルホールディングス,3025.0,2054500,6371
7,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1184.0,3825700,4563
8,4564,オンコセラピー・サイエンス,19.0,197445500,3791
9,215A,タイミー,1510.0,2227300,3351
10,464A,ＱＰＳホールディングス,1986.0,1653400,3286
11,5592,くすりの窓口,2291.0,1011700,2227
12,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,8000.0,262700,2101
13,9256,サクシード,4710.0,387800,1935
14,4597,ソレイジア・ファーマ,24.0,82979200,1930
15,281A,インフォメティス,753.0,2230500,1688
16,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3480.0,462400,1625
17,4882,ペルセウスプロテオミクス,170.0,9177400,1596
18,4259,エクサウィザーズ,828.0,1788900,1491
19,4588,オンコリスバイオファーマ,2652.0,535400,1417
20,2160,ジーエヌアイグループ,2582.0,543800,1388
21,2334,イオレ,606.0,2179900,1321
22,6521,オキサイド,5140.0,255900,1303
23,6597,ＨＰＣシステムズ,5120.0,251900,1296
24,9166,ＧＥＮＤＡ,560.0,1917200,1072
25,402A,アクセルスペースホールディングス,518.0,2014300,1042
26,584A,ＬｉＮＫＸ,2075.0,495900,1029
27,3133,海帆,121.0,7060000,904
28,6232,ＡＣＳＬ,1800.0,491500,892
29,5253,カバー,1165.0,750300,882
30,6522,アスタリスク,1017.0,731400,782
31,4592,サンバイオ,991.0,750600,736
32,7777,スリー・ディー・マトリックス,338.0,2103800,717
33,456A,ＨＵＭＡＮ　ＭＡＤＥ,1531.0,424200,657
34,4431,スマレジ,2806.0,224500,628
35,4978,リプロセル,132.0,4316000,579
36,7409,ＡｅｒｏＥｄｇｅ,3640.0,156100,553
37,7318,セレンディップ・ホールディングス,2324.0,231700,549
38,6085,アーキテクツ・スタジオ・ジャパン,300.0,1751700,524
39,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4180.0,128200,513
40,3692,ＦＦＲＩセキュリティ,4680.0,109100,507
41,9348,ｉｓｐａｃｅ,443.0,1141100,502
42,247A,Ａｉロボティクス,736.0,678900,494
43,7806,ＭＴＧ,7470.0,64600,484
44,4169,ＥＮＥＣＨＡＮＧＥ,175.0,2865700,478
45,4478,フリー,1888.0,244000,462
46,7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,361.0,1312200,454
47,4425,Ｋｕｄａｎ,1854.0,227700,428
48,7779,ＣＹＢＥＲＤＹＮＥ,250.0,1597800,403
49,4894,クオリプス,3900.0,94600,361
50,4419,Ｆｉｎａｔｅｘｔホールディングス,1286.0,278500,360
51,4889,レナサイエンス,1650.0,219300,359
52,7082,ジモティー,1414.0,244700,346
53,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,313.0,1093200,328
54,219A,Ｈｅａｒｔｓｅｅｄ,1539.0,208800,317
55,4179,ジーネクスト,459.0,626200,296
56,523A,セイワホールディングス,1716.0,169200,291
57,4418,ＪＤＳＣ,653.0,436500,288
58,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1236.0,228900,281
59,2986,ＬＡホールディングス,8560.0,32000,274
60,446A,ノースサンド,1179.0,227800,267
61,218A,Ｌｉｂｅｒａｗａｒｅ,997.0,263300,266
62,7794,イーディーピー,1050.0,238100,251
63,5842,インテグラル,2833.0,83900,239
64,5244,ｊｉｇ．ｊｐ,164.0,1452100,238
65,4475,ＨＥＮＮＧＥ,1050.0,224800,236
66,336A,ダイナミックマッププラットフォーム,799.0,294900,236
67,5590,ネットスターズ,647.0,366200,231
68,3479,ＴＫＰ,1702.0,130000,221
69,9211,エフ・コード,1376.0,160100,220
70,319A,技術承継機構,17310.0,12500,219
71,6181,タメニー,79.0,2244700,191
72,7047,ポート,2061.0,91800,190
73,5243,ｎｏｔｅ,1730.0,109700,189
74,325A,ＴＥＮＴＩＡＬ,4105.0,43000,178
75,7048,ベルトラ,163.0,1040100,171
76,5834,ＳＢＩリーシングサービス,2629.0,64000,167
77,4493,サイバーセキュリティクラウド,1661.0,97700,160
78,4055,ティアンドエスグループ,1927.0,82600,160
79,350A,デジタルグリッド,738.0,210900,157
80,6255,エヌ・ピー・シー,713.0,220900,157
81,299A,クラシル,926.0,168900,156
82,7068,フィードフォースグループ,481.0,321800,153
83,3237,イントランス,93.0,1589000,147
84,556A,犬猫生活,2301.0,64100,145
85,3558,ジェイドグループ,1516.0,93500,143
86,4593,ヘリオス,247.0,574500,142
87,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,34.0,3973500,139
88,4417,グローバルセキュリティエキスパート,3300.0,40400,132
89,3911,Ａｉｍｉｎｇ,190.0,698400,130
90,332A,ミーク,993.0,128100,128
91,4570,免疫生物研究所,989.0,128000,127
92,149A,シンカ,859.0,147200,121
93,479A,ＰＲＯＮＩ,1258.0,91000,118
94,3989,シェアリングテクノロジー,998.0,116600,117
95,4477,ＢＡＳＥ,256.0,442500,114
96,554A,バトンズ,1578.0,69000,112
97,5582,グリッド,1801.0,60900,111
98,9270,バリュエンスホールディングス,2289.0,46700,107
99,5574,ＡＢＥＪＡ,2150.0,49400,107
100,5246,ＥＬＥＭＥＮＴＳ,597.0,179100,106
