順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,7014,名村造船所,3890.0,1629300,6524
2,6890,フェローテック,8150.0,754200,6194
3,6227,ＡＩメカテック,5680.0,1072700,6171
4,6855,日本電子材料,6770.0,815500,5631
5,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,20220.0,239400,4909
6,6327,北川精機,5110.0,842500,4510
7,2702,日本マクドナルドホールディングス,7750.0,575300,4475
8,3350,メタプラネット,226.0,16652700,3764
9,8918,ランド,10.0,355380600,3678
10,6834,精工技研,22760.0,143500,3266
11,4716,日本オラクル,8674.0,374100,3249
12,3103,ユニチカ,940.0,3267600,3115
13,4935,リベルタ,379.0,8716600,2876
14,1909,日本ドライケミカル,3695.0,715100,2642
15,7564,ワークマン,6090.0,388200,2387
16,6366,千代田化工建設,704.0,3001000,2135
17,4966,上村工業,23750.0,89000,2127
18,3449,テクノフレックス,6720.0,259800,1745
19,3891,ニッポン高度紙工業,7970.0,184400,1470
20,7716,ナカニシ,3000.0,461100,1389
21,6627,テラプローブ,11730.0,116400,1370
22,9425,ＲｅＹｕｕ　Ｊａｐａｎ,239.0,5474900,1307
23,4446,Ｌｉｎｋ－Ｕグループ,929.0,1347900,1285
24,6016,ジャパンエンジンコーポレーション,8410.0,133500,1141
25,4816,東映アニメーション,2647.0,423300,1129
26,6524,湖北工業,4560.0,235100,1085
27,2782,セリア,3735.0,289900,1082
28,5985,サンコール,1453.0,716000,1056
29,4107,伊勢化学工業,3735.0,277900,1041
30,7906,ヨネックス,2425.0,397500,966
31,6492,岡野バルブ製造,17300.0,50400,906
32,4970,東洋合成工業,15040.0,57600,881
33,6946,日本アビオニクス,4990.0,162600,834
34,3549,クスリのアオキホールディングス,3964.0,205800,811
35,6993,大黒屋ホールディングス,87.0,8974400,802
36,1407,ウエストホールディングス,2237.0,327300,740
37,6736,サン電子,10520.0,62200,667
38,6203,豊和工業,1589.0,392100,635
39,5367,ニッカトー,1240.0,488200,616
40,6469,放電精密加工研究所,3235.0,185100,599
41,6838,多摩川ホールディングス,1521.0,380900,597
42,6356,日本ギア工業,1500.0,369500,562
43,8783,ａｂｃ,87.0,5686400,550
44,6072,地盤ネットホールディングス,994.0,538800,543
45,8572,アコム,486.3,1058700,515
46,287A,黒田グループ,1105.0,458200,509
47,8508,Ｊトラスト,786.0,642600,508
48,4499,Ｓｐｅｅｅ,2155.0,223700,490
49,550A,ソフトテックス,2600.0,175200,482
50,4800,オリコン,1368.0,350700,480
51,2805,エスビー食品,5940.0,79900,479
52,1965,テクノ菱和,6200.0,72200,451
53,8537,大光銀行,2735.0,160000,439
54,3222,ユナイテッド・スーパーマーケット・ホールディングス,832.0,523900,434
55,1723,日本電技,2421.0,174700,425
56,6125,岡本工作機械製作所,5050.0,79800,410
57,5161,西川ゴム工業,3065.0,130800,405
58,7177,ＧＭＯフィナンシャルホールディングス,1029.0,379300,392
59,9651,日本プロセス,2014.0,197400,388
60,3647,アスリナ,136.0,2704500,386
61,1822,大豊建設,801.0,480900,382
62,6862,ミナトホールディングス,1931.0,193500,381
63,6994,指月電機製作所,1092.0,342800,381
64,6023,ダイハツインフィニアース,2637.0,138900,371
65,9436,沖縄セルラー電話,3840.0,95500,366
66,7746,岡本硝子,785.0,440300,351
67,7760,ＩＭＶ,2555.0,134000,350
68,255A,ジーエルテクノホールディングス,5940.0,56800,343
69,6226,守谷輸送機工業,2277.0,139900,322
70,2962,テクニスコ,1310.0,239100,313
71,6231,木村工機,13360.0,23200,312
72,4293,セプテーニ・ホールディングス,488.0,639300,311
73,8131,ミツウロコグループホールディングス,2235.0,138900,310
74,3299,ムゲンエステート,1926.0,159700,306
75,4972,綜研化学,3490.0,87000,303
76,8746,ｕｎｂａｎｋｅｄ,110.0,2529200,300
77,3810,サイバーステップホールディングス,197.0,1515600,297
78,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,6030.0,46500,283
79,6668,アドテック　プラズマ　テクノロジー,3245.0,87300,283
80,3321,ミタチ産業,1567.0,179900,281
81,4746,東計電算,4740.0,59500,281
82,6336,石井表記,1691.0,164400,279
83,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,59.0,4604100,270
84,4691,ワシントンホテル,2581.0,104500,268
85,7287,日本精機,2419.0,108100,264
86,6960,フクダ電子,11530.0,22700,263
87,2780,コメ兵ホールディングス,5220.0,50100,261
88,6145,ＮＩＴＴＯＫＵ,2792.0,92100,259
89,2216,カンロ,1177.0,218000,257
90,7412,アトム,385.0,652300,254
91,6378,木村化工機,1175.0,210800,250
92,3441,山王,2831.0,87300,249
93,7815,東京ボード工業,446.0,573300,248
94,3001,片倉工業,2631.0,85800,225
95,6637,寺崎電気産業,3655.0,60600,224
96,6656,インスペック,1251.0,175100,223
97,3776,ブロードバンドタワー,295.0,759000,222
98,254A,ＡＩフュージョンキャピタルグループ,1134.0,202100,220
99,7711,助川電気工業,4850.0,43800,215
100,4100,戸田工業,1420.0,148800,214
