順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,3103,ユニチカ,1520.0,14254000,22007
2,7014,名村造船所,4585.0,3509700,16374
3,3350,メタプラネット,253.0,55691200,14039
4,6890,フェローテック,8680.0,1037300,9036
5,6834,精工技研,24840.0,233100,5758
6,6855,日本電子材料,6660.0,710900,4727
7,5985,サンコール,2482.0,1979400,4650
8,2702,日本マクドナルドホールディングス,8000.0,442000,3528
9,3907,シリコンスタジオ,1822.0,1899200,3416
10,8918,ランド,10.0,318293400,3302
11,2962,テクニスコ,1605.0,1692100,3023
12,6227,ＡＩメカテック,6060.0,467600,2809
13,2782,セリア,4305.0,574200,2468
14,6327,北川精機,3470.0,659300,2249
15,6777,ｓａｎｔｅｃ　Ｈｏｌｄｉｎｇｓ,18380.0,110600,2021
16,7564,ワークマン,6300.0,314100,1970
17,4716,日本オラクル,9385.0,209000,1950
18,8995,誠建設工業,1701.0,990900,1930
19,6627,テラプローブ,10010.0,189100,1902
20,2354,ＹＥ　ＤＩＧＩＴＡＬ,1370.0,1305500,1706
21,4966,上村工業,20170.0,83000,1682
22,6862,ミナトホールディングス,3615.0,470400,1668
23,6016,ジャパンエンジンコーポレーション,10130.0,147400,1523
24,6524,湖北工業,4710.0,297000,1406
25,6366,千代田化工建設,708.0,1924800,1352
26,4746,東計電算,6430.0,197700,1266
27,8508,Ｊトラスト,889.0,1353400,1186
28,3856,Ａｂａｌａｎｃｅ,454.0,2124200,1053
29,1407,ウエストホールディングス,2722.0,378900,1014
30,3549,クスリのアオキホールディングス,4105.0,244600,1001
31,4970,東洋合成工業,11440.0,84700,970
32,4499,Ｓｐｅｅｅ,2764.0,339200,962
33,7906,ヨネックス,2811.0,342200,957
34,3891,ニッポン高度紙工業,6630.0,138500,912
35,4816,東映アニメーション,2866.0,282300,806
36,6023,ダイハツインフィニアース,2979.0,266600,797
37,6946,日本アビオニクス,5560.0,140600,781
38,3825,リミックスポイント,231.0,3451600,778
39,6570,共和コーポレーション,3970.0,188400,720
40,6736,サン電子,7670.0,93400,710
41,7716,ナカニシ,3095.0,224700,693
42,3222,ユナイテッド・スーパーマーケット・ホールディングス,831.0,791600,656
43,4107,伊勢化学工業,3830.0,160000,609
44,3449,テクノフレックス,4005.0,144400,567
45,6072,地盤ネットホールディングス,1106.0,517200,563
46,6960,フクダ電子,11750.0,47400,556
47,9221,フルハシＥＰＯ,1120.0,498700,554
48,2780,コメ兵ホールディングス,5310.0,101100,536
49,4320,ＣＥホールディングス,1668.0,319900,533
50,3810,サイバーステップホールディングス,223.0,2356300,532
51,8572,アコム,483.4,1097600,529
52,7018,内海造船,12010.0,39900,487
53,8789,フィンテック　グローバル,173.0,2797300,478
54,3399,丸千代山岡家,3920.0,121700,473
55,1723,日本電技,2060.0,226200,464
56,287A,黒田グループ,1184.0,378900,446
57,4222,児玉化学工業,672.0,572900,384
58,4972,綜研化学,3340.0,108700,365
59,1965,テクノ菱和,6060.0,59400,356
60,9436,沖縄セルラー電話,4015.0,86200,346
61,604A,ビーエイブル,1039.0,338800,337
62,6226,守谷輸送機工業,2390.0,139600,331
63,1514,住石ホールディングス,677.0,492500,328
64,3189,ＡＮＡＰホールディングス,113.0,2576400,313
65,5161,西川ゴム工業,3480.0,89300,309
66,6677,エスケーエレクトロニクス,3160.0,95100,302
67,6840,ＡＫＩＢＡホールディングス,767.0,391100,302
68,2705,大戸屋ホールディングス,9160.0,32500,298
69,3131,シンデン・ハイテックス,6140.0,46800,291
70,2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,65.0,4508500,287
71,4293,セプテーニ・ホールディングス,520.0,540100,280
72,2805,エスビー食品,6780.0,40600,278
73,8105,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,93.0,2988300,276
74,7287,日本精機,2558.0,107500,275
75,6918,アバールデータ,3525.0,76400,269
76,5698,エンビプロ・ホールディングス,817.0,326000,263
77,8117,中央自動車工業,2119.0,122600,259
78,6998,日本タングステン,3060.0,84100,258
79,5724,アサカ理研,2805.0,88700,252
80,9425,ＲｅＹｕｕ　Ｊａｐａｎ,233.0,1036500,243
81,7480,スズデン,3195.0,74400,236
82,8841,テーオーシー,1064.0,219900,235
83,255A,ジーエルテクノホールディングス,5200.0,44200,228
84,8871,ゴールドクレスト,3325.0,66800,222
85,6637,寺崎電気産業,4280.0,52300,221
86,9308,乾汽船,2125.0,104300,219
87,4595,ミズホメディー,1711.0,125900,215
88,197A,タウンズ,505.0,421000,211
89,9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉｎｉｎｇ　Ｃｏｎｃｅｐｔｓ,3385.0,60800,207
90,6877,ＯＢＡＲＡ　ＧＲＯＵＰ,5870.0,35200,205
91,3374,内外テック,3945.0,52600,204
92,7412,アトム,362.0,562500,204
93,4992,北興化学工業,2058.0,98300,201
94,6217,津田駒工業,841.0,238200,200
95,146A,コロンビア・ワークス,3830.0,53400,199
96,3054,ハイパー,373.0,533500,193
97,4286,ＣＬホールディングス,1344.0,144000,188
98,6928,エノモト,3095.0,59500,179
99,5210,日本山村硝子,2934.0,61200,178
100,6145,ＮＩＴＴＯＫＵ,2356.0,75600,177
