順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,10860.0,1877800,19238
2,584A,ＬｉＮＫＸ,3910.0,2220700,9365
3,485A,パワーエックス,1857.0,4748200,9148
4,3905,データセクション,2871.0,2870200,8283
5,6522,アスタリスク,2050.0,3006600,5982
6,581A,ＧＯ,2408.0,2100300,5066
7,9348,ｉｓｐａｃｅ,445.0,9789000,4532
8,4564,オンコセラピー・サイエンス,20.0,221234000,4366
9,186A,アストロスケールホールディングス,1095.0,3637800,4022
10,6613,ＱＤレーザ,2505.0,1232100,3145
11,5243,ｎｏｔｅ,2258.0,1359900,2932
12,215A,タイミー,1524.0,1559800,2364
13,4597,ソレイジア・ファーマ,26.0,76212900,1979
14,456A,ＨＵＭＡＮ　ＭＡＤＥ,1537.0,1104000,1655
15,4424,Ａｍａｚｉａ,396.0,4322500,1574
16,464A,ＱＰＳホールディングス,1833.0,848600,1561
17,5253,カバー,1612.0,913300,1473
18,2986,ＬＡホールディングス,2791.0,455000,1283
19,402A,アクセルスペースホールディングス,512.0,2365700,1212
20,4259,エクサウィザーズ,872.0,1348800,1194
21,6232,ＡＣＳＬ,1769.0,648300,1150
22,141A,トライアルホールディングス,3040.0,370100,1129
23,2160,ジーエヌアイグループ,2605.0,429300,1120
24,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3505.0,301300,1057
25,319A,技術承継機構,18470.0,53000,969
26,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,180.0,5601300,967
27,7806,ＭＴＧ,7550.0,128000,963
28,218A,Ｌｉｂｅｒａｗａｒｅ,1221.0,764200,945
29,9166,ＧＥＮＤＡ,580.0,1621800,945
30,2997,ストレージ王,1337.0,673000,903
31,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1214.0,726400,882
32,9270,バリュエンスホールディングス,1950.0,438000,881
33,7803,ブシロード,350.0,2306000,789
34,4588,オンコリスバイオファーマ,2575.0,301300,767
35,6521,オキサイド,4300.0,154100,668
36,4419,Ｆｉｎａｔｅｘｔホールディングス,1545.0,425400,652
37,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,60.0,11363700,638
38,2334,イオレ,547.0,1066500,586
39,4593,ヘリオス,261.0,2199900,575
40,4596,窪田製薬ホールディングス,74.0,7697700,559
