順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,17770.0,12932300,251998
2,581A,ＧＯ,4335.0,4008100,17784
3,485A,パワーエックス,1824.0,7498300,14057
4,4588,オンコリスバイオファーマ,4650.0,1738100,8158
5,3905,データセクション,1696.0,4715300,7833
6,6613,ＱＤレーザ,2088.0,3373200,7235
7,336A,ダイナミックマッププラットフォーム,1351.0,5368100,6983
8,464A,ＱＰＳホールディングス,1797.0,3228300,5827
9,186A,アストロスケールホールディングス,1133.0,4073800,4611
10,593A,ティアフォー,2399.0,1948100,4578
11,603A,アイ・グリッド・ソリューションズ,1011.0,3502700,3781
12,4592,サンバイオ,970.0,3810000,3703
13,6522,アスタリスク,2156.0,1487500,3259
14,2160,ジーエヌアイグループ,2813.0,1147900,3252
15,4478,フリー,4360.0,689400,3051
16,4477,ＢＡＳＥ,374.0,7940600,2891
17,4564,オンコセラピー・サイエンス,22.0,128964800,2837
18,215A,タイミー,1775.0,1555100,2765
19,6085,アーキテクツ・スタジオ・ジャパン,209.0,11700000,2533
20,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1499.0,1617700,2457
21,219A,Ｈｅａｒｔｓｅｅｄ,2477.0,971000,2398
22,141A,トライアルホールディングス,4020.0,574200,2329
23,4597,ソレイジア・ファーマ,30.0,63619300,1887
24,5253,カバー,1677.0,1091200,1839
25,4475,ＨＥＮＮＧＥ,1743.0,905200,1599
26,247A,Ａｉロボティクス,1055.0,1496600,1575
27,5129,ＦＩＸＥＲ,422.0,3936100,1566
28,5842,インテグラル,2957.0,505700,1488
29,4259,エクサウィザーズ,840.0,1701500,1432
30,6232,ＡＣＳＬ,1548.0,901300,1388
31,3653,モルフォ,1037.0,1347000,1349
32,5243,ｎｏｔｅ,3065.0,406500,1238
33,9166,ＧＥＮＤＡ,748.0,1595500,1185
34,325A,ＴＥＮＴＩＡＬ,1851.0,603000,1121
35,7806,ＭＴＧ,9220.0,120200,1112
36,4052,フィーチャ,745.0,1530900,1105
37,5574,ＡＢＥＪＡ,3190.0,326900,1032
38,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3175.0,282500,899
39,4425,Ｋｕｄａｎ,1569.0,551000,860
40,598A,チャットプラス,1627.0,491200,841
41,4593,ヘリオス,287.0,2695000,791
42,607A,エブリー,260.0,2953300,781
43,446A,ノースサンド,2123.0,357100,764
44,5137,スマートドライブ,312.0,2338000,753
45,7803,ブシロード,454.0,1655200,737
46,7777,スリー・ディー・マトリックス,379.0,1967000,731
47,402A,アクセルスペースホールディングス,526.0,1339400,687
48,4419,Ｆｉｎａｔｅｘｔホールディングス,1465.0,456700,672
49,4056,ニューラルグループ,299.0,2375200,667
50,3664,ＷＩＺＥ,26.0,24189600,649
51,4894,クオリプス,5800.0,111300,649
52,3692,ＦＦＲＩセキュリティ,5630.0,114300,639
53,6597,ＨＰＣシステムズ,3885.0,162900,617
54,456A,ＨＵＭＡＮ　ＭＡＤＥ,1680.0,346200,578
55,7779,ＣＹＢＥＲＤＹＮＥ,226.0,2486200,564
56,319A,技術承継機構,20510.0,27300,555
57,4431,スマレジ,3805.0,146500,554
58,6521,オキサイド,3260.0,165900,531
59,4889,レナサイエンス,1306.0,390200,505
60,2334,イオレ,572.0,883300,502
61,4493,サイバーセキュリティクラウド,1940.0,252800,497
62,299A,クラシル,1413.0,337100,469
63,421A,ムービン・ストラテジック・キャリア,4390.0,106900,467
64,218A,Ｌｉｂｅｒａｗａｒｅ,1210.0,373500,449
65,584A,ＬｉＮＫＸ,2815.0,153200,437
66,5246,ＥＬＥＭＥＮＴＳ,915.0,464700,425
67,341A,トヨコー,2195.0,182700,400
68,4316,ビーマップ,132.0,3022100,396
69,2986,ＬＡホールディングス,2855.0,132200,376
70,523A,セイワホールディングス,1844.0,190800,351
71,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,794.0,409900,329
72,558A,ＳＱＵＥＥＺＥ,6300.0,53500,329
73,7409,ＡｅｒｏＥｄｇｅ,1570.0,201000,308
74,462A,ＦＵＮＤＩＮＮＯ,333.0,889900,307
75,7094,ＮｅｘＴｏｎｅ,1975.0,155500,306
76,4165,プレイド,744.0,410000,304
77,4418,ＪＤＳＣ,1131.0,260800,296
78,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4310.0,69700,294
79,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ,225.0,1240700,289
80,3989,シェアリングテクノロジー,1614.0,177900,284
81,7794,イーディーピー,991.0,287300,279
82,4393,バンク・オブ・イノベーション,5850.0,46700,272
83,5038,ｅＷｅＬＬ,2210.0,122500,270
84,4422,ＶＡＬＵＥＮＥＸ,640.0,414900,262
85,4011,ヘッドウォータース,2496.0,103700,258
86,350A,デジタルグリッド,783.0,324100,252
87,4192,スパイダープラス,309.0,817300,251
88,431A,ユーソナー,2637.0,94600,245
89,4394,エクスモーション,672.0,354000,245
90,9348,ｉｓｐａｃｅ,425.0,576400,245
91,4258,網屋,4545.0,53800,242
92,9467,アルファポリス,1184.0,202600,237
93,4833,Ｄｅｆ　ｃｏｎｓｕｌｔｉｎｇ,58.0,4084200,231
94,2195,アミタホールディングス,391.0,569700,230
95,338A,ＺｅｎｍｕＴｅｃｈ,2324.0,100200,227
96,7376,ＢＣＣ,919.0,248600,222
97,3300,アンビション　ＤＸ　ホールディングス,1908.0,112600,214
