順位,コード,銘柄名,現在値,売買代金(百万円),回転率
51,6702,富士通,3162.0,28465,0.5174345472548654
52,6526,ソシオネクスト,2615.0,28429,6.040466175993222
53,2914,日本たばこ産業,5924.0,28036,0.3549460179388962
54,7012,川崎重工業,3081.0,27917,1.0791950955297935
55,9433,ＫＤＤＩ,2664.0,27178,0.25457459207764654
56,6479,ミネベアミツミ,4928.0,27082,1.2867677991179292
57,6787,メイコー,32550.0,25709,2.946765658828339
58,5713,住友金属鉱山,8251.0,25616,1.06755287657656
59,7741,ＨＯＹＡ,26485.0,24589,0.27727206989638403
60,8801,三井不動産,1448.0,23285,0.5915243124604126
61,8591,オリックス,6334.0,22663,0.318296477749237
62,6361,荏原製作所,6356.0,22435,0.7716294971143287
63,6273,ＳＭＣ,71330.0,21814,0.47881806498144786
64,6871,日本マイクロニクス,16030.0,21636,3.37216394832918
65,9434,ソフトバンク,205.6,21607,0.2189440507944243
66,6301,小松製作所,6539.0,21286,0.3498974175657898
67,8002,丸紅,4793.0,21118,0.26530101345544593
68,8308,りそなホールディングス,2162.0,20706,0.41511382634525706
69,9501,東京電力ホールディングス,470.6,20526,2.7141371355400863
70,7936,アシックス,4204.0,19675,0.6371926200315912
71,5332,ＴＯＴＯ,8853.0,19511,1.324781753257208
72,8309,三井住友トラストグループ,6053.0,19360,0.45769241572788555
73,8053,住友商事,6380.0,19347,0.25373664243109734
74,7751,キヤノン,4222.0,19071,0.3386697604975864
75,7267,本田技研工業,1397.5,18776,0.29639136098742397
76,4502,武田薬品工業,5011.0,18655,0.23395261343031934
77,6324,ハーモニック・ドライブ・システムズ,7700.0,18592,2.506915253994122
78,6594,ニデック,2789.0,18490,0.55591053479748
79,3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,9444.0,18086,1.6499455674889099
80,4519,中外製薬,7434.0,18049,0.14459889561095585
81,8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,4616.0,17898,0.259782152435164
82,8630,ＳＯＭＰＯホールディングス,6352.0,17675,0.2978486918300031
83,7182,ゆうちょ銀行,3210.0,17212,0.14994898287463188
84,6504,富士電機,14600.0,16568,0.7600920239229372
85,8802,三菱地所,3859.0,16554,0.35241485177171156
86,6315,ＴＯＷＡ,3155.0,16308,6.877487064367088
87,9101,日本郵船,5272.0,16268,0.7613053936123291
88,6902,デンソー,1885.5,16023,0.2919295920855422
89,9104,商船三井,5328.0,16020,0.8282562466865194
90,5333,ＮＧＫ,7424.0,15552,0.71680896748063
91,9412,スカパーＪＳＡＴ,2863.0,15454,1.8132933080394442
92,4661,オリエンタルランド,2363.0,15435,0.36279530159115414
93,1801,大成建設,14040.0,15229,0.6646939446367083
94,8750,第一ライフグループ,1812.0,15162,0.23102682885410586
95,8015,豊田通商,6130.0,15014,0.2305908609407206
96,3086,Ｊ．フロント　リテイリング,2885.0,15004,1.9221549556067314
97,6988,日東電工,3204.0,14877,0.6841806618200982
98,4901,富士フイルムホールディングス,3320.0,14687,0.35564565679202065
99,9502,中部電力,2902.5,14294,0.6496992175337883
100,7201,日産自動車,305.1,14141,1.247947103935256
