順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,6613,ＱＤレーザ,2840.0,7652200,22346
2,485A,パワーエックス,1977.0,9381600,18944
3,3905,データセクション,4180.0,2849400,12355
4,584A,ＬｉＮＫＸ,2575.0,3471900,8597
5,186A,アストロスケールホールディングス,1095.0,6237500,7011
6,464A,ＱＰＳホールディングス,1866.0,2150600,4078
7,581A,ＧＯ,2185.0,1621500,3582
8,4564,オンコセラピー・サイエンス,19.0,148724800,2825
9,141A,トライアルホールディングス,2952.0,843500,2520
10,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1148.0,1928900,2197
11,6521,オキサイド,4720.0,446300,2110
12,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,7650.0,258300,1996
13,215A,タイミー,1476.0,1279800,1902
14,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,3380.0,562500,1882
15,4259,エクサウィザーズ,777.0,2352800,1871
16,9256,サクシード,5410.0,348900,1841
17,5253,カバー,1218.0,1474200,1749
18,2160,ジーエヌアイグループ,2517.0,680600,1711
19,4588,オンコリスバイオファーマ,2733.0,627100,1691
20,4889,レナサイエンス,1413.0,1110600,1608
21,4597,ソレイジア・ファーマ,24.0,65089100,1520
22,402A,アクセルスペースホールディングス,492.0,2728900,1357
23,6522,アスタリスク,1020.0,1267600,1299
24,9166,ＧＥＮＤＡ,577.0,1828500,1048
25,4592,サンバイオ,919.0,1058200,994
26,2986,ＬＡホールディングス,8520.0,113300,966
27,7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,415.0,2347100,941
28,6232,ＡＣＳＬ,1673.0,538100,916
29,2334,イオレ,606.0,1466100,872
30,6597,ＨＰＣシステムズ,4715.0,178100,861
31,5592,くすりの窓口,2104.0,352900,760
32,7806,ＭＴＧ,7260.0,103500,752
33,7777,スリー・ディー・マトリックス,328.0,2225000,732
34,7318,セレンディップ・ホールディングス,2182.0,311900,683
35,3133,海帆,71.0,8403000,633
36,9348,ｉｓｐａｃｅ,430.0,1457500,630
37,247A,Ａｉロボティクス,714.0,855500,615
38,3692,ＦＦＲＩセキュリティ,4440.0,134700,600
39,4478,フリー,1876.0,314000,587
40,198A,ＰｏｓｔＰｒｉｍｅ,146.0,3473400,532
41,4419,Ｆｉｎａｔｅｘｔホールディングス,1316.0,406500,530
42,9211,エフ・コード,1298.0,397400,521
43,4179,ジーネクスト,539.0,988500,514
44,456A,ＨＵＭＡＮ　ＭＡＤＥ,1477.0,312300,465
45,7779,ＣＹＢＥＲＤＹＮＥ,240.0,1910300,462
46,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1256.0,338900,420
47,6085,アーキテクツ・スタジオ・ジャパン,302.0,1398900,417
48,4431,スマレジ,2641.0,146000,394
49,4265,Ｉｎｓｔｉｔｕｔｉｏｎ　ｆｏｒ　ａ　Ｇｌｏｂａｌ　Ｓｏｃｉｅｔｙ,350.0,1133500,385
50,4425,Ｋｕｄａｎ,1815.0,200000,360
51,218A,Ｌｉｂｅｒａｗａｒｅ,898.0,357200,330
52,281A,インフォメティス,676.0,473700,330
53,4169,ＥＮＥＣＨＡＮＧＥ,170.0,1778100,304
54,7068,フィードフォースグループ,490.0,600300,295
55,336A,ダイナミックマッププラットフォーム,739.0,389600,293
56,5243,ｎｏｔｅ,1745.0,166900,287
57,7409,ＡｅｒｏＥｄｇｅ,3540.0,77200,272
58,219A,Ｈｅａｒｔｓｅｅｄ,1536.0,168800,260
59,446A,ノースサンド,1165.0,220500,257
60,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,3985.0,62400,254
61,9270,バリュエンスホールディングス,2177.0,113200,252
62,4477,ＢＡＳＥ,256.0,971400,247
63,325A,ＴＥＮＴＩＡＬ,4135.0,57100,235
64,3652,ディジタルメディアプロフェッショナル,2291.0,96700,228
65,5842,インテグラル,2814.0,79700,223
66,4882,ペルセウスプロテオミクス,164.0,1294800,212
67,319A,技術承継機構,16810.0,12400,210
68,4475,ＨＥＮＮＧＥ,1033.0,194100,203
69,4417,グローバルセキュリティエキスパート,3310.0,60700,198
70,299A,クラシル,904.0,214800,195
71,3140,ＢＲＵＮＯ,1065.0,181700,194
72,4894,クオリプス,3855.0,49900,191
73,7794,イーディーピー,1026.0,184000,190
74,523A,セイワホールディングス,1623.0,113700,184
75,5590,ネットスターズ,646.0,264200,171
76,5574,ＡＢＥＪＡ,2072.0,79600,166
77,3479,ＴＫＰ,1700.0,98000,166
78,4055,ティアンドエスグループ,1844.0,89400,165
79,7707,プレシジョン・システム・サイエンス,187.0,846800,161
80,4375,セーフィー,616.0,259500,161
