順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,12000.0,781700,8842
2,485A,パワーエックス,1671.0,2985100,4844
3,3905,データセクション,2200.0,2144700,4606
4,581A,ＧＯ,2885.0,1515900,4322
5,593A,ティアフォー,987.0,3524800,3575
6,4564,オンコセラピー・サイエンス,19.0,166631100,3272
7,186A,アストロスケールホールディングス,1040.0,3152900,3210
8,6613,ＱＤレーザ,1485.0,1889200,2814
9,5253,カバー,1457.0,1789000,2544
10,4597,ソレイジア・ファーマ,28.0,71603300,2036
11,215A,タイミー,1493.0,1191400,1781
12,141A,トライアルホールディングス,3215.0,539000,1703
13,2160,ジーエヌアイグループ,2488.0,673700,1674
14,464A,ＱＰＳホールディングス,1528.0,1013700,1528
15,9166,ＧＥＮＤＡ,584.0,2123300,1250
16,603A,アイ・グリッド・ソリューションズ,728.0,1622600,1142
17,4588,オンコリスバイオファーマ,2670.0,398600,1061
18,4478,フリー,2550.0,409500,1043
19,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1146.0,907000,1032
20,7806,ＭＴＧ,7800.0,105800,810
21,6232,ＡＣＳＬ,1631.0,450700,721
22,5243,ｎｏｔｅ,1984.0,350200,707
23,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,2952.0,238600,705
24,2986,ＬＡホールディングス,2665.0,257100,685
25,319A,技術承継機構,17940.0,38600,672
26,6522,アスタリスク,1500.0,411900,617
27,446A,ノースサンド,1567.0,386500,603
28,6521,オキサイド,2972.0,196300,577
29,9256,サクシード,1260.0,403800,531
30,3664,ＷＩＺＥ,22.0,23984000,516
31,4419,Ｆｉｎａｔｅｘｔホールディングス,1489.0,339200,505
32,3692,ＦＦＲＩセキュリティ,5250.0,94100,490
33,247A,Ａｉロボティクス,821.0,593100,490
34,6085,アーキテクツ・スタジオ・ジャパン,70.0,6517200,484
35,4894,クオリプス,4535.0,99800,447
36,325A,ＴＥＮＴＩＡＬ,1485.0,298100,445
37,4259,エクサウィザーズ,777.0,557600,432
38,7777,スリー・ディー・マトリックス,334.0,1287500,426
39,9348,ｉｓｐａｃｅ,403.0,1037600,417
40,4417,グローバルセキュリティエキスパート,4200.0,97600,410
41,4381,ビープラッツ,363.0,1188000,398
42,402A,アクセルスペースホールディングス,467.0,853700,392
43,4475,ＨＥＮＮＧＥ,1284.0,283000,361
44,7779,ＣＹＢＥＲＤＹＮＥ,218.0,1674800,356
45,4592,サンバイオ,917.0,377900,346
46,2334,イオレ,464.0,743000,335
47,456A,ＨＵＭＡＮ　ＭＡＤＥ,1296.0,259700,333
48,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1420.0,225800,321
49,7803,ブシロード,369.0,871600,320
50,6255,エヌ・ピー・シー,686.0,453000,307
51,5574,ＡＢＥＪＡ,2604.0,109400,286
52,7063,Ｂｉｒｄｍａｎ,102.0,2860000,281
53,5834,ＳＢＩリーシングサービス,2772.0,100600,280
54,4377,ワンキャリア,2024.0,136300,277
55,5246,ＥＬＥＭＥＮＴＳ,750.0,355000,262
56,4424,Ａｍａｚｉａ,376.0,666900,253
57,4431,スマレジ,3095.0,80100,250
58,299A,クラシル,1168.0,210100,246
59,4889,レナサイエンス,1500.0,162300,243
60,4593,ヘリオス,235.0,1023000,241
61,3479,ＴＫＰ,1967.0,124000,240
62,7047,ポート,2463.0,90800,221
63,7409,ＡｅｒｏＥｄｇｅ,1547.0,142500,218
64,7794,イーディーピー,856.0,255700,216
65,150A,ＪＳＨ,462.0,472500,213
66,4395,アクリート,643.0,330300,212
67,3989,シェアリングテクノロジー,1345.0,149000,199
68,5842,インテグラル,2921.0,66700,195
69,4425,Ｋｕｄａｎ,1612.0,117500,187
70,5034,ｕｎｅｒｒｙ,2050.0,88400,184
71,7318,セレンディップ・ホールディングス,1911.0,96900,182
72,219A,Ｈｅａｒｔｓｅｅｄ,1670.0,98900,164
73,350A,デジタルグリッド,748.0,219700,162
74,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,402.0,364100,161
75,4393,バンク・オブ・イノベーション,5000.0,32200,158
76,4477,ＢＡＳＥ,303.0,524900,158
77,584A,ＬｉＮＫＸ,2176.0,71000,153
78,276A,ククレブ・アドバイザーズ,3285.0,45400,150
79,5537,ＡｌｂａＬｉｎｋ,2611.0,58400,148
80,9227,マイクロ波化学,850.0,173600,145
81,5532,リアルゲイト,3205.0,44400,144
82,218A,Ｌｉｂｅｒａｗａｒｅ,1072.0,125900,134
83,4169,ＥＮＥＣＨＡＮＧＥ,238.0,551800,129
84,2998,クリアル,484.0,258400,125
85,4575,キャンバス,730.0,171400,123
86,3914,ＪＩＧ－ＳＡＷ,2529.0,49400,123
87,5592,くすりの窓口,2308.0,51400,119
88,6574,コンヴァノ,89.0,1344000,115
89,4493,サイバーセキュリティクラウド,1811.0,63500,114
90,7373,アイドマ・ホールディングス,927.0,122100,114
91,598A,チャットプラス,1553.0,73800,112
92,9211,エフ・コード,1352.0,81500,110
93,3911,Ａｉｍｉｎｇ,177.0,613700,109
94,523A,セイワホールディングス,1427.0,74900,106
95,5027,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,545.0,192600,105
96,4418,ＪＤＳＣ,784.0,132800,104
97,4165,プレイド,583.0,178600,103
98,2586,フルッタフルッタ,96.0,1079200,103
99,336A,ダイナミックマッププラットフォーム,815.0,128200,103
100,4052,フィーチャ,422.0,243200,103
