順位,コード,銘柄名,現在値,出来高,売買代金(百万円)
1,186A,アストロスケールホールディングス,2349.0,21885900,52619
2,3905,データセクション,5310.0,6753600,36384
3,464A,ＱＰＳホールディングス,3495.0,3531300,12622
4,485A,パワーエックス,3465.0,3306100,11635
5,6613,ＱＤレーザ,2423.0,3772200,9237
6,290A,Ｓｙｎｓｐｅｃｔｉｖｅ,1681.0,4508900,7749
7,4588,オンコリスバイオファーマ,2347.0,2499100,6156
8,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,9110.0,638900,6128
9,402A,アクセルスペースホールディングス,773.0,6066300,4829
10,4564,オンコセラピー・サイエンス,21.0,216850800,4554
11,141A,トライアルホールディングス,2686.0,1516200,4087
12,6232,ＡＣＳＬ,2154.0,1599800,3489
13,9348,ｉｓｐａｃｅ,588.0,4707600,2857
14,2160,ジーエヌアイグループ,2574.0,1106100,2844
15,4259,エクサウィザーズ,1184.0,2162200,2518
16,4592,サンバイオ,1292.0,1784300,2341
17,4597,ソレイジア・ファーマ,25.0,89951800,2290
18,9166,ＧＥＮＤＡ,601.0,3680300,2184
19,2586,フルッタフルッタ,121.0,17620500,2035
20,6521,オキサイド,5330.0,382500,2027
21,7777,スリー・ディー・マトリックス,388.0,5100800,2013
22,5253,カバー,1633.0,1245600,2008
23,456A,ＨＵＭＡＮ　ＭＡＤＥ,1555.0,1178200,1856
24,6597,ＨＰＣシステムズ,5100.0,359600,1843
25,4478,フリー,2223.0,772600,1731
26,6085,アーキテクツ・スタジオ・ジャパン,361.0,4113500,1479
27,6522,アスタリスク,945.0,1567200,1389
28,7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,4065.0,344000,1377
29,215A,タイミー,1103.0,1185200,1321
30,2334,イオレ,510.0,2238700,1126
31,219A,Ｈｅａｒｔｓｅｅｄ,1405.0,787900,1115
32,4419,Ｆｉｎａｔｅｘｔホールディングス,1318.0,801800,1086
33,446A,ノースサンド,1383.0,764800,1025
34,4894,クオリプス,4560.0,218000,1021
35,3777,環境フレンドリーホールディングス,54.0,16436900,987
36,7794,イーディーピー,1168.0,793200,945
37,558A,ＳＱＵＥＥＺＥ,5090.0,170600,923
38,2986,ＬＡホールディングス,8730.0,98300,868
39,247A,Ａｉロボティクス,674.0,1254300,867
40,280A,ＴＭＨ,2375.0,335800,839
41,7806,ＭＴＧ,7440.0,110800,823
42,4475,ＨＥＮＮＧＥ,1171.0,684700,807
43,9227,マイクロ波化学,996.0,767200,783
44,299A,クラシル,975.0,746900,734
45,3692,ＦＦＲＩセキュリティ,5850.0,121800,716
46,7047,ポート,2198.0,330800,712
47,7409,ＡｅｒｏＥｄｇｅ,3020.0,231900,705
48,281A,インフォメティス,687.0,1021500,692
49,7082,ジモティー,1416.0,474300,672
50,6574,コンヴァノ,93.0,6368900,615
51,166A,タスキホールディングス,943.0,643800,607
52,319A,技術承継機構,17300.0,34100,590
53,4165,プレイド,604.0,967100,589
54,350A,デジタルグリッド,848.0,673100,573
55,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,4330.0,115600,503
56,4889,レナサイエンス,1310.0,362200,479
57,4593,ヘリオス,326.0,1462500,473
58,5243,ｎｏｔｅ,2008.0,234000,468
59,7318,セレンディップ・ホールディングス,2275.0,195800,444
60,4055,ティアンドエスグループ,2041.0,207700,432
61,336A,ダイナミックマッププラットフォーム,924.0,454600,418
62,4425,Ｋｕｄａｎ,1850.0,221700,406
63,3479,ＴＫＰ,1562.0,255000,397
64,5532,リアルゲイト,3765.0,100400,387
65,4431,スマレジ,2452.0,157200,384
66,3558,ジェイドグループ,1682.0,226900,379
67,5834,ＳＢＩリーシングサービス,2209.0,167000,371
68,5592,くすりの窓口,2570.0,143800,369
69,325A,ＴＥＮＴＩＡＬ,3635.0,100800,363
70,5031,モイ,510.0,678400,357
71,556A,犬猫生活,3095.0,108100,344
72,338A,ＺｅｎｍｕＴｅｃｈ,2366.0,139200,338
73,523A,セイワホールディングス,2140.0,158100,337
74,431A,ユーソナー,2400.0,132200,316
75,3652,ディジタルメディアプロフェッショナル,3305.0,89100,304
76,218A,Ｌｉｂｅｒａｗａｒｅ,1239.0,244900,301
77,4493,サイバーセキュリティクラウド,1813.0,163400,298
78,5246,ＥＬＥＭＥＮＴＳ,610.0,483600,296
79,7779,ＣＹＢＥＲＤＹＮＥ,270.0,1071700,292
80,5590,ネットスターズ,717.0,402600,291
81,3491,ＧＡ　ｔｅｃｈｎｏｌｏｇｉｅｓ,1492.0,193400,291
82,5842,インテグラル,3375.0,83500,288
83,4417,グローバルセキュリティエキスパート,3415.0,80000,280
84,4258,網屋,3515.0,80000,275
85,5132,ｐｌｕｓｚｅｒｏ,1525.0,175500,272
86,4166,かっこ,747.0,316700,250
87,9270,バリュエンスホールディングス,2373.0,104500,250
88,1436,グリーンエナジー＆カンパニー,1880.0,128000,241
89,4375,セーフィー,707.0,331100,238
90,9211,エフ・コード,1538.0,154600,234
91,3556,リネットジャパングループ,865.0,270600,232
92,4888,ステラファーマ,339.0,650300,222
93,3063,ジェイグループホールディングス,1004.0,225700,221
94,3989,シェアリングテクノロジー,970.0,225000,218
95,4069,ＢｌｕｅＭｅｍｅ,1070.0,187600,216
96,5574,ＡＢＥＪＡ,2237.0,95600,214
97,4594,ブライトパス・バイオ,54.0,3870000,211
98,2158,ＦＲＯＮＴＥＯ,582.0,359500,210
99,421A,ムービン・ストラテジック・キャリア,2957.0,72300,209
100,4571,ＮＡＮＯホールディングス,112.0,1767100,199
